t_wall [s],X0 [uT],Y0 [uT],Z0 [uT],X1 [uT],Y1 [uT],Z1 [uT],X2 [uT],Y2 [uT],Z2 [uT],X3 [uT],Y3 [uT],Z3 [uT]
1702924470.7668056,-22.5,91.5,-580.316,156.0,162.9,1130.1399999999999,216.9,146.4,1230.328,198.6,105.3,1200.32
1702924470.786036,-23.099999999999998,92.7,-572.088,149.1,170.4,1125.3,224.7,141.29999999999998,1240.008,198.0,103.5,1194.028
1702924470.7893076,-21.0,96.89999999999999,-574.992,155.1,171.29999999999998,1122.8799999999999,218.1,145.2,1236.62,198.0,104.1,1200.8039999999999
1702924470.80076,-17.4,96.6,-564.3439999999999,153.29999999999998,167.4,1122.8799999999999,217.5,142.5,1239.04,194.4,104.39999999999999,1199.836
1702924470.8119304,-17.4,93.0,-569.184,158.4,166.2,1119.008,218.1,142.2,1245.816,198.29999999999998,103.2,1208.548
1702924470.8235016,-25.5,96.89999999999999,-570.1519999999999,152.1,169.79999999999998,1122.8799999999999,210.0,143.1,1241.46,206.7,103.8,1206.128
1702924470.846176,-18.9,94.8,-566.764,154.2,170.7,1121.4279999999999,223.79999999999998,144.9,1238.556,201.9,99.0,1199.3519999999999
1702924470.8475182,-19.8,94.8,-564.3439999999999,156.9,164.1,1118.524,220.2,144.9,1241.46,201.0,105.0,1204.192
1702924470.857469,-20.099999999999998,93.3,-572.088,154.5,171.6,1136.432,223.2,144.6,1239.524,198.6,105.0,1199.836
1702924470.868815,-22.8,93.0,-577.896,149.7,170.1,1128.6879999999999,219.6,141.6,1235.652,200.7,108.0,1201.772
1702924470.8803542,-21.0,95.39999999999999,-572.572,155.1,167.1,1133.528,218.7,147.6,1238.556,201.0,105.89999999999999,1198.868
1702924470.8916278,-22.8,96.89999999999999,-571.12,153.6,174.6,1123.364,223.79999999999998,150.9,1233.232,200.4,105.6,1207.58
1702924470.9027727,-17.4,96.3,-579.348,152.4,163.79999999999998,1128.6879999999999,218.4,143.7,1239.04,198.0,106.2,1194.028
1702924470.9141903,-17.7,90.3,-570.636,154.79999999999998,167.1,1118.524,217.79999999999998,144.9,1232.264,198.9,100.8,1197.8999999999999
1702924470.9255013,-18.3,92.39999999999999,-566.764,161.1,167.7,1121.912,220.2,147.9,1229.844,195.0,99.89999999999999,1204.676
1702924470.9366982,-19.2,94.2,-560.956,157.79999999999998,169.5,1132.076,216.0,144.6,1240.9759999999999,198.29999999999998,107.1,1209.032
1702924470.9482293,-20.4,91.2,-569.184,154.79999999999998,169.5,1131.5919999999999,227.1,145.2,1227.908,197.4,101.7,1198.384
1702924470.9596696,-18.599999999999998,90.89999999999999,-567.2479999999999,154.79999999999998,170.1,1136.432,219.9,151.5,1231.296,195.0,101.7,1195.48
1702924470.9708667,-18.0,97.8,-572.088,156.0,166.2,1126.268,218.4,149.4,1233.232,198.29999999999998,104.1,1192.576
1702924470.9823525,-18.9,92.1,-566.28,151.5,164.1,1117.556,213.9,148.2,1231.296,199.2,99.0,1207.096
1702924470.9937034,-24.0,95.1,-575.96,150.9,164.1,1130.1399999999999,223.79999999999998,142.5,1229.844,195.0,98.7,1196.932
1702924471.0049078,-21.0,99.3,-572.088,153.6,165.29999999999998,1125.7839999999999,219.6,144.29999999999998,1240.008,200.1,99.6,1203.224
1702924471.0160673,-19.8,93.6,-571.12,159.0,165.9,1125.3,214.5,140.1,1242.4279999999999,192.9,101.39999999999999,1197.416
1702924471.0273972,-21.599999999999998,96.3,-568.216,153.9,167.1,1122.8799999999999,217.79999999999998,148.2,1237.588,195.29999999999998,100.8,1204.676
1702924471.038591,-21.3,98.7,-576.928,159.29999999999998,169.2,1134.012,219.9,139.5,1242.912,196.2,106.5,1203.7079999999999
1702924471.0575116,-23.4,90.6,-577.896,157.2,168.6,1130.1399999999999,216.9,147.6,1232.264,198.0,107.1,1203.7079999999999
1702924471.061378,-21.3,96.0,-563.86,152.4,165.9,1127.72,220.5,146.1,1239.04,201.29999999999998,105.0,1197.416
1702924471.0727854,-26.099999999999998,95.7,-571.12,154.2,165.9,1131.5919999999999,221.1,142.2,1234.684,198.29999999999998,108.3,1202.74
1702924471.0840774,-26.4,92.39999999999999,-569.184,158.4,158.7,1124.3319999999999,222.9,141.9,1238.072,194.7,105.0,1195.48
1702924471.0954585,-28.5,94.8,-574.024,150.9,166.79999999999998,1132.56,219.29999999999998,148.79999999999998,1238.556,198.29999999999998,99.89999999999999,1198.868
