t_wall [s],X0 [uT],Y0 [uT],Z0 [uT],X1 [uT],Y1 [uT],Z1 [uT],X2 [uT],Y2 [uT],Z2 [uT],X3 [uT],Y3 [uT],Z3 [uT]
1702924165.082063,181.79999999999998,176.4,35.816,205.79999999999998,214.2,478.676,171.0,246.29999999999998,465.12399999999997,154.2,211.79999999999998,423.984
1702924165.1022007,176.1,176.7,28.072,204.9,213.0,476.74,171.29999999999998,248.39999999999998,467.544,155.1,217.5,431.24399999999997
1702924165.1045089,174.9,177.9,45.012,207.6,212.1,484.96799999999996,168.6,248.39999999999998,463.67199999999997,152.1,212.7,421.56399999999996
1702924165.1157372,171.0,174.0,34.364,204.6,209.4,484.0,171.29999999999998,249.89999999999998,465.12399999999997,151.5,209.7,430.276
1702924165.127034,180.29999999999998,178.2,40.172,205.5,212.1,482.06399999999996,174.0,256.2,465.12399999999997,153.6,216.9,429.308
1702924165.1382947,181.2,178.79999999999998,40.656,198.29999999999998,213.9,488.84,166.2,256.2,471.416,150.9,217.79999999999998,430.276
1702924165.1576838,173.4,178.79999999999998,38.72,209.4,210.29999999999998,480.128,170.4,246.89999999999998,465.12399999999997,156.29999999999998,218.4,431.24399999999997
1702924165.1611013,176.1,173.1,35.816,207.29999999999998,210.0,485.452,165.9,251.39999999999998,468.02799999999996,150.6,211.79999999999998,430.76
1702924165.1723247,176.4,178.2,32.912,208.79999999999998,213.6,484.96799999999996,176.1,250.5,456.412,152.1,212.1,435.116
1702924165.1836238,172.2,176.4,35.816,205.5,213.6,482.548,176.4,247.2,459.8,153.6,207.29999999999998,435.116
1702924165.194959,177.6,177.6,40.172,204.9,204.6,484.0,165.6,245.39999999999998,466.092,152.4,218.4,430.276
1702924165.2131832,179.7,178.5,34.364,205.5,211.2,477.70799999999997,165.29999999999998,255.89999999999998,460.284,152.4,210.6,438.50399999999996
1702924165.2175436,179.1,174.0,41.14,205.79999999999998,208.5,483.51599999999996,170.7,247.79999999999998,461.736,150.0,210.9,438.988
1702924165.228996,177.6,178.79999999999998,36.3,198.6,209.7,485.936,167.1,243.89999999999998,461.252,154.2,219.6,437.536
1702924165.2402325,176.4,177.6,31.944,207.0,210.9,488.356,168.9,254.39999999999998,457.38,154.5,213.6,437.536
1702924165.2516823,179.1,172.79999999999998,30.008,208.79999999999998,210.29999999999998,482.548,170.7,252.89999999999998,455.928,153.29999999999998,213.29999999999998,435.116
1702924165.2630823,174.0,176.1,25.652,202.5,210.29999999999998,484.96799999999996,170.4,253.2,468.02799999999996,152.7,213.29999999999998,440.44
1702924165.2743976,177.9,177.29999999999998,34.364,204.6,212.1,485.452,168.0,250.2,461.252,159.9,215.4,441.408
1702924165.2857838,175.79999999999998,173.4,28.555999999999997,206.4,216.29999999999998,484.0,167.7,254.7,465.12399999999997,150.9,213.6,443.344
1702924165.2971728,177.9,179.7,29.524,207.9,209.1,490.292,171.29999999999998,250.2,456.89599999999996,154.5,209.1,438.50399999999996
1702924165.308549,178.79999999999998,176.1,37.268,207.6,211.5,485.936,172.2,259.5,467.544,155.1,219.9,439.472
1702924165.3200364,177.9,175.5,30.976,206.4,214.2,493.68,167.1,248.7,471.9,150.9,209.4,435.59999999999997
1702924165.3313482,179.7,177.9,29.04,210.6,208.79999999999998,492.712,171.29999999999998,248.39999999999998,466.57599999999996,152.4,216.6,441.892
1702924165.3427036,176.1,175.2,25.652,207.0,211.2,483.51599999999996,169.79999999999998,249.89999999999998,457.864,147.0,217.79999999999998,437.536
1702924165.3541944,176.1,171.6,34.848,207.29999999999998,207.9,483.032,166.79999999999998,251.1,468.996,157.2,214.79999999999998,442.376
1702924165.3730664,173.4,174.29999999999998,30.491999999999997,202.2,213.9,492.228,169.79999999999998,248.39999999999998,469.47999999999996,153.29999999999998,210.29999999999998,434.632
1702924165.37691,177.9,177.0,34.364,207.9,217.79999999999998,477.70799999999997,169.2,248.7,467.06,151.79999999999998,209.1,436.568
1702924165.3884757,176.7,176.4,23.232,207.6,209.1,489.808,172.79999999999998,253.5,469.964,155.4,217.5,439.95599999999996
1702924165.3996956,180.6,178.79999999999998,26.136,204.29999999999998,212.4,493.68,165.29999999999998,248.1,469.964,153.0,206.4,436.084
1702924165.4111114,180.6,179.1,18.392,207.0,210.0,484.96799999999996,171.29999999999998,253.2,468.996,159.29999999999998,214.5,436.568
1702924165.4224408,179.1,178.79999999999998,18.875999999999998,206.7,208.2,489.808,169.5,252.6,472.868,152.7,210.6,423.984
1702924165.433552,171.9,173.7,24.683999999999997,206.7,209.7,495.616,172.2,249.6,467.544,155.1,211.5,433.664
1702924165.4449084,177.29999999999998,171.0,26.619999999999997,198.9,211.2,489.808,170.4,253.5,465.12399999999997,155.7,210.9,442.86
