t_wall [s],X0 [uT],Y0 [uT],Z0 [uT],X1 [uT],Y1 [uT],Z1 [uT],X2 [uT],Y2 [uT],Z2 [uT],X3 [uT],Y3 [uT],Z3 [uT]
1702917091.3311656,-193.04999999999998,-198.6,-89.53999999999999,-172.65,-145.95,-328.878,-157.65,-153.6,-218.52599999999998,-142.35,-168.75,-214.896
1702917091.3556902,-191.85,-194.85,-82.28,-175.2,-146.85,-332.75,-159.45,-152.7,-214.896,-140.4,-169.95,-210.78199999999998
1702917091.357332,-194.1,-195.75,-87.362,-171.75,-145.35,-327.426,-157.2,-153.15,-212.476,-139.5,-168.9,-216.34799999999998
1702917091.3653479,-192.6,-197.4,-83.24799999999999,-171.29999999999998,-146.25,-332.024,-161.25,-152.7,-215.138,-140.7,-169.79999999999998,-210.05599999999998
1702917091.3767416,-193.2,-195.6,-83.732,-170.85,-142.2,-331.056,-161.7,-154.35,-217.07399999999998,-139.65,-170.7,-210.78199999999998
1702917091.3882189,-190.79999999999998,-197.25,-90.024,-175.04999999999998,-143.1,-336.138,-160.5,-152.7,-215.62199999999999,-143.54999999999998,-169.35,-214.412
1702917091.3997068,-190.95,-196.2,-80.344,-173.54999999999998,-143.4,-329.604,-159.0,-149.4,-216.34799999999998,-142.2,-172.35,-215.864
1702917091.4197466,-192.15,-195.0,-83.49,-174.15,-145.35,-326.942,-156.75,-153.0,-218.042,-141.15,-169.35,-210.78199999999998
1702917091.4223113,-193.04999999999998,-196.79999999999998,-85.66799999999999,-172.79999999999998,-144.0,-333.234,-158.4,-152.25,-219.97799999999998,-140.25,-169.5,-210.78199999999998
1702917091.4338653,-190.65,-196.65,-85.426,-173.54999999999998,-144.75,-334.202,-157.65,-153.75,-221.914,-139.35,-171.29999999999998,-204.732
1702917091.4451573,-193.65,-197.1,-86.152,-174.75,-143.7,-332.024,-162.29999999999998,-154.2,-222.398,-141.0,-167.4,-208.362
