t_wall [s],X0 [uT],Y0 [uT],Z0 [uT],X1 [uT],Y1 [uT],Z1 [uT],X2 [uT],Y2 [uT],Z2 [uT],X3 [uT],Y3 [uT],Z3 [uT]
1702921760.3066583,-304.5,-296.09999999999997,-434.14799999999997,-260.09999999999997,-264.9,-441.408,-241.5,-243.29999999999998,-360.58,-267.0,-257.7,-453.508
1702921760.3258681,-303.59999999999997,-296.09999999999997,-433.18,-262.5,-264.3,-441.892,-241.79999999999998,-242.7,-360.58,-265.8,-258.0,-453.024
1702921760.329215,-304.8,-296.7,-433.18,-259.8,-264.59999999999997,-441.408,-241.79999999999998,-242.7,-361.06399999999996,-266.7,-258.0,-452.53999999999996
1702921760.3403716,-303.9,-296.4,-433.664,-260.7,-263.7,-442.376,-241.2,-243.0,-360.096,-266.09999999999997,-257.09999999999997,-452.53999999999996
1702921760.351689,-303.9,-297.0,-433.18,-259.8,-264.0,-421.56399999999996,-241.79999999999998,-231.89999999999998,-361.548,-266.09999999999997,-257.7,-453.024
1702921760.3631027,-303.9,-296.4,-433.664,-261.0,-264.0,-442.376,-241.5,-242.7,-361.548,-266.7,-258.0,-453.024
1702921760.3749304,-304.2,-296.7,-432.69599999999997,-260.09999999999997,-264.3,-441.408,-241.79999999999998,-242.7,-361.548,-267.0,-258.0,-453.508
1702921760.3857114,-304.5,-296.7,-433.664,-261.59999999999997,-264.9,-443.344,-241.2,-243.0,-360.096,-265.8,-257.4,-454.96
1702921760.3970926,-304.5,-295.5,-434.14799999999997,-260.09999999999997,-263.4,-441.408,-242.1,-242.7,-361.06399999999996,-266.09999999999997,-257.7,-453.508
1702921760.408547,-304.8,-296.09999999999997,-433.664,-260.09999999999997,-264.0,-442.376,-241.5,-242.7,-360.096,-266.09999999999997,-258.0,-453.508
1702921760.4198127,-304.5,-296.09999999999997,-433.664,-261.0,-264.3,-442.86,-241.2,-243.0,-361.06399999999996,-266.7,-258.0,-453.508
1702921760.431039,-303.9,-296.4,-433.664,-260.7,-263.4,-442.86,-242.1,-243.0,-360.58,-266.4,-257.7,-453.024
1702921760.4425008,-304.2,-297.0,-433.18,-260.7,-264.9,-442.86,-240.6,-242.39999999999998,-360.096,-266.7,-258.59999999999997,-453.508
1702921760.453812,-304.5,-296.09999999999997,-433.18,-260.7,-264.0,-441.892,-242.39999999999998,-242.7,-359.61199999999997,-266.7,-257.7,-453.024
1702921760.4652188,-304.5,-297.0,-434.14799999999997,-261.3,-263.7,-442.86,-241.5,-242.7,-361.06399999999996,-266.4,-257.7,-453.508
1702921760.4764557,-305.09999999999997,-296.09999999999997,-433.664,-261.3,-264.3,-442.376,-241.5,-242.7,-361.06399999999996,-265.8,-257.4,-453.508
1702921760.4878607,-304.2,-296.7,-433.664,-259.8,-264.0,-442.376,-241.5,-243.0,-361.548,-266.4,-258.59999999999997,-453.508
1702921760.4991815,-304.5,-296.4,-433.18,-260.7,-264.0,-441.892,-241.2,-243.6,-360.58,-266.7,-258.3,-453.508
1702921760.510501,-305.7,-296.09999999999997,-432.69599999999997,-261.0,-264.59999999999997,-441.892,-242.7,-243.6,-362.032,-266.4,-258.3,-453.508
1702921760.5217662,-304.5,-296.09999999999997,-432.69599999999997,-259.8,-263.7,-441.408,-241.5,-243.0,-361.548,-265.8,-258.0,-454.476
1702921760.533154,-304.2,-295.8,-433.664,-260.7,-263.7,-442.86,-240.6,-243.0,-361.06399999999996,-266.4,-258.0,-453.99199999999996
1702921760.544413,-304.2,-296.09999999999997,-431.24399999999997,-261.3,-264.9,-443.344,-241.2,-242.7,-361.06399999999996,-266.7,-258.59999999999997,-455.44399999999996
1702921760.555619,-304.8,-296.7,-433.18,-260.09999999999997,-264.59999999999997,-442.376,-241.5,-242.7,-360.096,-266.09999999999997,-257.7,-453.99199999999996
1702921760.5668957,-304.5,-296.09999999999997,-432.69599999999997,-261.0,-264.9,-441.892,-241.5,-243.29999999999998,-361.548,-266.7,-258.0,-453.508
1702921760.5784998,-305.4,-296.4,-433.18,-260.7,-263.7,-441.892,-241.79999999999998,-243.29999999999998,-360.58,-265.5,-257.09999999999997,-453.508
1702921760.5898187,-304.5,-297.0,-433.18,-260.7,-264.59999999999997,-443.344,-242.1,-243.29999999999998,-362.032,-266.7,-258.9,-455.928
1702921760.601138,-304.2,-296.4,-432.69599999999997,-260.7,-264.59999999999997,-442.376,-240.89999999999998,-241.79999999999998,-361.06399999999996,-266.7,-257.4,-453.024
1702921760.6124883,-304.2,-297.0,-433.18,-261.0,-264.59999999999997,-442.86,-242.1,-242.39999999999998,-361.06399999999996,-266.4,-258.0,-453.99199999999996
1702921760.6236126,-305.09999999999997,-296.7,-433.664,-261.0,-264.0,-441.892,-242.1,-241.79999999999998,-360.58,-267.0,-257.7,-454.96
1702921760.6366608,-304.8,-296.7,-434.14799999999997,-261.0,-263.7,-442.86,-242.39999999999998,-242.7,-362.032,-266.4,-257.4,-454.476
1702921760.646137,-304.2,-296.09999999999997,-432.69599999999997,-261.3,-264.3,-443.344,-241.5,-243.0,-360.58,-266.4,-257.4,-453.99199999999996
