t_wall [s],X0 [uT],Y0 [uT],Z0 [uT],X1 [uT],Y1 [uT],Z1 [uT],X2 [uT],Y2 [uT],Z2 [uT],X3 [uT],Y3 [uT],Z3 [uT]
1702919203.8192523,-162.9,-147.45,45.254,-193.04999999999998,-174.9,-427.372,-119.1,-122.55,-424.46799999999996,-142.95,-185.54999999999998,-395.912
1702919203.8432775,-165.9,-149.54999999999998,43.076,-191.85,-173.7,-427.13,-120.0,-121.5,-425.19399999999996,-140.25,-187.65,-394.702
1702919203.8447833,-162.0,-147.6,39.446,-191.7,-175.5,-428.098,-117.75,-122.85,-423.5,-141.15,-187.04999999999998,-392.03999999999996
1702919203.8534415,-163.65,-149.25,46.948,-189.9,-174.29999999999998,-433.18,-118.5,-122.25,-423.01599999999996,-140.1,-187.04999999999998,-395.186
1702919203.8648384,-165.6,-148.35,40.897999999999996,-195.29999999999998,-174.45,-432.938,-121.19999999999999,-123.0,-428.34,-141.75,-187.2,-391.31399999999996
1702919203.8763573,-168.15,-147.0,41.14,-195.29999999999998,-174.15,-435.116,-118.94999999999999,-119.55,-431.728,-142.04999999999998,-185.25,-390.104
1702919203.887867,-168.9,-151.2,41.623999999999995,-194.25,-174.15,-429.792,-120.89999999999999,-123.0,-421.56399999999996,-138.75,-186.6,-396.154
1702919203.8992507,-164.54999999999998,-145.95,46.705999999999996,-190.79999999999998,-174.6,-433.906,-120.6,-121.94999999999999,-423.01599999999996,-141.6,-186.9,-392.03999999999996
1702919203.91033,-165.29999999999998,-147.29999999999998,42.35,-193.04999999999998,-172.04999999999998,-431.24399999999997,-118.19999999999999,-123.44999999999999,-428.582,-139.35,-184.04999999999998,-394.21799999999996
1702919203.9217577,-167.25,-147.29999999999998,42.592,-194.1,-173.4,-430.034,-121.05,-123.89999999999999,-424.71,-137.25,-187.79999999999998,-393.976
1702919203.9332943,-166.79999999999998,-147.6,46.464,-193.5,-173.85,-428.582,-117.0,-119.39999999999999,-426.404,-140.54999999999998,-184.65,-395.186
1702919203.9560921,-165.6,-148.2,41.382,-195.0,-172.2,-435.116,-120.75,-123.89999999999999,-426.888,-136.35,-188.1,-396.154
1702919203.9573584,-167.25,-149.7,44.286,-194.4,-172.35,-429.066,-121.8,-121.94999999999999,-426.404,-137.85,-186.75,-391.556
1702919203.9671795,-165.15,-148.35,42.833999999999996,-192.9,-173.85,-427.856,-119.1,-120.89999999999999,-421.322,-137.85,-186.15,-392.524
1702919203.9784622,-167.25,-148.79999999999998,39.204,-195.0,-173.1,-434.14799999999997,-120.75,-120.75,-425.678,-141.9,-186.9,-398.816
1702919203.9898877,-165.75,-148.65,42.833999999999996,-195.29999999999998,-173.25,-431.24399999999997,-120.89999999999999,-122.1,-426.404,-138.45,-188.25,-390.104
1702919204.0014565,-165.15,-149.7,44.044,-191.85,-175.04999999999998,-430.276,-120.3,-120.44999999999999,-425.91999999999996,-137.85,-188.7,-392.524
1702919204.0129128,-164.85,-149.25,44.286,-195.9,-172.35,-432.69599999999997,-121.05,-121.64999999999999,-427.856,-138.29999999999998,-188.54999999999998,-396.638
1702919204.0243194,-163.95,-146.85,41.866,-193.65,-171.75,-434.87399999999997,-120.3,-121.94999999999999,-423.984,-139.79999999999998,-186.45,-395.67
1702919204.0356832,-164.85,-146.25,38.961999999999996,-193.79999999999998,-174.29999999999998,-433.906,-121.19999999999999,-122.69999999999999,-431.24399999999997,-138.0,-188.4,-392.524
1702919204.0470128,-165.6,-149.7,46.948,-193.35,-172.65,-428.824,-116.69999999999999,-117.3,-427.856,-140.1,-185.85,-391.798
1702919204.058441,-165.29999999999998,-150.75,45.98,-193.79999999999998,-172.65,-435.358,-118.94999999999999,-120.0,-427.614,-139.2,-188.54999999999998,-389.13599999999997
1702919204.0699077,-165.29999999999998,-144.9,44.769999999999996,-191.85,-174.75,-428.098,-122.25,-123.75,-425.91999999999996,-139.04999999999998,-187.35,-393.25
1702919204.0811272,-165.9,-145.95,44.769999999999996,-195.0,-171.15,-433.42199999999997,-120.75,-123.44999999999999,-430.034,-140.1,-188.7,-388.652
1702919204.092497,-167.85,-147.15,44.044,-194.25,-174.15,-432.69599999999997,-118.94999999999999,-119.39999999999999,-426.888,-141.75,-185.1,-393.008
1702919204.1107771,-166.04999999999998,-147.75,42.35,-189.6,-174.15,-430.518,-118.8,-117.75,-426.404,-139.79999999999998,-185.54999999999998,-399.3
1702919204.115256,-165.29999999999998,-147.75,41.382,-193.79999999999998,-171.29999999999998,-431.96999999999997,-121.05,-120.44999999999999,-424.226,-140.1,-187.35,-392.282
1702919204.126687,-170.54999999999998,-148.5,40.897999999999996,-193.5,-175.5,-430.518,-120.14999999999999,-120.6,-423.01599999999996,-139.5,-186.15,-394.46
1702919204.1379092,-163.04999999999998,-148.5,43.56,-193.65,-172.79999999999998,-434.632,-116.69999999999999,-121.8,-426.646,-143.54999999999998,-185.54999999999998,-395.67
1702919204.1494133,-166.79999999999998,-148.04999999999998,39.688,-192.9,-170.85,-431.486,-118.64999999999999,-120.44999999999999,-422.774,-138.9,-185.85,-393.976
1702919204.1610477,-166.65,-146.54999999999998,38.961999999999996,-191.4,-177.29999999999998,-432.454,-119.85,-120.6,-428.582,-142.2,-185.7,-398.09
1702919204.172444,-164.7,-148.2,41.866,-191.25,-173.25,-436.084,-118.94999999999999,-119.1,-427.372,-139.5,-184.5,-397.848
1702919204.1839,-169.35,-147.75,43.076,-193.04999999999998,-173.85,-432.69599999999997,-123.75,-119.25,-425.678,-139.35,-186.6,-396.154
1702919204.1953368,-166.79999999999998,-147.6,42.833999999999996,-192.0,-173.54999999999998,-431.486,-118.05,-122.39999999999999,-425.91999999999996,-140.54999999999998,-187.65,-392.76599999999996
1702919204.206881,-165.45,-147.9,43.076,-197.25,-173.85,-432.69599999999997,-121.05,-119.85,-427.372,-142.35,-186.9,-390.346
1702919204.2181756,-165.29999999999998,-143.85,47.19,-193.95,-173.54999999999998,-428.098,-119.55,-118.19999999999999,-423.258,-140.7,-185.85,-394.46
1702919204.229474,-165.75,-149.1,45.012,-189.15,-172.04999999999998,-431.002,-118.19999999999999,-120.6,-426.404,-140.54999999999998,-184.04999999999998,-399.542
1702919204.240897,-165.45,-148.04999999999998,40.656,-193.35,-172.04999999999998,-431.24399999999997,-121.35,-121.35,-425.19399999999996,-138.9,-183.75,-393.976
1702919204.2524116,-167.1,-147.45,41.14,-195.0,-173.7,-432.938,-121.64999999999999,-120.3,-428.34,-139.04999999999998,-182.54999999999998,-396.88
1702919204.2639809,-165.15,-146.7,40.414,-195.15,-174.45,-435.842,-118.64999999999999,-121.19999999999999,-426.888,-136.95,-185.25,-393.49199999999996
1702919204.27544,-166.2,-148.2,42.35,-194.1,-173.4,-433.906,-119.25,-123.0,-431.002,-138.6,-185.25,-396.638
1702919204.286535,-165.45,-146.7,45.738,-192.45,-173.4,-427.372,-122.55,-123.14999999999999,-421.806,-141.75,-186.29999999999998,-398.09
1702919204.2978792,-166.65,-147.45,39.93,-192.75,-174.45,-437.77799999999996,-118.8,-119.85,-429.792,-139.65,-186.6,-398.332
1702919204.309335,-163.65,-149.85,38.478,-192.29999999999998,-174.15,-435.358,-118.94999999999999,-120.6,-423.258,-141.6,-185.54999999999998,-393.25
1702919204.320756,-163.95,-147.6,43.076,-190.95,-175.35,-433.18,-117.89999999999999,-123.0,-426.646,-141.29999999999998,-186.29999999999998,-389.86199999999997
1702919204.3321671,-167.4,-146.4,44.769999999999996,-195.0,-175.2,-431.728,-120.6,-125.1,-425.91999999999996,-140.7,-188.1,-388.652
1702919204.3434594,-167.1,-148.79999999999998,44.286,-190.2,-173.4,-430.034,-120.6,-121.94999999999999,-428.582,-140.1,-188.25,-391.798
1702919204.3548777,-164.54999999999998,-147.9,42.35,-190.95,-174.15,-430.276,-119.25,-122.39999999999999,-425.436,-140.85,-187.35,-390.104
1702919204.366387,-167.1,-147.45,38.72,-193.2,-174.29999999999998,-433.664,-117.14999999999999,-118.8,-433.18,-143.1,-186.75,-390.58799999999997
1702919204.3796942,-168.0,-150.0,40.897999999999996,-190.5,-173.25,-435.842,-119.25,-119.85,-425.19399999999996,-140.54999999999998,-187.04999999999998,-391.556
1702919204.3892825,-166.5,-147.29999999999998,39.204,-191.7,-174.0,-428.34,-121.64999999999999,-121.19999999999999,-429.792,-137.4,-184.2,-393.49199999999996
1702919204.4007285,-165.29999999999998,-148.04999999999998,38.72,-190.65,-178.5,-431.96999999999997,-121.19999999999999,-122.1,-427.856,-139.35,-185.1,-388.894
1702919204.4120898,-164.25,-145.79999999999998,38.961999999999996,-193.79999999999998,-174.15,-430.276,-117.3,-124.35,-423.984,-137.4,-186.75,-394.702
1702919204.4232554,-165.75,-147.15,38.72,-194.7,-176.4,-435.116,-120.75,-121.05,-430.034,-140.1,-187.04999999999998,-392.03999999999996
1702919204.43468,-167.7,-143.85,45.738,-193.35,-171.9,-434.39,-120.89999999999999,-120.44999999999999,-427.372,-137.54999999999998,-185.1,-396.154
1702919204.4460495,-165.75,-145.35,39.93,-192.6,-172.5,-430.76,-120.3,-121.8,-427.614,-142.2,-186.0,-396.154
