t_wall [s],X0 [uT],Y0 [uT],Z0 [uT],X1 [uT],Y1 [uT],Z1 [uT],X2 [uT],Y2 [uT],Z2 [uT],X3 [uT],Y3 [uT],Z3 [uT]
1700151816.3194127,3073.092,3070.088,-15531.56,6044.048,3785.04,-13566.52,1108.476,-2877.832,29388.48,1399.864,4929.564,-8368.36
1700151816.3421152,3034.04,3037.044,-15589.64,5863.808,3604.8,-13832.72,1144.5240000000001,-2841.784,29461.079999999998,1222.628,4749.324,-8649.08
1700151816.3434088,3034.04,3031.036,-15589.64,6122.152,3860.14,-13455.199999999999,1321.76,-2670.556,29780.52,1225.632,4749.324,-8644.24
1700151816.3536375,3178.232,3175.228,-15381.52,5932.9,3676.896,-13731.08,1150.532,-2841.784,29461.079999999998,1225.632,4749.324,-8649.08
1700151816.365013,2967.952,2964.948,-15686.439999999999,6155.196,3896.188,-13416.48,1285.712,-2703.6,29707.92,1438.916,4965.612,-8315.119999999999
1700151816.3763025,3109.14,3106.136,-15483.16,6230.296,3965.28,-13305.16,1135.512,-2841.784,29451.399999999998,1438.916,4968.616,-8324.8
1700151816.3876636,3178.232,3178.232,-15376.68,5902.86,3640.848,-13784.32,1138.516,-2838.78,29456.239999999998,1294.724,4818.416,-8528.08
1700151816.3990865,3037.044,3028.032,-15584.8,5941.912,3676.896,-13726.24,1000.332,-2976.964,29194.879999999997,1330.772,4857.468,-8484.52
1700151816.4104948,3034.04,3031.036,-15589.64,6014.008,3751.996,-13624.6,1111.48,-2877.832,29393.32,1228.636,4746.32,-8658.76
1700151816.421982,2859.808,2853.8,-15860.68,5902.86,3640.848,-13779.48,1351.8,-2637.512,29843.44,1255.672,4782.368,-8595.84
1700151816.433214,2967.952,2961.944,-15696.119999999999,5863.808,3604.8,-13827.88,1105.472,-2874.828,29393.32,1580.104,5112.808,-8102.16
1700151816.444575,3181.236,3175.228,-15381.52,6050.056,3785.04,-13566.52,1144.5240000000001,-2838.78,29456.239999999998,1435.912,4968.616,-8319.96
1700151816.455913,2997.992,2997.992,-15638.039999999999,5824.756,3568.752,-13890.8,1213.616,-2769.688,29586.92,1511.012,5037.708,-8213.48
1700151816.4674253,3250.328,3247.324,-15279.88,5794.716,3532.704,-13934.359999999999,1141.52,-2838.78,29451.399999999998,1363.816,4896.52,-8431.28
1700151816.4788458,3073.092,3067.084,-15536.4,5938.908,3679.9,-13726.24,1108.476,-2874.828,29393.32,1258.676,4785.372,-8591.0
1700151816.4900885,3004.0,2994.988,-15642.88,6083.1,3827.096,-13513.279999999999,1213.616,-2772.692,29591.76,1330.772,4854.464,-8489.36
1700151816.501303,2859.808,2856.804,-15846.16,6122.152,3860.14,-13460.039999999999,1108.476,-2874.828,29393.32,1294.724,4818.416,-8532.92
1700151816.5127096,3037.044,3031.036,-15584.8,5866.812,3604.8,-13837.56,1111.48,-2877.832,29393.32,1330.772,4854.464,-8484.52
1700151816.5241756,3148.192,3142.184,-15429.92,5974.956,3712.944,-13668.16,1108.476,-2880.836,29388.48,1438.916,4965.612,-8324.8
1700151816.535591,2820.756,2817.752,-15913.92,6125.156,3860.14,-13460.039999999999,1141.52,-2841.784,29456.239999999998,1294.724,4824.424,-8537.76
1700151816.5470119,3034.04,3031.036,-15584.8,5866.812,3604.8,-13837.56,1144.5240000000001,-2841.784,29456.239999999998,1153.536,4674.224,-8755.56
1700151816.55849,3145.188,3139.18,-15420.24,5938.908,3676.896,-13726.24,1039.384,-2949.928,29262.64,1225.632,4746.32,-8649.08
1700151816.5697155,2997.992,2991.984,-15642.88,5896.852,3637.844,-13779.48,1033.376,-2949.928,29272.32,1294.724,4824.424,-8532.92
1700151816.5811052,3109.14,3103.132,-15483.16,5938.908,3676.896,-13731.08,1000.332,-2976.964,29199.719999999998,1294.724,4821.42,-8537.76
1700151816.592512,3322.424,3319.42,-15168.56,6227.292,3968.284,-13300.32,1108.476,-2877.832,29393.32,1225.632,4746.32,-8644.24
1700151816.603875,2826.764,2820.756,-15904.24,6083.1,3818.084,-13518.119999999999,1351.8,-2634.508,29838.6,1153.536,4677.228,-8760.4
1700151816.615104,3211.276,3214.28,-15323.439999999999,6125.156,3857.136,-13460.039999999999,1105.472,-2874.828,29388.48,1366.82,4893.516,-8431.28
1700151816.6264074,3004.0,2994.988,-15647.72,5863.808,3607.804,-13837.56,1003.336,-2979.968,29194.879999999997,1294.724,4818.416,-8532.92
1700151816.6376169,3109.14,3106.136,-15488.0,5788.708,3532.704,-13944.039999999999,1141.52,-2841.784,29461.079999999998,1363.816,4896.52,-8431.28
1700151816.6490998,3076.096,3067.084,-15541.24,6119.148,3857.136,-13460.039999999999,1177.568,-2805.736,29514.32,1117.488,4641.18,-8813.64
