t_wall [s],X0 [uT],Y0 [uT],Z0 [uT],X1 [uT],Y1 [uT],Z1 [uT],X2 [uT],Y2 [uT],Z2 [uT],X3 [uT],Y3 [uT],Z3 [uT]
1700150920.7224367,4974.624,4430.9,14268.32,5620.484,5422.22,-1650.44,4070.42,5479.296,-4893.24,4151.528,6104.128,-4728.68
1700150920.7443607,4899.524,4358.804,14147.32,5437.24,5238.976,-1931.1599999999999,4142.516,5548.388,-4781.92,4334.772,6287.372,-4452.8
1700150920.7456331,5121.82,4572.088,14505.48,5437.24,5238.976,-1931.1599999999999,4250.66,5659.536,-4617.36,4118.484,6068.08,-4791.599999999999
1700150920.756587,5010.672,4463.944,14326.4,5470.284,5275.024,-1882.76,4073.424,5479.296,-4898.08,4184.572,6140.176,-4675.44
1700150920.7677977,5299.056,4758.336,14800.72,5434.236,5244.984,-1926.32,4109.472,5509.336,-4844.84,4331.768,6287.372,-4457.639999999999
1700150920.7791765,5079.764,4539.044,14447.4,5506.332,5314.076,-1819.84,4106.468,5512.34,-4844.84,4046.388,5989.976,-4893.24
1700150920.7905884,5121.82,4575.092,14505.48,5290.044,5094.784,-2153.7999999999997,4181.568,5581.432,-4728.68,4259.672,6218.28,-4564.12
1700150920.8019748,4866.48,4319.752,14089.24,5503.328,5317.08,-1819.84,4070.42,5473.288,-4902.92,4406.868,6359.468,-4341.48
1700150920.813425,5043.716,4502.996,14394.16,5434.236,5235.972,-1931.1599999999999,4217.616,5617.48,-4675.44,4046.388,5986.972,-4898.08
1700150920.8247192,5046.72,4499.992,14389.32,5362.14,5166.88,-2037.6399999999999,4250.66,5662.54,-4617.36,4292.716,6248.32,-4515.72
1700150920.8362148,5193.916,4647.188,14631.32,5512.34,5314.076,-1815.0,4178.564,5587.44,-4733.5199999999995,4295.72,6254.328,-4515.72
1700150920.8684244,5154.864,4611.14,14573.24,5431.232,5238.976,-1936.0,4034.372,5440.244,-4956.16,4331.768,6284.368,-4452.8
1700150920.869778,4974.624,4430.9,14268.32,5506.332,5314.076,-1824.6799999999998,4181.568,5581.432,-4728.68,4046.388,5989.976,-4898.08
1700150920.8708844,5229.964,4680.232,14689.4,5506.332,5314.076,-1819.84,4253.664,5656.532,-4617.36,4112.476,6068.08,-4791.599999999999
1700150920.8817618,5154.864,4611.14,14568.4,5509.336,5314.076,-1819.84,4253.664,5659.536,-4612.5199999999995,4298.724,6254.328,-4515.72
1700150920.893177,5046.72,4499.992,14394.16,5362.14,5163.876,-2042.48,4289.712,5695.584,-4559.28,4187.576,6140.176,-4670.599999999999
1700150920.904472,4902.528,4358.804,14147.32,5214.944,5025.692,-2269.96,4178.564,5584.436,-4733.5199999999995,4154.532,6104.128,-4733.5199999999995
1700150920.9158533,4902.528,4358.804,14142.48,5470.284,5278.028,-1877.9199999999998,4214.612,5620.484,-4675.44,4187.576,6143.18,-4675.44
1700150920.9273014,4899.524,4358.804,14142.48,5359.136,5169.884,-2052.16,4142.516,5548.388,-4786.76,4334.772,6290.376,-4452.8
1700150920.9385257,5121.82,4572.088,14505.48,5365.144,5166.88,-2052.16,4142.516,5548.388,-4781.92,4334.772,6287.372,-4452.8
1700150920.949735,5157.868,4608.136,14568.4,5398.188,5202.928,-1989.24,4142.516,5551.392,-4781.92,4259.672,6215.276,-4564.12
1700150920.961063,5193.916,4647.188,14626.48,5326.092,5130.832,-2100.56,4106.468,5515.344,-4840.0,4334.772,6290.376,-4447.96
1700150920.9723766,4827.428,4280.7,14026.32,5689.576,5497.32,-1543.96,4034.372,5443.248,-4951.32,4328.764,6287.372,-4452.8
1700150920.9835427,5190.912,4641.18,14621.64,5503.328,5317.08,-1819.84,3929.232,5326.092,-5120.72,4331.768,6290.376,-4457.639999999999
1700150920.994919,4827.428,4280.7,14031.16,5617.48,5425.224,-1650.44,3926.228,5329.0960000000005,-5125.5599999999995,4115.48,6068.08,-4786.76
1700150921.0062582,4902.528,4355.8,14147.32,5650.524,5458.268,-1597.2,4073.424,5476.292,-4902.92,4115.48,6065.076,-4786.76
1700150921.017486,5226.96,4683.236,14689.4,5506.332,5314.076,-1815.0,4109.472,5512.34,-4849.68,4151.528,6104.128,-4738.36
1700150921.028833,4974.624,4430.9,14268.32,5506.332,5314.076,-1815.0,4103.464,5509.336,-4844.84,4295.72,6251.324,-4510.88
1700150921.0402641,4968.616,4430.9,14263.48,5401.192,5205.932,-1989.24,4034.372,5440.244,-4956.16,4115.48,6068.08,-4791.599999999999
1700150921.0516262,5121.82,4575.092,14510.32,5503.328,5314.076,-1819.84,3998.324,5398.188,-5009.4,4187.576,6140.176,-4680.28
1700150921.063003,4827.428,4280.7,14021.48,5395.184,5202.928,-1989.24,4142.516,5551.392,-4781.92,4148.524,6104.128,-4728.68
1700150921.074157,5121.82,4575.092,14500.64,5434.236,5238.976,-1926.32,4106.468,5515.344,-4849.68,4223.624,6179.228,-4622.2
1700150921.0853384,5013.676,4466.948,14326.4,5623.488,5428.228,-1650.44,4034.372,5434.236,-4956.16,4190.58,6140.176,-4675.44
1700150921.096426,5121.82,4575.092,14500.64,5509.336,5311.072,-1815.0,3923.224,5329.0960000000005,-5125.5599999999995,4256.668,6218.28,-4564.12
1700150921.107414,4827.428,4280.7,14026.32,5470.284,5278.028,-1877.9199999999998,4175.56,5584.436,-4733.5199999999995,4190.58,6140.176,-4680.28
1700150921.1207545,4974.624,4430.9,14263.48,5362.14,5169.884,-2042.48,4178.564,5584.436,-4733.5199999999995,4115.48,6065.076,-4791.599999999999
1700150921.1298068,4830.432,4280.7,14026.32,5614.476,5425.224,-1650.44,4181.568,5584.436,-4728.68,4118.484,6068.08,-4791.599999999999
1700150921.1410704,5088.776,4536.04,14442.56,5617.48,5425.224,-1650.44,4040.38,5440.244,-4951.32,4151.528,6101.124,-4733.5199999999995
1700150921.1523871,5118.816,4572.088,14510.32,5431.232,5238.976,-1926.32,4145.52,5548.388,-4781.92,4043.384,5992.98,-4898.08
1700150921.1634173,4974.624,4427.896,14268.32,5437.24,5241.98,-1936.0,3893.184,5293.048,-5178.8,4259.672,6218.28,-4564.12
1700150921.1770625,4974.624,4430.9,14268.32,5620.484,5422.22,-1645.6,4109.472,5512.34,-4844.84,4118.484,6071.084,-4786.76
1700150921.1858473,5121.82,4575.092,14505.48,5545.384,5353.128,-1761.76,4109.472,5515.344,-4844.84,4154.532,6104.128,-4728.68
1700150921.1970973,5088.776,4536.04,14452.24,5398.188,5202.928,-1989.24,4106.468,5512.34,-4849.68,4112.476,6068.08,-4791.599999999999
1700150921.2083232,5043.716,4496.988,14389.32,5434.236,5238.976,-1936.0,4145.52,5548.388,-4786.76,4262.676,6215.276,-4559.28
1700150921.2195594,4863.476,4316.748,14089.24,5689.576,5497.32,-1543.96,4145.52,5551.392,-4786.76,4151.528,6104.128,-4733.5199999999995
1700150921.2309163,4899.524,4355.8,14142.48,5434.236,5238.976,-1931.1599999999999,4145.52,5551.392,-4786.76,4295.72,6251.324,-4510.88
1700150921.242225,5046.72,4502.996,14384.48,5434.236,5238.976,-1931.1599999999999,4106.468,5512.34,-4844.84,4298.724,6254.328,-4515.72
1700150921.253506,5007.668,4466.948,14326.4,5434.236,5241.98,-1936.0,4142.516,5545.384,-4786.76,4118.484,6068.08,-4786.76
1700150921.2648118,4899.524,4355.8,14147.32,5653.528,5461.272,-1597.2,3926.228,5326.092,-5115.88,4046.388,5989.976,-4902.92
1700150921.2762022,5046.72,4499.992,14389.32,5473.288,5275.024,-1873.08,3998.324,5398.188,-5009.4,4040.38,5998.988,-4902.92
1700150921.2874544,4899.524,4358.804,14142.48,5617.48,5425.224,-1660.12,3923.224,5332.1,-5120.72,4112.476,6065.076,-4791.599999999999
1700150921.2988546,4860.472,4328.764,14094.08,5434.236,5238.976,-1931.1599999999999,4106.468,5515.344,-4840.0,4187.576,6140.176,-4670.599999999999
1700150921.310203,5082.768,4536.04,14447.4,5362.14,5172.888,-2057.0,4001.328,5404.196,-5004.5599999999995,4187.576,6140.176,-4670.599999999999
1700150921.3212824,4761.34,4214.612,13905.32,5395.184,5202.928,-1989.24,4175.56,5587.44,-4733.5199999999995,4259.672,6212.272,-4568.96
1700150921.332651,5079.764,4539.044,14452.24,5506.332,5320.084,-1815.0,4181.568,5581.432,-4733.5199999999995,4439.912,6398.52,-4283.4
1700150921.3441792,4974.624,4424.892,14268.32,5398.188,5202.928,-1989.24,3926.228,5329.0960000000005,-5120.72,4406.868,6365.476,-4341.48
1700150921.355539,5049.724,4499.992,14384.48,5725.624,5533.368,-1481.04,4214.612,5620.484,-4680.28,4331.768,6281.364,-4447.96
1700150921.366724,5046.72,4502.996,14389.32,5467.28,5272.02,-1882.76,4286.708,5695.584,-4568.96,4295.72,6248.32,-4510.88
1700150921.3779316,4863.476,4316.748,14084.4,5506.332,5317.08,-1819.84,4289.712,5695.584,-4568.96,4118.484,6071.084,-4786.76
1700150921.389095,4794.384,4241.648,13968.24,5437.24,5238.976,-1931.1599999999999,3926.228,5332.1,-5115.88,4295.72,6254.328,-4510.88
1700150921.4003584,4905.532,4355.8,14147.32,5398.188,5205.932,-1984.3999999999999,3998.324,5407.2,-5009.4,4298.724,6254.328,-4510.88
1700150921.4116106,5046.72,4502.996,14389.32,5401.192,5202.928,-1989.24,4250.66,5662.54,-4627.04,4079.432,6035.036,-4849.68
1700150921.4227264,4833.436,4283.704,14026.32,5365.144,5166.88,-2042.48,3929.232,5329.0960000000005,-5120.72,4187.576,6140.176,-4675.44
1700150921.4340532,4899.524,4361.808,14142.48,5506.332,5314.076,-1819.84,4142.516,5548.388,-4786.76,4187.576,6143.18,-4675.44
1700150921.4454603,4866.48,4319.752,14089.24,5398.188,5205.932,-1994.08,4178.564,5584.436,-4733.5199999999995,4256.668,6212.272,-4564.12
1700150921.4567242,5046.72,4496.988,14394.16,5428.228,5241.98,-1931.1599999999999,4037.376,5434.236,-4961.0,4226.628,6173.22,-4627.04
1700150921.468133,5046.72,4499.992,14394.16,5434.236,5241.98,-1931.1599999999999,4253.664,5662.54,-4617.36,4256.668,6212.272,-4568.96
1700150921.4793236,4935.572,4391.848,14205.4,5470.284,5278.028,-1873.08,4142.516,5551.392,-4786.76,4187.576,6134.168,-4675.44
1700150921.4904835,5118.816,4575.092,14505.48,5578.428,5389.176,-1708.52,3929.232,5329.0960000000005,-5120.72,4328.764,6290.376,-4457.639999999999
1700150921.5017195,4827.428,4280.7,14026.32,5404.196,5205.932,-1984.3999999999999,4178.564,5587.44,-4738.36,3938.244,5884.836,-5072.32
1700150921.5129178,4935.572,4394.852,14205.4,5542.38,5350.124,-1761.76,4145.52,5548.388,-4786.76,4187.576,6140.176,-4675.44
1700150921.5240784,5121.82,4578.0960000000005,14505.48,5362.14,5166.88,-2042.48,4181.568,5584.436,-4728.68,4226.628,6173.22,-4622.2
1700150921.5353816,5121.82,4572.088,14500.64,5362.14,5166.88,-2042.48,4145.52,5545.384,-4786.76,4220.62,6176.224,-4622.2
1700150921.5466175,4830.432,4280.7,14031.16,5506.332,5314.076,-1824.6799999999998,4181.568,5584.436,-4733.5199999999995,4076.428,6032.032,-4840.0
1700150921.5578487,4902.528,4358.804,14147.32,5506.332,5314.076,-1824.6799999999998,4142.516,5551.392,-4781.92,4223.624,6176.224,-4617.36
1700150921.569097,5124.824,4572.088,14505.48,5692.58,5494.316,-1539.12,4037.376,5440.244,-4956.16,4190.58,6137.172,-4675.44
1700150921.5803866,5043.716,4499.992,14384.48,5395.184,5205.932,-1989.24,4112.476,5509.336,-4844.84,4259.672,6215.276,-4559.28
1700150921.5916355,5007.668,4463.944,14321.56,5434.236,5238.976,-1931.1599999999999,4037.376,5434.236,-4956.16,4184.572,6143.18,-4670.599999999999
1700150921.6029696,5046.72,4499.992,14389.32,5689.576,5491.312,-1539.12,4034.372,5440.244,-4956.16,4223.624,6179.228,-4627.04
1700150921.6142983,4758.336,4208.604,13905.32,5362.14,5169.884,-2037.6399999999999,4034.372,5440.244,-4956.16,4259.672,6212.272,-4568.96
1700150921.6255577,4827.428,4280.7,14026.32,5401.192,5202.928,-1994.08,4181.568,5584.436,-4738.36,4151.528,6104.128,-4733.5199999999995
1700150921.6369169,4974.624,4427.896,14268.32,5323.088,5130.832,-2105.4,4214.612,5620.484,-4670.599999999999,4187.576,6140.176,-4675.44
1700150921.648293,4977.628,4430.9,14268.32,5323.088,5133.836,-2095.72,3962.276,5365.144,-5072.32,4043.384,5992.98,-4898.08
1700150921.6594477,5046.72,4502.996,14389.32,5434.236,5241.98,-1931.1599999999999,4106.468,5512.34,-4844.84,4184.572,6143.18,-4680.28
1700150921.670722,5082.768,4536.04,14447.4,5503.328,5314.076,-1819.84,3998.324,5401.192,-5014.24,4223.624,6176.224,-4631.88
1700150921.6817944,5046.72,4499.992,14389.32,5434.236,5238.976,-1926.32,4214.612,5623.488,-4675.44,4076.428,6035.036,-4844.84
1700150921.6932313,4830.432,4286.708,14026.32,5509.336,5317.08,-1819.84,4178.564,5587.44,-4728.68,4187.576,6143.18,-4680.28
1700150921.7046077,5079.764,4539.044,14447.4,5473.288,5275.024,-1877.9199999999998,4106.468,5512.34,-4844.84,4223.624,6179.228,-4627.04
1700150921.715792,5046.72,4499.992,14389.32,5395.184,5202.928,-1984.3999999999999,4145.52,5548.388,-4786.76,4082.436,6032.032,-4849.68
1700150921.7272012,4974.624,4427.896,14268.32,5470.284,5275.024,-1882.76,3929.232,5332.1,-5120.72,4190.58,6140.176,-4680.28
1700150921.7384365,5043.716,4499.992,14389.32,5362.14,5163.876,-2052.16,4037.376,5443.248,-4961.0,4295.72,6251.324,-4510.88
1700150921.749849,5049.724,4499.992,14389.32,5362.14,5166.88,-2042.48,4106.468,5515.344,-4844.84,4406.868,6362.472,-4341.48
1700150921.7611554,4974.624,4427.896,14268.32,5725.624,5530.364,-1481.04,4217.616,5623.488,-4680.28,4334.772,6284.368,-4452.8
1700150921.7724955,5043.716,4499.992,14394.16,5617.48,5422.22,-1655.28,4109.472,5515.344,-4844.84,4334.772,6287.372,-4452.8
1700150921.7837949,5088.776,4542.048,14442.56,5437.24,5238.976,-1926.32,4142.516,5548.388,-4791.599999999999,4334.772,6287.372,-4452.8
1700150921.795131,4971.62,4427.896,14268.32,5434.236,5241.98,-1936.0,4109.472,5515.344,-4844.84,4265.68,6218.28,-4568.96
1700150921.8062708,5046.72,4499.992,14389.32,5434.236,5238.976,-1931.1599999999999,4145.52,5548.388,-4786.76,4187.576,6143.18,-4670.599999999999
1700150921.8174934,5082.768,4539.044,14452.24,5542.38,5353.128,-1761.76,4106.468,5512.34,-4844.84,4115.48,6068.08,-4786.76
1700150921.8288043,4902.528,4355.8,14147.32,5431.232,5241.98,-1936.0,4109.472,5515.344,-4844.84,4406.868,6362.472,-4336.639999999999
1700150921.840076,5154.864,4608.136,14563.56,5401.192,5202.928,-1989.24,4034.372,5440.244,-4951.32,4118.484,6068.08,-4786.76
1700150921.8513718,4971.62,4427.896,14268.32,5689.576,5494.316,-1539.12,4145.52,5548.388,-4786.76,4331.768,6290.376,-4452.8
1700150921.8626037,4899.524,4358.804,14147.32,5473.288,5278.028,-1877.9199999999998,4109.472,5512.34,-4844.84,4151.528,6104.128,-4733.5199999999995
1700150921.8736472,4830.432,4283.704,14021.48,5578.428,5389.176,-1708.52,4142.516,5548.388,-4791.599999999999,4115.48,6065.076,-4786.76
1700150921.8870423,4758.336,4214.612,13900.48,5365.144,5166.88,-2042.48,4253.664,5656.532,-4622.2,4328.764,6287.372,-4447.96
1700150921.8962026,4905.532,4355.8,14147.32,5506.332,5311.072,-1819.84,4148.524,5545.384,-4786.76,4259.672,6221.284,-4568.96
1700150921.9075367,4974.624,4430.9,14273.16,5431.232,5238.976,-1936.0,4145.52,5551.392,-4786.76,4190.58,6140.176,-4675.44
1700150921.9186049,5154.864,4608.136,14578.08,5434.236,5241.98,-1931.1599999999999,4034.372,5440.244,-4956.16,4262.676,6215.276,-4568.96
1700150921.9300857,4830.432,4280.7,14021.48,5398.188,5205.932,-1994.08,4178.564,5584.436,-4738.36,4259.672,6215.276,-4568.96
1700150921.9413958,5046.72,4499.992,14394.16,5434.236,5238.976,-1936.0,4250.66,5662.54,-4627.04,4193.584,6137.172,-4675.44
1700150921.9526377,4758.336,4208.604,13905.32,5362.14,5166.88,-2042.48,4250.66,5659.536,-4622.2,4223.624,6176.224,-4622.2
1700150921.963994,5121.82,4572.088,14500.64,5401.192,5205.932,-1989.24,4070.42,5476.292,-4898.08,4187.576,6143.18,-4685.12
1700150921.9751995,5049.724,4496.988,14384.48,5362.14,5163.876,-2042.48,4178.564,5587.44,-4733.5199999999995,4190.58,6140.176,-4680.28
1700150921.9863815,5193.916,4647.188,14621.64,5434.236,5241.98,-1926.32,4256.668,5659.536,-4622.2,4190.58,6137.172,-4680.28
1700150921.9976108,5160.872,4608.136,14563.56,5539.376,5350.124,-1761.76,4250.66,5659.536,-4627.04,4115.48,6071.084,-4781.92
1700150922.0088048,5407.2,4857.468,14989.48,5506.332,5314.076,-1829.52,4253.664,5659.536,-4622.2,4187.576,6140.176,-4675.44
1700150922.020156,5193.916,4644.184,14626.48,5467.28,5278.028,-1877.9199999999998,3926.228,5332.1,-5120.72,4187.576,6140.176,-4680.28
1700150922.0313873,5193.916,4644.184,14626.48,5323.088,5133.836,-2095.72,4037.376,5440.244,-4956.16,4331.768,6287.372,-4452.8
1700150922.042728,4938.576,4391.848,14205.4,5398.188,5199.924,-1994.08,3893.184,5290.044,-5173.96,4148.524,6104.128,-4733.5199999999995
1700150922.053915,5046.72,4499.992,14389.32,5398.188,5202.928,-1994.08,4142.516,5548.388,-4786.76,4043.384,5989.976,-4898.08
1700150922.0652788,5046.72,4496.988,14389.32,5473.288,5278.028,-1877.9199999999998,4142.516,5551.392,-4791.599999999999,4331.768,6287.372,-4452.8
1700150922.0765822,5079.764,4539.044,14447.4,5470.284,5278.028,-1877.9199999999998,3965.28,5362.14,-5067.48,4115.48,6071.084,-4786.76
1700150922.088043,4791.38,4244.652,13963.4,5509.336,5314.076,-1819.84,4034.372,5440.244,-4956.16,4259.672,6215.276,-4564.12
1700150922.099414,5088.776,4536.04,14442.56,5401.192,5202.928,-1989.24,4076.428,5473.288,-4898.08,4118.484,6065.076,-4796.44
1700150922.1107192,5046.72,4502.996,14394.16,5437.24,5238.976,-1926.32,4001.328,5407.2,-5009.4,4187.576,6143.18,-4680.28
1700150922.1218476,5118.816,4578.0960000000005,14505.48,5287.04,5094.784,-2158.64,4142.516,5548.388,-4786.76,3971.288,5923.888,-5004.5599999999995
1700150922.136123,5046.72,4502.996,14389.32,5434.236,5244.984,-1931.1599999999999,4142.516,5548.388,-4791.599999999999,3971.288,5917.88,-5009.4
1700150922.1443918,5010.672,4463.944,14321.56,5401.192,5202.928,-1989.24,4103.464,5515.344,-4844.84,4301.728,6248.32,-4506.04
1700150922.1556349,5088.776,4539.044,14447.4,5359.136,5166.88,-2042.48,3929.232,5329.0960000000005,-5125.5599999999995,4223.624,6173.22,-4622.2
1700150922.1667187,5121.82,4575.092,14505.48,5395.184,5205.932,-1984.3999999999999,4181.568,5584.436,-4728.68,4154.532,6101.124,-4733.5199999999995
1700150922.1781218,4830.432,4283.704,14026.32,5401.192,5208.936,-1994.08,4142.516,5548.388,-4786.76,4337.776,6287.372,-4452.8
1700150922.1893222,4902.528,4358.804,14147.32,5503.328,5317.08,-1819.84,4178.564,5584.436,-4738.36,4262.676,6215.276,-4554.44
1700150922.2004485,4905.532,4358.804,14147.32,5542.38,5350.124,-1766.6,3929.232,5329.0960000000005,-5115.88,4262.676,6212.272,-4568.96
1700150922.21185,5082.768,4539.044,14442.56,5253.996,5064.744,-2211.88,4250.66,5659.536,-4622.2,4223.624,6176.224,-4622.2
1700150922.2234244,4863.476,4319.752,14084.4,5434.236,5244.984,-1931.1599999999999,4106.468,5509.336,-4844.84,4148.524,6104.128,-4728.68
1700150922.2347183,4902.528,4355.8,14147.32,5287.04,5094.784,-2158.64,3932.236,5329.0960000000005,-5120.72,4223.624,6176.224,-4622.2
1700150922.246006,4905.532,4355.8,14147.32,5470.284,5275.024,-1877.9199999999998,3998.324,5404.196,-5004.5599999999995,4040.38,5992.98,-4893.24
1700150922.2572813,5046.72,4502.996,14399.0,5506.332,5314.076,-1824.6799999999998,4109.472,5512.34,-4849.68,4187.576,6137.172,-4670.599999999999
1700150922.2685547,5118.816,4575.092,14505.48,5503.328,5320.084,-1824.6799999999998,4250.66,5659.536,-4627.04,4331.768,6284.368,-4452.8
1700150922.2802234,4758.336,4208.604,13905.32,5362.14,5166.88,-2052.16,4109.472,5518.348,-4844.84,4043.384,5992.98,-4893.24
1700150922.2909594,4971.62,4424.892,14268.32,5359.136,5166.88,-2052.16,4037.376,5434.236,-4956.16,4259.672,6215.276,-4564.12
1700150922.3022156,5043.716,4502.996,14389.32,5509.336,5317.08,-1819.84,4109.472,5512.34,-4849.68,4223.624,6176.224,-4617.36
1700150922.3134477,4977.628,4430.9,14268.32,5503.328,5317.08,-1819.84,4178.564,5581.432,-4728.68,4184.572,6137.172,-4670.599999999999
1700150922.3246202,4971.62,4430.9,14268.32,5362.14,5166.88,-2042.48,4178.564,5584.436,-4733.5199999999995,4115.48,6068.08,-4781.92
1700150922.3358014,5046.72,4502.996,14384.48,5764.676,5566.412,-1432.6399999999999,4178.564,5584.436,-4733.5199999999995,4082.436,6029.028,-4840.0
1700150922.3472903,5004.664,4463.944,14326.4,5440.244,5241.98,-1931.1599999999999,4148.524,5548.388,-4791.599999999999,4262.676,6218.28,-4564.12
1700150922.3586197,4830.432,4280.7,14021.48,5284.036,5091.78,-2153.7999999999997,4073.424,5479.296,-4893.24,4115.48,6068.08,-4786.76
1700150922.3697941,5157.868,4608.136,14568.4,5437.24,5238.976,-1931.1599999999999,4070.42,5476.292,-4898.08,4262.676,6212.272,-4564.12
1700150922.3810763,4974.624,4430.9,14268.32,5506.332,5314.076,-1819.84,4181.568,5587.44,-4738.36,4151.528,6107.132,-4738.36
1700150922.3923628,4827.428,4280.7,14026.32,5247.988,5064.744,-2211.88,3932.236,5326.092,-5125.5599999999995,4151.528,6104.128,-4733.5199999999995
1700150922.4035556,5082.768,4539.044,14442.56,5437.24,5241.98,-1926.32,4106.468,5512.34,-4849.68,4187.576,6143.18,-4680.28
1700150922.4148748,5046.72,4502.996,14389.32,5398.188,5205.932,-1984.3999999999999,4178.564,5581.432,-4728.68,4043.384,5992.98,-4898.08
1700150922.4262946,4971.62,4427.896,14268.32,5211.94,5022.688,-2269.96,4142.516,5551.392,-4786.76,4259.672,6215.276,-4559.28
1700150922.4374113,5076.76,4536.04,14447.4,5253.996,5061.74,-2211.88,4181.568,5584.436,-4738.36,4187.576,6143.18,-4675.44
1700150922.4487236,5013.676,4466.948,14331.24,5434.236,5238.976,-1940.84,3890.18,5293.048,-5178.8,4226.628,6179.228,-4622.2
1700150922.4600525,4974.624,4430.9,14268.32,5506.332,5314.076,-1819.84,4031.368,5443.248,-4961.0,4082.436,6035.036,-4844.84
1700150922.4713671,4722.288,4172.556,13842.4,5431.232,5235.972,-1931.1599999999999,3854.132,5253.996,-5236.88,4331.768,6284.368,-4452.8
1700150922.482555,4902.528,4358.804,14152.16,5620.484,5422.22,-1660.12,4034.372,5440.244,-4956.16,4079.432,6035.036,-4844.84
1700150922.4937909,5121.82,4575.092,14505.48,5506.332,5317.08,-1819.84,4040.38,5443.248,-4956.16,4187.576,6140.176,-4675.44
1700150922.5050101,4974.624,4430.9,14268.32,5503.328,5320.084,-1824.6799999999998,4034.372,5434.236,-4956.16,4151.528,6110.136,-4733.5199999999995
1700150922.516427,5190.912,4644.184,14626.48,5548.388,5350.124,-1766.6,4181.568,5587.44,-4738.36,4256.668,6212.272,-4564.12
1700150922.52785,5263.008,4719.284,14752.32,5578.428,5383.168,-1713.36,3962.276,5365.144,-5067.48,3896.188,5839.776,-5120.72
1700150922.5392344,5049.724,4506.0,14389.32,5434.236,5238.976,-1931.1599999999999,4034.372,5443.248,-4956.16,4115.48,6065.076,-4786.76
1700150922.5504146,4974.624,4427.896,14268.32,5689.576,5494.316,-1548.8,4106.468,5512.34,-4844.84,4370.82,6323.42,-4404.4
1700150922.5616183,4974.624,4430.9,14273.16,5365.144,5169.884,-2052.16,4112.476,5512.34,-4849.68,4079.432,6032.032,-4844.84
1700150922.5730746,4833.436,4283.704,14026.32,5431.232,5241.98,-1931.1599999999999,4037.376,5443.248,-4956.16,4046.388,5992.98,-4902.92
1700150922.5844216,5007.668,4466.948,14326.4,5437.24,5241.98,-1940.84,4034.372,5434.236,-4956.16,4079.432,6032.032,-4844.84
1700150922.5956068,4830.432,4283.704,14031.16,5617.48,5419.216,-1655.28,4031.368,5440.244,-4956.16,4079.432,6032.032,-4849.68
1700150922.6071208,4863.476,4316.748,14089.24,5578.428,5389.176,-1708.52,4073.424,5476.292,-4902.92,4082.436,6029.028,-4844.84
