t_wall [s],X0 [uT],Y0 [uT],Z0 [uT],X1 [uT],Y1 [uT],Z1 [uT],X2 [uT],Y2 [uT],Z2 [uT],X3 [uT],Y3 [uT],Z3 [uT]
1700150687.6199963,5031.7,4602.128,14592.6,5527.36,5217.948,-2468.4,4151.528,5575.424,-4936.8,4127.496,5974.956,-4685.12
1700150687.6420267,4992.648,4569.084,14524.84,5746.652,5437.24,-2134.44,4295.72,5725.624,-4723.84,4349.792,6188.24,-4356.0
1700150687.6434634,4776.36,4349.792,14176.359999999999,5596.452,5293.048,-2357.08,4115.48,5545.384,-4999.72,4310.74,6152.192,-4414.08
1700150687.6540222,4740.312,4316.748,14108.6,5560.404,5260.004,-2405.48,4079.432,5509.336,-5057.8,4091.448,5935.904,-4748.04
1700150687.665451,4956.6,4530.032,14471.6,5527.36,5223.956,-2473.24,4040.38,5467.28,-5120.72,4379.832,6230.296,-4293.08
1700150687.6767483,5175.892,4746.32,14824.92,5455.264,5145.852,-2589.4,4295.72,5728.628,-4714.16,4163.544,6004.996,-4631.88
1700150687.6881688,4992.648,4560.072,14524.84,5596.452,5296.052,-2357.08,4295.72,5728.628,-4723.84,4346.788,6191.244,-4356.0
1700150687.699647,4881.5,4460.94,14345.76,5527.36,5223.956,-2473.24,4112.476,5545.384,-5004.5599999999995,4163.544,6004.996,-4636.72
1700150687.7108188,5103.796,4677.228,14713.6,5632.5,5329.0960000000005,-2299.0,4229.632,5653.528,-4835.16,4133.504,5971.952,-4685.12
1700150687.722021,4848.456,4421.888,14292.52,5668.548,5362.14,-2240.92,4079.432,5509.336,-5057.8,4310.74,6155.196,-4404.4
1700150687.7333467,5028.696,4602.128,14587.76,5527.36,5223.956,-2478.08,4148.524,5575.424,-4951.32,4382.836,6230.296,-4297.92
1700150687.744568,4848.456,4421.888,14287.68,5560.404,5257.0,-2415.16,4298.724,5725.624,-4723.84,4277.696,6113.14,-4462.48
1700150687.7560139,4884.504,4454.932,14350.6,5668.548,5368.148,-2245.7599999999998,4187.576,5620.484,-4893.24,4349.792,6188.24,-4351.16
1700150687.7671719,5028.696,4605.132,14582.92,5596.452,5296.052,-2357.08,4226.628,5653.528,-4835.16,4346.788,6191.244,-4356.0
1700150687.7785697,5031.7,4605.132,14587.76,5674.556,5365.144,-2240.92,4187.576,5620.484,-4893.24,4451.928,6299.388,-4186.599999999999
1700150687.7899356,4812.408,4385.84,14224.76,5674.556,5368.148,-2245.7599999999998,4262.676,5692.58,-4781.92,4346.788,6191.244,-4356.0
1700150687.8013997,5064.744,4641.18,14650.68,5632.5,5332.1,-2299.0,4226.628,5656.532,-4835.16,4346.788,6188.24,-4351.16
1700150687.8127077,5028.696,4602.128,14592.6,5563.408,5257.0,-2410.3199999999997,4151.528,5581.432,-4946.48,4343.784,6188.24,-4356.0
1700150687.8241053,4956.6,4533.036,14471.6,5749.656,5437.24,-2134.44,4148.524,5578.428,-4941.639999999999,4130.5,5971.952,-4685.12
1700150687.83542,5028.696,4602.128,14587.76,5602.46,5296.052,-2357.08,4118.484,5542.38,-5004.5599999999995,4127.496,5968.948,-4685.12
1700150687.84707,5028.696,4605.132,14587.76,5668.548,5368.148,-2245.7599999999998,3935.24,5356.132,-5280.44,4160.54,6008.0,-4631.88
1700150687.8584893,5031.7,4599.124,14592.6,5677.56,5368.148,-2250.6,3968.284,5395.184,-5227.2,4307.736,6152.192,-4404.4
1700150687.8697577,4923.556,4490.98,14413.52,5491.312,5178.896,-2526.48,4184.572,5620.484,-4888.4,4313.744,6152.192,-4399.5599999999995
1700150687.8945787,4809.404,4382.836,14224.76,5746.652,5440.244,-2139.2799999999997,4079.432,5509.336,-5052.96,4274.692,6116.144,-4462.48
1700150687.895832,4740.312,4313.744,14113.439999999999,5596.452,5293.048,-2357.08,4007.336,5437.24,-5173.96,4202.5960000000005,6047.052,-4573.8
1700150687.9036055,5106.8,4674.224,14713.6,5563.408,5257.0,-2415.16,4079.432,5506.332,-5062.639999999999,4379.832,6230.296,-4297.92
1700150687.915078,5103.796,4674.224,14713.6,5560.404,5257.0,-2420.0,4298.724,5725.624,-4719.0,4274.692,6116.144,-4462.48
1700150687.9265242,4632.168,4205.6,13929.52,5602.46,5296.052,-2352.24,4151.528,5581.432,-4941.639999999999,4346.788,6191.244,-4365.68
1700150687.9377441,4920.552,4493.984,14408.68,5530.364,5226.96,-2473.24,4184.572,5617.48,-4893.24,4379.832,6230.296,-4297.92
1700150687.9492443,5281.032,4854.464,15013.68,5674.556,5365.144,-2240.92,4112.476,5545.384,-4999.72,4274.692,6116.144,-4462.48
1700150687.9606638,5106.8,4671.22,14713.6,5491.312,5181.9,-2526.48,4151.528,5578.428,-4946.48,4199.592,6047.052,-4578.639999999999
1700150687.9718196,5034.704,4602.128,14587.76,5530.364,5217.948,-2473.24,4043.384,5479.296,-5111.04,4385.84,6230.296,-4288.24
1700150687.983333,4812.408,4391.848,14219.92,5566.412,5260.004,-2420.0,3971.288,5395.184,-5232.04,4166.548,6011.004,-4636.72
1700150688.0142083,5064.744,4638.176,14645.84,5494.316,5178.896,-2521.64,4115.48,5545.384,-5004.5599999999995,4199.592,6044.048,-4578.639999999999
1700150688.0191383,5172.888,4743.316,14824.92,5596.452,5293.048,-2357.08,3896.188,5326.092,-5333.68,4157.536,6004.996,-4636.72
1700150688.0290887,5064.744,4644.184,14645.84,5524.356,5214.944,-2468.4,4151.528,5581.432,-4946.48,4379.832,6230.296,-4288.24
1700150688.040693,4956.6,4533.036,14466.76,5527.36,5223.956,-2468.4,4226.628,5656.532,-4835.16,4163.544,6004.996,-4631.88
1700150688.0445096,4851.46,4421.888,14287.68,5599.456,5296.052,-2357.08,4079.432,5506.332,-5057.8,4382.836,6230.296,-4297.92
1700150688.0511773,5106.8,4674.224,14708.76,5530.364,5217.948,-2473.24,4115.48,5542.38,-4999.72,4382.836,6230.296,-4312.44
1700150688.0624561,5028.696,4605.132,14587.76,5455.264,5145.852,-2584.56,4184.572,5617.48,-4888.4,4385.84,6230.296,-4302.76
1700150688.073779,4959.604,4530.032,14471.6,5746.652,5440.244,-2129.6,4262.676,5689.576,-4777.08,4382.836,6227.292,-4293.08
1700150688.0851774,4959.604,4530.032,14466.76,5569.416,5260.004,-2415.16,4151.528,5575.424,-4936.8,4385.84,6224.288,-4293.08
1700150688.0966477,4995.652,4569.084,14524.84,5674.556,5365.144,-2245.7599999999998,3974.292,5395.184,-5232.04,4310.74,6152.192,-4404.4
1700150688.107908,5136.84,4713.276,14771.68,5674.556,5365.144,-2240.92,3935.24,5362.14,-5280.44,4235.64,6080.0960000000005,-4525.4
1700150688.119493,5064.744,4641.18,14650.68,5416.212,5109.804,-2637.7999999999997,4148.524,5578.428,-4946.48,4310.74,6155.196,-4414.08
1700150688.1310213,4995.652,4566.08,14529.68,5749.656,5437.24,-2139.2799999999997,4151.528,5581.432,-4941.639999999999,4454.932,6305.396,-4191.44
1700150688.1424007,4884.504,4457.936,14345.76,5491.312,5181.9,-2526.48,4148.524,5575.424,-4951.32,4163.544,6004.996,-4636.72
1700150688.153777,4701.26,4277.696,14045.68,5527.36,5223.956,-2478.08,4187.576,5617.48,-4893.24,4379.832,6227.292,-4297.92
1700150688.165174,4812.408,4388.844,14229.6,5599.456,5296.052,-2352.24,4223.624,5653.528,-4840.0,4091.448,5935.904,-4748.04
1700150688.176542,4878.496,4457.936,14355.439999999999,5452.26,5148.856,-2584.56,4187.576,5617.48,-4893.24,4310.74,6155.196,-4414.08
1700150688.1877222,4809.404,4385.84,14224.76,5668.548,5365.144,-2245.7599999999998,4076.428,5506.332,-5057.8,4457.936,6305.396,-4186.599999999999
1700150688.198978,4959.604,4533.036,14466.76,5599.456,5293.048,-2352.24,4226.628,5653.528,-4835.16,4238.644,6080.0960000000005,-4520.5599999999995
1700150688.210374,5028.696,4602.128,14592.6,5491.312,5178.896,-2536.16,3971.288,5398.188,-5227.2,4199.592,6047.052,-4573.8
1700150688.221735,5103.796,4671.22,14708.76,5494.316,5181.9,-2531.3199999999997,3932.236,5359.136,-5280.44,4235.64,6083.1,-4525.4
1700150688.2330253,4920.552,4496.988,14403.84,5632.5,5332.1,-2303.84,4007.336,5437.24,-5169.12,4310.74,6155.196,-4414.08
1700150688.2442412,5100.792,4674.224,14708.76,5668.548,5365.144,-2245.7599999999998,4184.572,5617.48,-4888.4,4346.788,6191.244,-4360.84
1700150688.2556486,4848.456,4421.888,14287.68,5527.36,5217.948,-2473.24,4079.432,5506.332,-5052.96,4379.832,6230.296,-4293.08
1700150688.2668622,5031.7,4602.128,14587.76,5602.46,5293.048,-2357.08,4226.628,5656.532,-4835.16,4385.84,6227.292,-4297.92
1700150688.2783334,5317.08,4890.512,15071.76,5632.5,5332.1,-2303.84,4148.524,5578.428,-4941.639999999999,4307.736,6152.192,-4404.4
1700150688.289575,4959.604,4530.032,14461.92,5668.548,5365.144,-2245.7599999999998,4079.432,5506.332,-5057.8,4238.644,6080.0960000000005,-4520.5599999999995
1700150688.3008647,4884.504,4457.936,14345.76,5632.5,5332.1,-2303.84,4043.384,5473.288,-5115.88,4382.836,6227.292,-4293.08
1700150688.3123252,4881.5,4460.94,14340.92,5677.56,5368.148,-2245.7599999999998,4151.528,5578.428,-4941.639999999999,4385.84,6227.292,-4293.08
1700150688.3235686,5031.7,4602.128,14587.76,5602.46,5296.052,-2361.92,4151.528,5581.432,-4946.48,4310.74,6152.192,-4404.4
1700150688.3348677,4923.556,4493.984,14408.68,5635.504,5332.1,-2308.68,3974.292,5395.184,-5227.2,4235.64,6083.1,-4520.5599999999995
1700150688.3462534,4848.456,4418.884,14287.68,5593.448,5293.048,-2357.08,4151.528,5584.436,-4946.48,4274.692,6116.144,-4462.48
1700150688.3576145,4809.404,4388.844,14229.6,5488.308,5184.904,-2526.48,4082.436,5506.332,-5048.12,4238.644,6083.1,-4530.24
1700150688.3690267,4812.408,4382.836,14229.6,5599.456,5290.044,-2352.24,3971.288,5395.184,-5232.04,4274.692,6119.148,-4467.32
1700150688.3805895,4809.404,4385.84,14224.76,5527.36,5223.956,-2473.24,3899.192,5323.088,-5338.5199999999995,4235.64,6077.092,-4525.4
1700150688.3916183,4845.452,4424.892,14292.52,5563.408,5257.0,-2415.16,4148.524,5581.432,-4946.48,4415.88,6263.34,-4244.68
1700150688.402863,5028.696,4602.128,14592.6,5677.56,5368.148,-2250.6,4079.432,5506.332,-5057.8,4382.836,6230.296,-4293.08
1700150688.4142423,4962.608,4530.032,14471.6,5635.504,5329.0960000000005,-2299.0,4187.576,5620.484,-4898.08,4163.544,6004.996,-4631.88
1700150688.4255686,4953.5960000000005,4530.032,14471.6,5449.256,5145.852,-2589.4,4187.576,5617.48,-4893.24,4457.936,6299.388,-4176.92
1700150688.4368987,5031.7,4602.128,14592.6,5563.408,5257.0,-2410.3199999999997,4112.476,5545.384,-5004.5599999999995,4349.792,6191.244,-4356.0
1700150688.4483771,4956.6,4530.032,14466.76,5668.548,5365.144,-2245.7599999999998,4079.432,5506.332,-5057.8,4382.836,6230.296,-4293.08
1700150688.4596088,4959.604,4530.032,14461.92,5632.5,5329.0960000000005,-2308.68,4004.332,5437.24,-5173.96,4527.028,6374.488,-4070.44
1700150688.4710832,5103.796,4674.224,14713.6,5779.696,5476.292,-2071.52,4115.48,5545.384,-5004.5599999999995,4091.448,5935.904,-4748.04
1700150688.4822547,4848.456,4424.892,14292.52,5668.548,5362.14,-2245.7599999999998,4076.428,5506.332,-5057.8,4346.788,6188.24,-4356.0
1700150688.4933317,4776.36,4346.788,14166.68,5455.264,5148.856,-2579.72,3971.288,5401.192,-5222.36,4274.692,6116.144,-4467.32
1700150688.504656,4737.308,4310.74,14113.439999999999,5779.696,5476.292,-2076.36,3971.288,5395.184,-5227.2,4457.936,6302.392,-4186.599999999999
1700150688.5159419,5103.796,4674.224,14708.76,5521.352,5223.956,-2473.24,3971.288,5398.188,-5227.2,4196.588,6047.052,-4578.639999999999
1700150688.5272396,4923.556,4493.984,14408.68,5452.26,5145.852,-2584.56,4223.624,5653.528,-4835.16,4163.544,6008.0,-4636.72
1700150688.5386045,4887.508,4460.94,14350.6,5452.26,5145.852,-2584.56,4181.568,5620.484,-4898.08,4310.74,6155.196,-4414.08
1700150688.5499084,4812.408,4385.84,14224.76,5527.36,5223.956,-2478.08,4151.528,5578.428,-4946.48,4382.836,6230.296,-4293.08
1700150688.561443,4809.404,4385.84,14224.76,5494.316,5184.904,-2526.48,4076.428,5509.336,-5057.8,4232.636,6077.092,-4520.5599999999995
1700150688.5729427,5028.696,4602.128,14587.76,5560.404,5257.0,-2410.3199999999997,3968.284,5392.18,-5232.04,4238.644,6083.1,-4520.5599999999995
1700150688.584377,4845.452,4421.888,14287.68,5707.6,5404.196,-2192.52,4082.436,5512.34,-5062.639999999999,4166.548,6008.0,-4631.88
1700150688.595861,4881.5,4457.936,14350.6,5668.548,5365.144,-2245.7599999999998,4223.624,5653.528,-4835.16,4235.64,6080.0960000000005,-4525.4
1700150688.6071665,4848.456,4421.888,14287.68,5635.504,5329.0960000000005,-2308.68,3971.288,5398.188,-5227.2,4232.636,6083.1,-4510.88
1700150688.6185243,4740.312,4313.744,14108.6,5494.316,5178.896,-2526.48,4226.628,5656.532,-4830.32,4235.64,6080.0960000000005,-4525.4
1700150688.6297715,4629.164,4211.608,13929.52,5632.5,5329.0960000000005,-2308.68,4115.48,5545.384,-5004.5599999999995,4310.74,6155.196,-4404.4
1700150688.641092,4809.404,4385.84,14224.76,5668.548,5368.148,-2240.92,3971.288,5398.188,-5222.36,4094.452,5938.908,-4748.04
1700150688.6523645,4812.408,4391.848,14219.92,5599.456,5293.048,-2352.24,4151.528,5575.424,-4951.32,4346.788,6188.24,-4356.0
1700150688.663635,4959.604,4530.032,14466.76,5674.556,5368.148,-2245.7599999999998,3899.192,5329.0960000000005,-5333.68,4091.448,5932.9,-4743.2
1700150688.6752315,4956.6,4530.032,14461.92,5632.5,5329.0960000000005,-2303.84,4223.624,5653.528,-4830.32,4091.448,5932.9,-4748.04
1700150688.6861782,4776.36,4355.8,14171.52,5527.36,5214.944,-2473.24,4115.48,5545.384,-4999.72,4277.696,6119.148,-4467.32
1700150688.6977096,4848.456,4421.888,14287.68,5668.548,5365.144,-2245.7599999999998,4040.38,5473.288,-5115.88,4313.744,6152.192,-4414.08
1700150688.7089849,4992.648,4566.08,14524.84,5674.556,5368.148,-2240.92,4187.576,5614.476,-4893.24,4232.636,6080.0960000000005,-4510.88
1700150688.720296,5100.792,4671.22,14713.6,5527.36,5223.956,-2473.24,3968.284,5401.192,-5227.2,4235.64,6080.0960000000005,-4520.5599999999995
1700150688.7317474,4845.452,4418.884,14292.52,5560.404,5257.0,-2410.3199999999997,3968.284,5395.184,-5217.5199999999995,4274.692,6116.144,-4472.16
1700150688.7429502,4959.604,4533.036,14476.439999999999,5599.456,5299.056,-2352.24,4298.724,5728.628,-4723.84,4310.74,6155.196,-4404.4
1700150688.7542424,4809.404,4385.84,14224.76,5593.448,5296.052,-2352.24,4187.576,5620.484,-4888.4,4196.588,6047.052,-4578.639999999999
1700150688.7655663,4740.312,4313.744,14108.6,5743.648,5437.24,-2129.6,4151.528,5581.432,-4946.48,4454.932,6302.392,-4186.599999999999
1700150688.7769792,4848.456,4418.884,14287.68,5632.5,5329.0960000000005,-2303.84,4184.572,5617.48,-4888.4,4310.74,6155.196,-4404.4
1700150688.788216,4956.6,4530.032,14471.6,5524.356,5223.956,-2468.4,4151.528,5584.436,-4941.639999999999,4349.792,6188.24,-4356.0
1700150688.7994945,4809.404,4385.84,14224.76,5668.548,5365.144,-2240.92,4085.44,5509.336,-5052.96,4346.788,6188.24,-4356.0
1700150688.8108954,4740.312,4313.744,14108.6,5746.652,5437.24,-2129.6,4223.624,5656.532,-4835.16,4196.588,6047.052,-4573.8
1700150688.822177,5061.74,4641.18,14645.84,5668.548,5371.152,-2245.7599999999998,3935.24,5359.136,-5280.44,4310.74,6152.192,-4423.76
1700150688.8335273,4737.308,4313.744,14108.6,5599.456,5293.048,-2357.08,4112.476,5542.38,-4999.72,4235.64,6080.0960000000005,-4520.5599999999995
1700150688.844772,4884.504,4457.936,14350.6,5677.56,5365.144,-2245.7599999999998,4151.528,5578.428,-4941.639999999999,4274.692,6119.148,-4467.32
1700150688.8561661,4989.644,4566.08,14524.84,5560.404,5257.0,-2415.16,4223.624,5653.528,-4830.32,4382.836,6230.296,-4297.92
1700150688.8673754,5028.696,4599.124,14592.6,5599.456,5290.044,-2352.24,4043.384,5470.284,-5111.04,4199.592,6047.052,-4573.8
1700150688.8813808,4848.456,4424.892,14292.52,5632.5,5332.1,-2299.0,4112.476,5542.38,-5009.4,4163.544,6004.996,-4636.72
1700150688.890478,4920.552,4493.984,14413.52,5599.456,5293.048,-2357.08,4406.868,5839.776,-4554.44,4235.64,6083.1,-4520.5599999999995
1700150688.9018579,5031.7,4602.128,14592.6,5593.448,5293.048,-2352.24,4151.528,5581.432,-4946.48,4166.548,6001.992,-4631.88
1700150688.913239,4809.404,4382.836,14224.76,5599.456,5296.052,-2352.24,4148.524,5578.428,-4946.48,4310.74,6155.196,-4404.4
1700150688.9245672,4992.648,4563.076,14529.68,5782.7,5476.292,-2076.36,4187.576,5620.484,-4893.24,4310.74,6152.192,-4404.4
1700150688.93593,4809.404,4382.836,14224.76,5635.504,5326.092,-2299.0,4184.572,5617.48,-4893.24,4196.588,6044.048,-4578.639999999999
1700150688.9472415,5100.792,4674.224,14703.92,5602.46,5296.052,-2347.4,4226.628,5653.528,-4835.16,4235.64,6083.1,-4520.5599999999995
1700150688.9584863,4920.552,4490.98,14408.68,5887.84,5584.436,-1906.96,4112.476,5539.376,-4999.72,4415.88,6266.344,-4249.5199999999995
1700150688.9697413,5031.7,4602.128,14587.76,5602.46,5293.048,-2352.24,3971.288,5392.18,-5227.2,4235.64,6080.0960000000005,-4510.88
1700150688.981176,4737.308,4310.74,14108.6,5599.456,5293.048,-2357.08,4193.584,5620.484,-4888.4,4094.452,5935.904,-4748.04
1700150688.9926672,4776.36,4349.792,14161.84,5599.456,5296.052,-2361.92,3971.288,5401.192,-5227.2,4310.74,6155.196,-4404.4
1700150689.0039418,4668.216,4241.648,13987.6,5599.456,5296.052,-2357.08,4226.628,5653.528,-4835.16,4163.544,6008.0,-4636.72
1700150689.0153625,4920.552,4493.984,14408.68,5491.312,5184.904,-2531.3199999999997,4148.524,5578.428,-4941.639999999999,4346.788,6194.248,-4346.32
1700150689.0266042,4923.556,4496.988,14408.68,5665.544,5365.144,-2245.7599999999998,4151.528,5578.428,-4951.32,4310.74,6155.196,-4414.08
1700150689.0379767,4851.46,4418.884,14287.68,5632.5,5326.092,-2303.84,4112.476,5539.376,-5004.5599999999995,4454.932,6302.392,-4186.599999999999
1700150689.049417,4992.648,4566.08,14524.84,5560.404,5260.004,-2415.16,4007.336,5434.236,-5169.12,4196.588,6047.052,-4573.8
1700150689.0606234,4920.552,4493.984,14408.68,5635.504,5329.0960000000005,-2303.84,4187.576,5617.48,-4888.4,4379.832,6230.296,-4293.08
1700150689.0719872,4956.6,4527.028,14471.6,5668.548,5365.144,-2240.92,4151.528,5581.432,-4946.48,4238.644,6080.0960000000005,-4525.4
1700150689.0846326,4920.552,4493.984,14403.84,5491.312,5187.908,-2526.48,4151.528,5581.432,-4946.48,4382.836,6230.296,-4293.08
1700150689.0946505,5028.696,4602.128,14592.6,5632.5,5329.0960000000005,-2299.0,4118.484,5545.384,-4999.72,4235.64,6080.0960000000005,-4525.4
1700150689.1059985,4959.604,4530.032,14466.76,5596.452,5296.052,-2357.08,4151.528,5578.428,-4941.639999999999,4124.492,5968.948,-4689.96
1700150689.1173613,5031.7,4605.132,14587.76,5599.456,5296.052,-2357.08,4043.384,5473.288,-5111.04,4277.696,6119.148,-4462.48
1700150689.1285677,4776.36,4349.792,14161.84,5491.312,5181.9,-2521.64,4259.672,5692.58,-4777.08,4235.64,6083.1,-4520.5599999999995
1700150689.13969,4995.652,4569.084,14529.68,5527.36,5217.948,-2473.24,4079.432,5506.332,-5052.96,4346.788,6191.244,-4351.16
1700150689.1509407,5064.744,4641.18,14645.84,5455.264,5148.856,-2584.56,4007.336,5434.236,-5169.12,4277.696,6116.144,-4467.32
1700150689.1622746,5031.7,4605.132,14592.6,5635.504,5329.0960000000005,-2303.84,4079.432,5506.332,-5052.96,4202.5960000000005,6047.052,-4573.8
1700150689.173741,4848.456,4421.888,14287.68,5677.56,5365.144,-2245.7599999999998,4151.528,5581.432,-4946.48,4232.636,6083.1,-4530.24
1700150689.1852148,5028.696,4599.124,14587.76,5635.504,5326.092,-2299.0,3968.284,5398.188,-5222.36,4202.5960000000005,6047.052,-4578.639999999999
1700150689.1965742,5100.792,4674.224,14708.76,5668.548,5365.144,-2240.92,3899.192,5323.088,-5328.84,4418.884,6266.344,-4239.84
1700150689.2079859,5031.7,4602.128,14587.76,5599.456,5293.048,-2352.24,4043.384,5473.288,-5111.04,4238.644,6086.104,-4520.5599999999995
1700150689.2193203,4956.6,4530.032,14461.92,5596.452,5290.044,-2357.08,3968.284,5395.184,-5222.36,4454.932,6299.388,-4181.76
1700150689.2305813,4815.412,4388.844,14224.76,5524.356,5217.948,-2468.4,4079.432,5506.332,-5057.8,4166.548,6004.996,-4636.72
1700150689.2419784,4923.556,4490.98,14408.68,5527.36,5223.956,-2468.4,4151.528,5578.428,-4946.48,4310.74,6155.196,-4404.4
1700150689.2534432,4956.6,4533.036,14471.6,5596.452,5293.048,-2352.24,4223.624,5653.528,-4830.32,4238.644,6080.0960000000005,-4520.5599999999995
1700150689.2649271,4920.552,4490.98,14403.84,5533.368,5217.948,-2468.4,4226.628,5653.528,-4835.16,4310.74,6152.192,-4404.4
1700150689.2762945,4959.604,4536.04,14471.6,5491.312,5187.908,-2526.48,4184.572,5620.484,-4893.24,4346.788,6191.244,-4356.0
1700150689.2875776,4845.452,4421.888,14282.84,5596.452,5296.052,-2357.08,4151.528,5578.428,-4951.32,4307.736,6155.196,-4414.08
1700150689.298929,5028.696,4602.128,14587.76,5674.556,5359.136,-2245.7599999999998,4148.524,5575.424,-4941.639999999999,4238.644,6083.1,-4520.5599999999995
1700150689.3103783,4923.556,4487.976,14413.52,5599.456,5290.044,-2361.92,4226.628,5653.528,-4835.16,4346.788,6185.236,-4356.0
1700150689.3218203,4989.644,4566.08,14524.84,5305.064,5001.66,-2812.04,4082.436,5509.336,-5057.8,4091.448,5935.904,-4743.2
1700150689.3332376,4992.648,4569.084,14529.68,5779.696,5476.292,-2071.52,4079.432,5509.336,-5057.8,4382.836,6227.292,-4293.08
1700150689.344563,4956.6,4521.02,14471.6,5674.556,5365.144,-2245.7599999999998,3971.288,5392.18,-5222.36,4166.548,6001.992,-4627.04
1700150689.3559875,4740.312,4310.74,14113.439999999999,5674.556,5365.144,-2245.7599999999998,4301.728,5728.628,-4723.84,4307.736,6155.196,-4404.4
1700150689.3674529,5064.744,4638.176,14645.84,5599.456,5293.048,-2357.08,4046.388,5470.284,-5111.04,4199.592,6041.044,-4578.639999999999
1700150689.3788137,4704.264,4277.696,14045.68,5668.548,5365.144,-2250.6,4187.576,5620.484,-4888.4,4235.64,6083.1,-4510.88
1700150689.3900993,5067.748,4635.172,14645.84,5707.6,5404.196,-2187.68,4079.432,5503.328,-5052.96,4415.88,6266.344,-4235.0
