t_wall [s],X0 [uT],Y0 [uT],Z0 [uT],X1 [uT],Y1 [uT],Z1 [uT],X2 [uT],Y2 [uT],Z2 [uT],X3 [uT],Y3 [uT],Z3 [uT]
1700581803.510149,5028.696,6765.008,-3431.56,81729.828,38664.484,-61579.32,9444.576,-31316.7,90750.0,-12097.108,140944.676,174995.04
1700581803.541924,5758.668,5464.276,16533.44,6326.424,5902.86,-2071.52,4734.304,6143.18,-3905.88,4923.556,6653.86,-3596.12
1700581803.5433202,5908.868,5608.468,16775.44,6581.764,6155.196,-1689.1599999999999,4734.304,6143.18,-3910.72,4845.452,6584.768,-3707.44
1700581803.5449643,5506.332,5205.932,16117.199999999999,6326.424,5902.86,-2086.04,4731.3,6143.18,-3910.72,4815.412,6542.712,-3765.52
1700581803.5561674,5650.524,5350.124,16349.519999999999,6434.568,6011.004,-1911.8,4662.208,6068.08,-4022.04,4740.312,6473.62,-3876.8399999999997
1700581803.5674329,5758.668,5461.272,16528.6,6434.568,6011.004,-1902.12,4590.112,5998.988,-4138.2,4737.308,6473.62,-3881.68
1700581803.5786185,5722.62,5422.22,16475.36,6437.572,6014.008,-1911.8,4554.064,5959.936,-4191.44,4959.604,6695.916,-3538.04
1700581803.592512,5545.384,5241.98,16175.279999999999,6404.528,5980.964,-1960.2,4662.208,6071.084,-4022.04,4881.5,6617.812,-3644.52
1700581803.6010113,5650.524,5353.128,16354.359999999999,6218.28,5797.72,-2245.7599999999998,4481.968,5884.836,-4302.76,4887.508,6620.816,-3654.2
1700581803.6125135,5467.28,5172.888,16054.279999999999,6401.524,5971.952,-1960.2,4593.116,5995.984,-4128.5199999999995,4593.116,6332.432,-4099.48
1700581803.6238894,5977.96,5680.564,16896.44,6326.424,5899.856,-2076.36,4662.208,6065.076,-4022.04,4740.312,6473.62,-3876.8399999999997
1700581803.6353362,5761.672,5458.268,16538.28,6329.428,5902.86,-2086.04,4659.204,6071.084,-4017.2,4596.12,6332.432,-4099.48
1700581803.6519198,5725.624,5425.224,16480.2,6293.38,5863.808,-2134.44,4659.204,6068.08,-4022.04,4959.604,6695.916,-3542.88
1700581803.657958,5647.52,5350.124,16354.359999999999,6473.62,6044.048,-1848.8799999999999,5025.692,6437.572,-3470.2799999999997,4995.652,6731.964,-3484.7999999999997
1700581803.669417,5836.772,5539.376,16649.6,6401.524,5971.952,-1960.2,4875.492,6284.368,-3688.08,4668.216,6401.524,-3988.16
1700581803.680798,5791.712,5494.316,16591.52,6218.28,5794.716,-2245.7599999999998,4737.308,6143.18,-3915.56,4812.408,6548.72,-3760.68
1700581803.6921158,5581.432,5281.032,16233.359999999999,6326.424,5899.856,-2076.36,4695.252,6104.128,-3963.96,4881.5,6620.816,-3649.3599999999997
1700581803.7089303,5614.476,5317.08,16296.279999999999,6692.912,6266.344,-1524.6,4698.256,6104.128,-3968.7999999999997,4887.508,6617.812,-3649.3599999999997
1700581803.714582,5647.52,5350.124,16349.519999999999,6218.28,5794.716,-2240.92,4737.308,6143.18,-3910.72,4887.508,6617.812,-3654.2
1700581803.7261286,5941.912,5647.52,16833.52,6218.28,5791.712,-2245.7599999999998,4953.5960000000005,6365.476,-3586.44,4842.448,6590.776,-3707.44
1700581803.7372844,5689.576,5392.18,16407.6,6509.668,6086.104,-1795.6399999999999,4956.6,6365.476,-3576.7599999999998,4845.452,6584.768,-3707.44
1700581803.74863,5578.428,5284.036,16228.519999999999,6404.528,5971.952,-1965.04,4875.492,6290.376,-3692.92,4776.36,6509.668,-3818.7599999999998
1700581803.7597115,5794.716,5494.316,16596.36,6293.38,5863.808,-2134.44,4734.304,6143.18,-3915.56,4668.216,6398.52,-3988.16
1700581803.7710567,5833.768,5539.376,16654.44,6071.084,5644.516,-2473.24,4806.4,6215.276,-3794.56,4671.22,6404.528,-3988.16
1700581803.7824821,5761.672,5458.268,16528.6,6146.184,5719.616,-2352.24,4659.204,6071.084,-4017.2,4734.304,6473.62,-3876.8399999999997
