t_wall [s],X0 [uT],Y0 [uT],Z0 [uT],X1 [uT],Y1 [uT],Z1 [uT],X2 [uT],Y2 [uT],Z2 [uT],X3 [uT],Y3 [uT],Z3 [uT]
1700582577.8031025,5794.716,5461.272,16828.68,6131.164,5716.612,-2773.3199999999997,4533.036,5971.952,-3765.52,4674.224,6602.792,-4278.5599999999995
1700582577.8263867,5869.816,5536.372,16954.52,6275.356,5860.804,-2550.68,4572.088,6008.0,-3712.2799999999997,4674.224,6602.792,-4268.88
1700582577.8276136,6053.06,5719.616,17244.92,5914.876,5494.316,-3102.44,4433.904,5857.8,-3944.6,4674.224,6599.788,-4273.72
1700582577.8371623,5722.62,5392.18,16712.52,6170.216,5752.66,-2715.24,4536.04,5974.956,-3765.52,4749.324,6671.884,-4167.24
1700582577.8486674,5944.916,5611.472,17070.68,6200.256,5788.708,-2666.84,4716.28,6152.192,-3484.7999999999997,4605.132,6530.696,-4385.04
1700582577.86006,5983.968,5647.52,17133.6,6272.352,5860.804,-2550.68,4608.136,6047.052,-3659.04,4749.324,6674.888,-4172.08
1700582577.871337,5653.528,5320.084,16586.68,6098.12,5680.564,-2821.72,4794.384,6230.296,-3373.48,4710.272,6635.836,-4220.48
1700582577.8886,5872.82,5536.372,16949.68,6167.212,5749.656,-2710.4,4355.8,5788.708,-4046.24,4677.228,6602.792,-4273.72
1700582577.8937478,6053.06,5722.62,17249.76,5983.968,5569.416,-2995.96,4427.896,5860.804,-3944.6,4713.276,6638.84,-4220.48
1700582577.9048624,6119.148,5791.712,17365.92,6278.36,5860.804,-2545.84,4391.848,5824.756,-3997.8399999999997,4677.228,6602.792,-4268.88
1700582577.9161375,5614.476,5287.04,16523.76,6125.156,5716.612,-2773.3199999999997,4608.136,6041.044,-3654.2,4677.228,6599.788,-4273.72
1700582577.9274044,5980.964,5647.52,17128.76,6092.112,5683.568,-2836.24,4283.704,5716.612,-4157.5599999999995,4785.372,6713.94,-4104.32
1700582577.943732,5941.912,5611.472,17075.52,6272.352,5860.804,-2550.68,4358.804,5788.708,-4046.24,4602.128,6527.692,-4385.04
1700582577.9499013,5905.864,5572.42,17007.76,6350.456,5938.908,-2439.36,4463.944,5899.856,-3876.8399999999997,4713.276,6635.836,-4215.64
1700582577.9612322,6086.104,5755.664,17312.68,6092.112,5680.564,-2821.72,4572.088,6008.0,-3712.2799999999997,4566.08,6488.64,-4443.12
1700582577.9725807,5758.668,5428.228,16775.44,6095.116,5680.564,-2821.72,4427.896,5863.808,-3934.92,4743.316,6674.888,-4157.5599999999995
1700582577.9841032,5980.964,5647.52,17128.76,5983.968,5572.42,-3000.7999999999997,4539.044,5971.952,-3770.3599999999997,4563.076,6491.644,-4443.12
1700582577.9968755,5977.96,5647.52,17123.92,5947.92,5533.368,-3063.72,4752.328,6191.244,-3436.4,4677.228,6599.788,-4273.72
1700582578.0065737,6164.208,5824.756,17438.52,6317.412,5902.86,-2492.6,4749.324,6194.248,-3436.4,4641.18,6566.744,-4331.8
1700582578.0179882,5872.82,5539.376,16949.68,6236.304,5824.756,-2603.92,4499.992,5932.9,-3823.6,4713.276,6635.836,-4215.64
1700582578.0293205,5902.86,5578.428,17012.6,6170.216,5752.66,-2715.24,4680.232,6116.144,-3547.72,4533.036,6455.5960000000005,-4496.36
1700582578.040787,6125.156,5791.712,17370.76,6236.304,5821.752,-2599.08,4536.04,5971.952,-3770.3599999999997,4752.328,6668.88,-4167.24
1700582578.052439,5908.868,5572.42,17007.76,6164.208,5746.652,-2720.08,4430.9,5863.808,-3934.92,4641.18,6566.744,-4331.8
1700582578.0634537,6125.156,5791.712,17380.44,6239.308,5827.76,-2603.92,4466.948,5896.852,-3881.68,4746.32,6674.888,-4157.5599999999995
1700582578.0747294,5833.768,5500.324,16886.76,6275.356,5857.8,-2555.52,4608.136,6041.044,-3659.04,4638.176,6563.74,-4331.8
1700582578.0859385,6056.064,5719.616,17249.76,6425.556,6008.0,-2328.04,4533.036,5971.952,-3770.3599999999997,4530.032,6455.5960000000005,-4501.2
1700582578.0972297,5980.964,5647.52,17133.6,6203.26,5791.712,-2666.84,4391.848,5827.76,-3997.8399999999997,4605.132,6527.692,-4380.2
1700582578.1087775,5833.768,5500.324,16891.6,6098.12,5677.56,-2831.4,4578.0960000000005,6008.0,-3707.44,4710.272,6641.844,-4220.48
1700582578.1199775,5803.728,5461.272,16828.68,6386.504,5974.956,-2381.2799999999997,4499.992,5938.908,-3833.2799999999997,4749.324,6671.884,-4167.24
1700582578.1312153,5977.96,5647.52,17128.76,6167.212,5755.664,-2715.24,4608.136,6041.044,-3654.2,4749.324,6674.888,-4172.08
1700582578.1425412,5725.624,5395.184,16702.84,6131.164,5719.616,-2773.3199999999997,4463.944,5899.856,-3876.8399999999997,4605.132,6530.696,-4389.88
1700582578.1624775,5905.864,5578.428,17007.76,6167.212,5749.656,-2715.24,4611.14,6044.048,-3659.04,4890.512,6822.084,-3944.6
1700582578.164942,5977.96,5650.524,17133.6,6017.012,5605.464,-2937.88,4460.94,5896.852,-3881.68,4677.228,6605.796,-4278.5599999999995
1700582578.17602,5977.96,5650.524,17128.76,6167.212,5755.664,-2715.24,4644.184,6080.0960000000005,-3605.7999999999997,4605.132,6530.696,-4380.2
1700582578.1872451,5980.964,5647.52,17138.44,6020.016,5608.468,-2942.72,4680.232,6116.144,-3547.72,4719.284,6638.84,-4215.64
1700582578.198702,5905.864,5572.42,17002.92,6053.06,5647.52,-2879.7999999999997,4605.132,6044.048,-3654.2,4749.324,6674.888,-4172.08
1700582578.2100654,5725.624,5392.18,16717.36,6131.164,5716.612,-2773.3199999999997,4394.852,5824.756,-3988.16,4677.228,6602.792,-4273.72
1700582578.2211783,5761.672,5425.224,16775.44,6275.356,5860.804,-2555.52,4463.944,5899.856,-3881.68,4527.028,6452.592,-4491.5199999999995
1700582578.2324815,6050.056,5719.616,17254.6,6200.256,5788.708,-2662.0,4466.948,5896.852,-3876.8399999999997,4677.228,6599.788,-4273.72
1700582578.2437828,5944.916,5614.476,17070.68,5944.916,5533.368,-3054.04,4644.184,6083.1,-3605.7999999999997,4749.324,6674.888,-4167.24
1700582578.2550635,6050.056,5722.62,17249.76,6236.304,5824.756,-2603.92,4608.136,6044.048,-3663.88,4782.368,6716.944,-4109.16
1700582578.2702663,5836.772,5500.324,16886.76,6020.016,5611.472,-2937.88,4394.852,5824.756,-3993.0,4457.936,6386.504,-4612.5199999999995
1700582578.2777817,5794.716,5464.276,16828.68,6164.208,5755.664,-2720.08,4352.796,5791.712,-4046.24,4746.32,6671.884,-4167.24
1700582578.2891293,6053.06,5719.616,17259.44,6278.36,5860.804,-2555.52,4677.228,6113.14,-3542.88,4677.228,6596.784,-4268.88
