t_wall [s],X0 [uT],Y0 [uT],Z0 [uT],X1 [uT],Y1 [uT],Z1 [uT],X2 [uT],Y2 [uT],Z2 [uT],X3 [uT],Y3 [uT],Z3 [uT]
1700582809.8728116,5275.024,5178.896,15759.039999999999,5692.58,5130.832,-3329.92,3745.988,4923.556,-4869.04,4199.592,5569.416,-4220.48
1700582809.893833,5091.78,4995.652,15458.96,5800.724,5235.972,-3165.36,3929.232,5112.808,-4593.16,4199.592,5572.42,-4215.64
1700582809.8964853,5094.784,5001.66,15449.279999999999,5803.728,5238.976,-3165.36,3896.188,5070.752,-4646.4,4346.788,5719.616,-3983.3199999999997
1700582809.9066088,5058.736,4962.608,15400.88,5731.632,5163.876,-3271.8399999999997,3965.28,5142.848,-4535.08,4205.6,5575.424,-4210.8
1700582809.9178839,5238.976,5148.856,15696.119999999999,5803.728,5238.976,-3165.36,4250.66,5434.236,-4089.7999999999997,4310.74,5680.564,-4051.08
1700582809.92915,5166.88,5070.752,15575.119999999999,5803.728,5235.972,-3160.52,4181.568,5365.144,-4205.96,4307.736,5683.568,-4051.08
1700582809.9406252,5094.784,5004.664,15463.8,5770.684,5199.924,-3218.6,4106.468,5293.048,-4312.44,4127.496,5500.324,-4331.8
1700582809.951821,4950.592,4854.464,15216.96,5842.78,5278.028,-3112.12,4109.472,5290.044,-4312.44,4346.788,5719.616,-3988.16
1700582809.9631355,5166.88,5073.756,15575.119999999999,5659.536,5088.776,-3388.0,3965.28,5145.852,-4535.08,4277.696,5647.52,-4109.16
1700582809.974633,4803.396,4710.272,14974.96,5656.532,5094.784,-3388.0,4142.516,5329.0960000000005,-4259.2,4274.692,5644.516,-4104.32
1700582809.9861057,5169.884,5076.76,15570.279999999999,5545.384,4986.64,-3552.56,4259.672,5440.244,-4094.64,4130.5,5503.328,-4331.8
1700582810.0040457,5278.028,5184.904,15759.039999999999,5728.628,5163.876,-3276.68,3926.228,5109.804,-4598.0,4163.544,5536.372,-4268.88
1700582810.0084848,5169.884,5073.756,15584.8,5875.824,5311.072,-3049.2,4181.568,5365.144,-4201.12,4271.688,5644.516,-4104.32
1700582810.0199358,5169.884,5070.752,15584.8,5944.916,5386.172,-2942.72,4037.376,5217.948,-4428.599999999999,4454.932,5830.764,-3823.6
1700582810.031331,5094.784,5001.66,15463.8,5875.824,5314.076,-3049.2,3854.132,5034.704,-4704.48,4235.64,5605.464,-4157.5599999999995
1700582810.042705,5199.924,5109.804,15638.039999999999,5881.832,5314.076,-3054.04,3965.28,5148.856,-4530.24,4343.784,5719.616,-3988.16
1700582810.0559244,5238.976,5145.852,15700.96,5800.724,5238.976,-3165.36,4037.376,5217.948,-4423.76,4166.548,5539.376,-4273.72
1700582810.065444,5127.828,5034.704,15521.88,5581.432,5022.688,-3494.48,3962.276,5148.856,-4539.92,4490.98,5866.812,-3770.3599999999997
1700582810.0768294,5455.264,5365.144,16059.119999999999,5803.728,5238.976,-3160.52,3890.18,5073.756,-4651.24,4274.692,5644.516,-4104.32
1700582810.0878909,5422.22,5329.0960000000005,16001.039999999999,5728.628,5163.876,-3271.8399999999997,3965.28,5145.852,-4535.08,4415.88,5797.72,-3876.8399999999997
1700582810.0990336,4989.644,4890.512,15275.039999999999,5617.48,5055.732,-3446.08,4253.664,5440.244,-4094.64,4346.788,5722.62,-3983.3199999999997
1700582810.1104267,5202.928,5112.808,15642.88,5950.924,5386.172,-2937.88,4178.564,5365.144,-4201.12,4277.696,5644.516,-4109.16
1700582810.121611,5130.832,5037.708,15517.039999999999,5767.68,5202.928,-3218.6,3965.28,5145.852,-4539.92,4238.644,5614.476,-4162.4
1700582810.1330905,4803.396,4713.276,14979.8,5950.924,5383.168,-2942.72,4220.62,5398.188,-4147.88,4202.5960000000005,5572.42,-4215.64
1700582810.1444936,5019.684,4932.568,15347.64,5617.48,5058.736,-3446.08,3926.228,5106.8,-4588.32,4268.684,5644.516,-4104.32
1700582810.1558876,5311.072,5214.944,15817.119999999999,5620.484,5052.728,-3446.08,4112.476,5290.044,-4322.12,4199.592,5572.42,-4225.32
1700582810.1671143,5094.784,5001.66,15458.96,5803.728,5238.976,-3160.52,3965.28,5142.848,-4544.76,4130.5,5500.324,-4326.96
1700582810.1782527,5238.976,5148.856,15696.119999999999,5950.924,5383.168,-2942.72,4109.472,5290.044,-4312.44,4349.792,5722.62,-3988.16
1700582810.189415,5130.832,5040.712,15517.039999999999,5800.724,5235.972,-3165.36,4325.76,5506.332,-3973.64,4313.744,5680.564,-4046.24
1700582810.2006166,5241.98,5145.852,15696.119999999999,5695.584,5130.832,-3334.7599999999998,4217.616,5398.188,-4147.88,4310.74,5683.568,-4046.24
1700582810.2117774,5275.024,5181.9,15759.039999999999,5695.584,5127.828,-3334.7599999999998,3854.132,5034.704,-4709.32,4202.5960000000005,5572.42,-4215.64
1700582810.222959,5166.88,5070.752,15575.119999999999,5617.48,5058.736,-3436.4,4178.564,5365.144,-4201.12,4202.5960000000005,5569.416,-4215.64
1700582810.2343476,4728.296,4635.172,14858.8,5692.58,5127.828,-3329.92,3926.228,5106.8,-4593.16,4418.884,5791.712,-3881.68
1700582810.2457273,4983.636,4890.512,15275.039999999999,5545.384,4986.64,-3552.56,3893.184,5070.752,-4641.5599999999995,4271.688,5644.516,-4104.32
1700582810.2568805,5091.78,5004.664,15458.96,5620.484,5055.732,-3441.24,3926.228,5112.808,-4593.16,4199.592,5578.428,-4220.48
1700582810.2706285,5091.78,5001.66,15458.96,5872.82,5314.076,-3054.04,3748.992,4923.556,-4864.2,4238.644,5608.468,-4157.5599999999995
1700582810.2794278,4803.396,4710.272,14979.8,5620.484,5055.732,-3441.24,3890.18,5073.756,-4641.5599999999995,4127.496,5497.32,-4326.96
1700582810.2905164,4986.64,4893.516,15270.199999999999,5875.824,5314.076,-3058.88,3965.28,5142.848,-4535.08,4307.736,5680.564,-4051.08
1700582810.3018837,5127.828,5037.708,15526.72,5731.632,5163.876,-3276.68,4034.372,5217.948,-4423.76,4274.692,5641.512,-4104.32
1700582810.3132167,5127.828,5037.708,15521.88,5548.388,4983.636,-3552.56,3854.132,5031.7,-4699.639999999999,4418.884,5791.712,-3876.8399999999997
1700582810.3245676,5238.976,5148.856,15700.96,5872.82,5314.076,-3049.2,3959.272,5145.852,-4539.92,4274.692,5641.512,-4104.32
1700582810.335966,5311.072,5217.948,15817.119999999999,5614.476,5055.732,-3446.08,3857.136,5034.704,-4709.32,4274.692,5644.516,-4099.48
1700582810.3472376,5016.68,4926.56,15342.8,5695.584,5127.828,-3329.92,3893.184,5073.756,-4651.24,4490.98,5863.808,-3765.52
1700582810.3586228,5124.824,5037.708,15526.72,5839.776,5275.024,-3107.2799999999997,3748.992,4923.556,-4864.2,4130.5,5500.324,-4326.96
1700582810.369898,5019.684,4929.564,15342.8,5617.48,5055.732,-3450.92,3959.272,5145.852,-4539.92,4421.888,5788.708,-3881.68
1700582810.381077,5383.168,5293.048,15942.96,5692.58,5127.828,-3334.7599999999998,4034.372,5217.948,-4423.76,4415.88,5791.712,-3872.0
1700582810.3922126,5091.78,4995.652,15463.8,5695.584,5133.836,-3334.7599999999998,4181.568,5368.148,-4210.8,4457.936,5827.76,-3823.6
1700582810.4034922,4953.5960000000005,4857.468,15221.8,5728.628,5163.876,-3271.8399999999997,4142.516,5329.0960000000005,-4259.2,4418.884,5794.716,-3881.68
1700582810.4149737,5314.076,5214.944,15821.96,5620.484,5058.736,-3441.24,4034.372,5217.948,-4428.599999999999,4310.74,5683.568,-4051.08
1700582810.4277263,5241.98,5151.86,15700.96,5656.532,5094.784,-3388.0,4037.376,5217.948,-4423.76,4274.692,5644.516,-4104.32
1700582810.437613,4944.584,4854.464,15221.8,5695.584,5133.836,-3329.92,3962.276,5145.852,-4535.08,4379.832,5755.664,-3934.92
1700582810.4488838,4875.492,4785.372,15100.8,5614.476,5058.736,-3446.08,3998.324,5181.9,-4481.84,4343.784,5722.62,-3988.16
1700582810.4603798,5094.784,5001.66,15463.8,5581.432,5016.68,-3494.48,4109.472,5290.044,-4307.599999999999,4235.64,5605.464,-4162.4
1700582810.471516,5166.88,5076.76,15579.96,5731.632,5166.88,-3271.8399999999997,4031.368,5217.948,-4428.599999999999,4415.88,5797.72,-3881.68
1700582810.4826527,5091.78,5001.66,15463.8,5692.58,5127.828,-3329.92,4001.328,5178.896,-4477.0,4232.636,5608.468,-4162.4
1700582810.4937208,5202.928,5109.804,15642.88,5581.432,5016.68,-3499.3199999999997,4106.468,5290.044,-4317.28,4058.404,5422.22,-4438.28
1700582810.5050821,5169.884,5073.756,15584.8,5695.584,5127.828,-3334.7599999999998,4073.424,5257.0,-4370.5199999999995,4238.644,5608.468,-4167.24
1700582810.5164921,5094.784,5001.66,15463.8,5581.432,5022.688,-3489.64,4184.572,5365.144,-4205.96,4340.78,5719.616,-3988.16
1700582810.5277755,5166.88,5070.752,15579.96,5656.532,5094.784,-3383.16,3926.228,5106.8,-4598.0,4271.688,5644.516,-4104.32
1700582810.539007,5166.88,5076.76,15579.96,5803.728,5238.976,-3170.2,4106.468,5287.04,-4307.599999999999,4310.74,5683.568,-4046.24
1700582810.550259,5238.976,5145.852,15696.119999999999,5695.584,5127.828,-3334.7599999999998,4037.376,5214.944,-4423.76,4307.736,5683.568,-4046.24
1700582810.5615203,5350.124,5253.996,15884.88,5872.82,5314.076,-3054.04,3893.184,5070.752,-4646.4,4277.696,5641.512,-4109.16
1700582810.5727053,5130.832,5040.712,15517.039999999999,5698.588,5127.828,-3334.7599999999998,3998.324,5184.904,-4481.84,4127.496,5500.324,-4331.8
1700582810.5880992,5205.932,5109.804,15642.88,5695.584,5127.828,-3334.7599999999998,4109.472,5293.048,-4322.12,4454.932,5830.764,-3823.6
1700582810.595489,5458.268,5365.144,16059.119999999999,5800.724,5235.972,-3160.52,4037.376,5214.944,-4423.76,4205.6,5575.424,-4215.64
1700582810.6066742,5019.684,4926.56,15347.64,5695.584,5127.828,-3334.7599999999998,3929.232,5106.8,-4593.16,4346.788,5716.612,-3988.16
