t_wall [s],X0 [uT],Y0 [uT],Z0 [uT],X1 [uT],Y1 [uT],Z1 [uT],X2 [uT],Y2 [uT],Z2 [uT],X3 [uT],Y3 [uT],Z3 [uT]
1700582794.1078107,5296.052,4869.484,15759.039999999999,5530.364,5362.14,-2410.3199999999997,4001.328,5617.48,-4278.5599999999995,4115.48,6239.308,-5106.2
1700582794.1310349,5512.34,5085.772,16117.199999999999,5416.212,5250.992,-2574.88,3779.032,5401.192,-4612.5199999999995,4082.436,6200.256,-5169.12
1700582794.132336,5260.004,4830.432,15686.439999999999,5527.36,5362.14,-2415.16,4073.424,5692.58,-4167.24,4193.584,6311.404,-5004.5599999999995
1700582794.1422381,5260.004,4833.436,15696.119999999999,5524.356,5362.14,-2410.3199999999997,4001.328,5620.484,-4268.88,4118.484,6239.308,-5111.04
1700582794.1536062,5443.248,5013.676,16001.039999999999,5641.512,5467.28,-2240.92,3929.232,5548.388,-4394.72,3974.292,6089.108,-5333.68
1700582794.1650462,5263.008,4833.436,15696.119999999999,5674.556,5506.332,-2182.84,3857.136,5473.288,-4496.36,4010.34,6125.156,-5280.44
1700582794.1763802,5338.108,4905.532,15817.119999999999,5671.552,5506.332,-2187.68,4037.376,5653.528,-4230.16,4043.384,6161.204,-5222.36
1700582794.1910849,5229.964,4791.38,15642.88,5641.512,5467.28,-2236.08,3998.324,5617.48,-4283.4,3938.244,6050.056,-5391.76
1700582794.199042,5479.296,5043.716,16059.119999999999,5416.212,5253.996,-2574.88,3929.232,5545.384,-4385.04,4013.344,6128.16,-5280.44
1700582794.2104402,5407.2,4977.628,15938.119999999999,5596.452,5437.24,-2303.84,3851.128,5473.288,-4501.2,4082.436,6197.252,-5164.28
1700582794.2219222,5046.72,4614.144,15337.96,5491.312,5326.092,-2458.72,3782.036,5401.192,-4612.5199999999995,4157.536,6275.356,-5062.639999999999
1700582794.233115,5371.152,4944.584,15875.199999999999,5488.308,5329.0960000000005,-2463.56,3854.132,5470.284,-4506.04,3944.252,6050.056,-5391.76
1700582794.2491279,5404.196,4977.628,15938.119999999999,5641.512,5467.28,-2240.92,3995.32,5617.48,-4278.5599999999995,4010.34,6125.156,-5280.44
1700582794.2559974,5190.912,4761.34,15579.96,5488.308,5329.0960000000005,-2463.56,3851.128,5470.284,-4501.2,4049.392,6161.204,-5222.36
1700582794.26734,5187.908,4755.332,15579.96,5707.6,5542.38,-2124.7599999999998,3929.232,5548.388,-4389.88,4046.388,6164.208,-5232.04
1700582794.27869,5335.104,4905.532,15821.96,5560.404,5395.184,-2352.24,3782.036,5398.188,-4612.5199999999995,3761.008,5872.82,-5677.32
1700582794.289997,5299.056,4869.484,15763.88,5671.552,5509.336,-2187.68,3998.324,5620.484,-4283.4,4190.58,6311.404,-4999.72
1700582794.3021715,5407.2,4977.628,15942.96,5527.36,5362.14,-2415.16,3851.128,5476.292,-4506.04,4013.344,6131.164,-5280.44
1700582794.312695,5010.672,4578.0960000000005,15275.039999999999,5419.216,5247.988,-2574.88,3782.036,5398.188,-4617.36,3863.144,5980.964,-5507.92
1700582794.324149,5335.104,4899.524,15817.119999999999,5746.652,5581.432,-2071.52,3782.036,5401.192,-4612.5199999999995,4085.44,6197.252,-5169.12
1700582794.3356144,5151.86,4722.288,15517.039999999999,5383.168,5217.948,-2632.96,3782.036,5398.188,-4607.68,4082.436,6200.256,-5169.12
1700582794.3468413,5335.104,4902.528,15821.96,5494.316,5326.092,-2458.72,4037.376,5653.528,-4225.32,4085.44,6197.252,-5173.96
1700582794.3613439,5326.092,4905.532,15817.119999999999,5635.504,5470.284,-2236.08,3779.032,5401.192,-4612.5199999999995,4046.388,6161.204,-5227.2
1700582794.3695722,5076.76,4650.192,15396.039999999999,5638.508,5470.284,-2240.92,3785.04,5401.192,-4607.68,4226.628,6350.456,-4946.48
1700582794.381026,5154.864,4722.288,15521.88,5599.456,5434.236,-2299.0,3782.036,5398.188,-4612.5199999999995,4010.34,6125.156,-5280.44
1700582794.3923213,5187.908,4761.34,15584.8,5422.22,5250.992,-2574.88,4073.424,5689.576,-4162.4,4010.34,6128.16,-5280.44
1700582794.4037297,5410.204,4977.628,15942.96,5272.02,5106.8,-2797.52,4001.328,5620.484,-4278.5599999999995,3941.248,6050.056,-5391.76
1700582794.4163964,5151.86,4722.288,15521.88,5491.312,5329.0960000000005,-2458.72,4037.376,5653.528,-4225.32,3977.296,6092.112,-5333.68
1700582794.4266853,5257.0,4833.436,15696.119999999999,5491.312,5326.092,-2458.72,4214.612,5836.772,-3944.6,3905.2,6014.008,-5449.84
1700582794.438035,5154.864,4722.288,15521.88,5455.264,5290.044,-2526.48,3782.036,5398.188,-4617.36,3941.248,6053.06,-5391.76
1700582794.4493597,5299.056,4866.48,15763.88,5455.264,5287.04,-2521.64,3854.132,5470.284,-4496.36,3941.248,6053.06,-5391.76
1700582794.4607732,5190.912,4761.34,15575.119999999999,5455.264,5290.044,-2526.48,3926.228,5548.388,-4389.88,3869.152,5977.96,-5503.08
1700582794.472053,5187.908,4758.336,15579.96,5560.404,5398.188,-2347.4,3920.22,5545.384,-4394.72,4046.388,6164.208,-5232.04
1700582794.4832382,5338.108,4905.532,15821.96,5524.356,5362.14,-2410.3199999999997,3857.136,5473.288,-4501.2,3941.248,6047.052,-5391.76
1700582794.4946449,5338.108,4905.532,15821.96,5566.412,5398.188,-2352.24,3929.232,5545.384,-4385.04,3869.152,5980.964,-5498.24
1700582794.506073,5296.052,4869.484,15763.88,5596.452,5434.236,-2303.84,3854.132,5470.284,-4496.36,3908.204,6017.012,-5445.0
1700582794.5174246,5260.004,4833.436,15696.119999999999,5416.212,5257.0,-2574.88,4037.376,5656.532,-4225.32,4013.344,6125.156,-5280.44
1700582794.5286887,5479.296,5049.724,16059.119999999999,5419.216,5253.996,-2570.04,3932.236,5545.384,-4389.88,4121.488,6242.312,-5120.72
1700582794.539921,5335.104,4902.528,15817.119999999999,5275.024,5106.8,-2802.36,3926.228,5545.384,-4389.88,3938.244,6050.056,-5386.92
1700582794.5514739,5040.712,4614.144,15337.96,5746.652,5584.436,-2071.52,4073.424,5689.576,-4162.4,3866.148,5980.964,-5498.24
1700582794.5627687,5184.904,4755.332,15579.96,5383.168,5217.948,-2628.12,4037.376,5656.532,-4220.48,4013.344,6131.164,-5285.28
1700582794.577704,5296.052,4866.48,15763.88,5452.26,5296.052,-2521.64,3857.136,5473.288,-4501.2,4013.344,6125.156,-5280.44
1700582794.5855687,5338.108,4905.532,15817.119999999999,5641.512,5467.28,-2240.92,3854.132,5470.284,-4496.36,4013.344,6131.164,-5280.44
1700582794.5971234,5223.956,4794.384,15642.88,5347.12,5178.896,-2691.04,3782.036,5398.188,-4612.5199999999995,4085.44,6200.256,-5169.12
1700582794.6086469,5043.716,4614.144,15337.96,5638.508,5476.292,-2236.08,3742.984,5365.144,-4675.44,4013.344,6128.16,-5280.44
1700582794.6203809,5187.908,4755.332,15579.96,5344.116,5181.9,-2695.88,3929.232,5545.384,-4385.04,4151.528,6272.352,-5062.639999999999
