t_wall [s],X0 [uT],Y0 [uT],Z0 [uT],X1 [uT],Y1 [uT],Z1 [uT],X2 [uT],Y2 [uT],Z2 [uT],X3 [uT],Y3 [uT],Z3 [uT]
1700151354.48838,2799.728,4376.828,-12216.16,4830.432,3271.356,-10856.119999999999,711.948,-946.26,21649.32,2373.16,4322.756,-3784.88
1700151354.510508,2763.68,4337.776,-12264.56,4752.328,3199.26,-10952.92,675.9,-976.3,21581.559999999998,2340.116,4289.712,-3842.96
1700151354.5118222,2799.728,4376.828,-12221.0,4866.48,3310.408,-10798.039999999999,778.036,-874.164,21765.48,2307.072,4247.656,-3886.52
1700151354.522293,2904.868,4481.968,-12051.6,4722.288,3166.216,-11011.0,609.812,-1048.396,21460.559999999998,2307.072,4250.66,-3891.3599999999997
1700151354.5335011,2694.588,4268.684,-12375.88,4680.232,3130.168,-11059.4,642.856,-1012.348,21528.32,2445.256,4397.856,-3668.72
1700151354.5448937,2445.256,4016.348,-12748.56,4722.288,3166.216,-11006.16,820.092,-838.116,21838.079999999998,2343.12,4289.712,-3838.12
1700151354.5563807,2481.304,4055.4,-12695.32,4644.184,3094.12,-11122.32,642.856,-1012.348,21523.48,2268.02,4217.616,-3949.44
1700151354.5743365,2619.488,4196.588,-12482.359999999999,4791.38,3241.316,-10904.52,606.808,-1048.396,21455.72,2379.168,4325.76,-3780.04
1700151354.5791035,2691.584,4268.684,-12375.88,4644.184,3097.124,-11122.32,714.952,-943.256,21649.32,2376.164,4325.76,-3784.88
1700151354.5905457,2691.584,4265.68,-12371.039999999999,4722.288,3169.22,-11006.16,781.04,-871.16,21775.16,2271.024,4211.608,-3944.6
1700151354.60174,2544.388,4124.492,-12588.84,4791.38,3241.316,-10914.199999999999,540.72,-1120.492,21339.559999999998,2195.924,4142.516,-4060.7599999999998
1700151354.613103,2547.392,4124.492,-12588.84,5082.768,3523.692,-10468.92,714.952,-943.256,21659.0,2379.168,4322.756,-3780.04
1700151354.6245463,2547.392,4124.492,-12588.84,4902.528,3349.46,-10739.96,751.0,-907.208,21707.399999999998,2307.072,4253.664,-3896.2
1700151354.635703,2619.488,4199.592,-12477.52,4794.384,3241.316,-10904.52,468.624,-1186.58,21218.559999999998,2234.976,4178.564,-4002.68
1700151354.6471303,2481.304,4058.404,-12700.16,4719.284,3163.212,-11015.84,573.764,-1075.432,21407.32,2445.256,4394.852,-3673.56
1700151354.658518,2619.488,4196.588,-12482.359999999999,4608.136,3055.068,-11175.56,675.9,-970.292,21596.079999999998,2307.072,4253.664,-3901.04
1700151354.6696253,2871.824,4448.924,-12104.84,4722.288,3166.216,-11011.0,678.904,-976.3,21591.239999999998,2120.824,4073.424,-4176.92
1700151354.6809082,2622.492,4199.592,-12482.359999999999,4863.476,3310.408,-10788.36,573.764,-1078.436,21402.48,2343.12,4283.704,-3842.96
1700151354.6921773,2979.968,4557.068,-11945.119999999999,4644.184,3091.116,-11127.16,609.812,-1045.392,21465.399999999998,2195.924,4145.52,-4065.6
1700151354.7035165,2868.82,4448.924,-12109.68,4647.188,3091.116,-11117.48,603.804,-1048.396,21460.559999999998,2234.976,4178.564,-4002.68
1700151354.7146225,2550.396,4127.496,-12579.16,4575.092,3028.032,-11233.64,889.184,-766.02,21959.079999999998,2231.972,4181.568,-4007.52
1700151354.7260172,2586.444,4163.544,-12530.76,4827.428,3271.356,-10856.119999999999,714.952,-940.252,21654.16,2340.116,4289.712,-3838.12
1700151354.7373343,2550.396,4127.496,-12588.84,4647.188,3097.124,-11132.0,642.856,-1012.348,21528.32,2307.072,4253.664,-3886.52
1700151354.7485785,2658.54,4235.64,-12429.119999999999,4863.476,3307.404,-10802.88,606.808,-1045.392,21455.72,2343.12,4286.708,-3833.2799999999997
1700151354.760088,2766.684,4343.784,-12274.24,4755.332,3205.268,-10962.6,751.0,-910.212,21712.239999999998,2307.072,4247.656,-3886.52
1700151354.7713933,2547.392,4127.496,-12588.84,4644.184,3091.116,-11127.16,534.712,-1120.492,21344.399999999998,2448.26,4397.856,-3668.72
1700151354.7827132,2619.488,4196.588,-12477.52,4827.428,3274.36,-10856.119999999999,603.804,-1051.4,21465.399999999998,2340.116,4286.708,-3838.12
1700151354.7938962,2727.632,4307.736,-12312.96,4722.288,3166.216,-11011.0,787.048,-868.156,21775.16,2379.168,4325.76,-3784.88
1700151354.805182,2619.488,4199.592,-12477.52,4683.236,3130.168,-11069.08,781.04,-871.16,21770.32,2412.212,4361.808,-3731.64
1700151354.816703,2691.584,4268.684,-12371.039999999999,4722.288,3163.212,-11011.0,784.044,-871.16,21770.32,2379.168,4325.76,-3780.04
1700151354.8280447,2547.392,4124.492,-12579.16,4797.388,3235.308,-10899.68,817.088,-838.116,21838.079999999998,2198.928,4145.52,-4060.7599999999998
1700151354.8392932,2547.392,4127.496,-12588.84,4827.428,3274.36,-10856.119999999999,751.0,-904.204,21721.92,2340.116,4286.708,-3833.2799999999997
