t_wall [s],X0 [uT],Y0 [uT],Z0 [uT],X1 [uT],Y1 [uT],Z1 [uT],X2 [uT],Y2 [uT],Z2 [uT],X3 [uT],Y3 [uT],Z3 [uT]
1700151299.4448893,2925.896,3709.94,-10628.64,4088.444,3118.152,-8818.48,1162.548,-1976.632,23309.44,1336.78,4154.532,-6122.599999999999
1700151299.4670298,2922.892,3706.936,-10623.8,4160.54,3187.244,-8707.16,1123.496,-2012.68,23241.68,1405.872,4232.636,-6011.28
1700151299.468365,2850.796,3634.84,-10735.119999999999,4058.404,3085.108,-8871.72,883.176,-2256.004,22806.079999999998,1511.012,4343.784,-5841.88
1700151299.4785438,2817.752,3598.792,-10788.36,4127.496,3157.204,-8760.4,1021.36,-2117.82,23052.92,1336.78,4160.54,-6127.44
1700151299.4898105,2778.7,3562.744,-10841.6,4271.688,3298.392,-8537.76,1237.648,-1907.54,23430.44,1514.016,4340.78,-5846.72
1700151299.5011747,2781.704,3562.744,-10841.6,4055.4,3082.104,-8876.56,952.268,-2186.912,22936.76,1336.78,4160.54,-6117.76
1700151299.512285,2601.464,3382.504,-11117.48,4199.592,3226.296,-8649.08,1021.36,-2114.816,23062.6,1408.876,4229.632,-6006.44
1700151299.5236542,2850.796,3634.84,-10730.279999999999,4487.976,3514.68,-8218.32,1024.364,-2117.82,23057.76,1619.156,4448.924,-5672.48
1700151299.5348523,2850.796,3637.844,-10735.119999999999,4124.492,3154.2,-8755.56,1096.46,-2048.728,23183.6,1441.92,4265.68,-5953.2
1700151299.546197,2601.464,3382.504,-11107.8,4202.5960000000005,3223.292,-8644.24,1096.46,-2048.728,23178.76,1408.876,4235.64,-6011.28
1700151299.5574102,2742.652,3529.7,-10890.0,4160.54,3190.248,-8702.32,949.264,-2183.908,22931.92,1336.78,4160.54,-6122.599999999999
1700151299.5687256,2634.508,3421.556,-11059.4,4058.404,3079.1,-8871.72,1021.36,-2114.816,23062.6,1550.064,4373.824,-5788.639999999999
1700151299.5800712,2853.8,3634.84,-10735.119999999999,4088.444,3118.152,-8813.64,883.176,-2249.996,22806.079999999998,1514.016,4343.784,-5841.88
1700151299.591354,2712.612,3487.644,-10943.24,3986.308,3010.008,-8987.88,1090.452,-2048.728,23183.6,1444.924,4271.688,-5948.36
1700151299.602535,2706.604,3490.648,-10952.92,4124.492,3151.196,-8760.4,1090.452,-2048.728,23188.44,1514.016,4346.788,-5841.88
1700151299.6139286,2889.848,3673.892,-10681.88,4199.592,3229.3,-8649.08,988.316,-2150.864,22994.84,1514.016,4343.784,-5846.72
1700151299.6252842,3034.04,3818.084,-10464.08,4199.592,3223.292,-8663.6,952.268,-2180.904,22931.92,1300.732,4121.488,-6175.84
1700151299.6364465,2853.8,3634.84,-10735.119999999999,4127.496,3154.2,-8760.4,880.172,-2256.004,22810.92,1372.828,4196.588,-6064.5199999999995
1700151299.6476057,2778.7,3562.744,-10836.76,4127.496,3151.196,-8760.4,1060.412,-2081.772,23125.52,1514.016,4340.78,-5837.04
1700151299.6637235,2781.704,3565.748,-10841.6,4121.488,3154.2,-8760.4,1165.552,-1976.632,23304.6,1477.968,4304.732,-5895.12
1700151299.6701005,2601.464,3382.504,-11107.8,4271.688,3301.396,-8542.6,1090.452,-2045.724,23188.44,1261.68,4082.436,-6233.92
1700151299.681274,2709.608,3490.648,-10948.08,3953.264,2973.96,-9036.279999999999,985.312,-2150.864,22994.84,1514.016,4340.78,-5837.04
1700151299.6925998,2706.604,3493.652,-10952.92,4268.684,3298.392,-8542.6,1090.452,-2048.728,23188.44,1336.78,4154.532,-6122.599999999999
1700151299.7038162,2565.416,3346.456,-11180.4,4130.5,3154.2,-8755.56,1021.36,-2117.82,23057.76,1336.78,4160.54,-6117.76
1700151299.7161124,2709.608,3493.652,-10952.92,4346.788,3370.488,-8440.96,1018.356,-2111.812,23057.76,1408.876,4235.64,-6006.44
1700151299.7262802,2814.748,3598.792,-10788.36,4130.5,3151.196,-8755.56,913.216,-2222.96,22878.68,1411.88,4232.636,-6011.28
1700151299.7375712,2709.608,3490.648,-10957.76,4022.356,3043.052,-8929.8,1162.548,-1973.628,23309.44,1408.876,4235.64,-6016.12
1700151299.748781,2778.7,3565.748,-10841.6,4418.884,3442.584,-8319.96,1234.644,-1907.54,23435.28,1441.92,4268.684,-5953.2
1700151299.760162,2778.7,3565.748,-10856.119999999999,4310.74,3334.44,-8494.199999999999,1099.464,-2045.724,23188.44,1474.964,4304.732,-5899.96
1700151299.77759,2817.752,3598.792,-10788.36,4088.444,3115.148,-8813.64,1093.456,-2048.728,23193.28,1441.92,4271.688,-5953.2
1700151299.7826416,2781.704,3568.752,-10841.6,4052.396,3085.108,-8866.88,949.264,-2186.912,22936.76,1336.78,4160.54,-6122.599999999999
1700151299.7938385,2745.656,3529.7,-10904.52,4163.544,3190.248,-8707.16,1021.36,-2114.816,23062.6,1372.828,4196.588,-6064.5199999999995
1700151299.8051965,2778.7,3562.744,-10836.76,4196.588,3226.296,-8653.92,949.264,-2186.912,22931.92,1336.78,4157.536,-6122.599999999999
1700151299.8165662,2706.604,3490.648,-10957.76,4124.492,3154.2,-8755.56,1165.552,-1976.632,23309.44,1514.016,4337.776,-5837.04
1700151299.828123,2709.608,3493.652,-10952.92,4487.976,3511.676,-8213.48,949.264,-2183.908,22936.76,1586.112,4412.876,-5730.5599999999995
1700151299.8393135,2781.704,3565.748,-10836.76,4346.788,3367.484,-8426.44,1129.504,-2012.68,23236.84,1333.776,4157.536,-6117.76
1700151299.8506029,2634.508,3421.556,-11059.4,4055.4,3079.1,-8871.72,949.264,-2186.912,22931.92,1480.972,4301.728,-5904.8
1700151299.8619204,2889.848,3670.888,-10681.88,4091.448,3121.156,-8818.48,982.308,-2150.864,22994.84,1444.924,4268.684,-5948.36
1700151299.8730721,2925.896,3706.936,-10633.48,4127.496,3157.204,-8765.24,1093.456,-2045.724,23183.6,1405.872,4235.64,-6011.28
1700151299.8842099,2889.848,3670.888,-10691.56,4055.4,3082.104,-8871.72,1021.36,-2114.816,23057.76,1402.868,4232.636,-6011.28
1700151299.8952816,2856.804,3637.844,-10739.96,4052.396,3082.104,-8866.88,1024.364,-2114.816,23057.76,1333.776,4157.536,-6122.599999999999
1700151299.9065683,2742.652,3526.696,-10894.84,4052.396,3079.1,-8871.72,949.264,-2186.912,22931.92,1372.828,4202.5960000000005,-6069.36
1700151299.9178104,2640.516,3421.556,-11054.56,4016.348,3043.052,-8924.96,985.312,-2147.86,22994.84,1514.016,4340.78,-5841.88
1700151299.9289997,2742.652,3526.696,-10899.68,4127.496,3154.2,-8760.4,982.308,-2153.868,22999.68,1514.016,4340.78,-5837.04
1700151299.940309,2637.512,3415.5480000000002,-11064.24,4022.356,3046.056,-8924.96,1054.404,-2081.772,23125.52,1336.78,4154.532,-6122.599999999999
1700151299.951411,2856.804,3634.84,-10739.96,4055.4,3082.104,-8876.56,1192.588,-1943.588,23372.36,1477.968,4307.736,-5899.96
1700151299.9625998,2637.512,3418.552,-11059.4,4199.592,3223.292,-8653.92,1129.504,-2012.68,23241.68,1583.108,4409.872,-5735.4
1700151299.9738007,2853.8,3634.84,-10735.119999999999,4310.74,3331.436,-8494.199999999999,1201.6,-1940.584,23367.52,1514.016,4337.776,-5846.72
1700151299.9850695,2853.8,3631.836,-10739.96,4055.4,3079.1,-8871.72,1090.452,-2048.728,23183.6,1372.828,4190.58,-6064.5199999999995
1700151299.9963157,2742.652,3526.696,-10899.68,4055.4,3079.1,-8871.72,877.168,-2253.0,22810.92,1408.876,4229.632,-6016.12
1700151300.0075667,2670.556,3457.604,-11006.16,4091.448,3112.144,-8813.64,985.312,-2150.864,22999.68,1264.684,4085.44,-6238.76
1700151300.01887,2817.752,3601.796,-10788.36,4049.392,3082.104,-8871.72,1168.556,-1976.632,23304.6,1336.78,4154.532,-6122.599999999999
1700151300.0302546,2853.8,3637.844,-10735.119999999999,4202.5960000000005,3226.296,-8658.76,1024.364,-2117.82,23052.92,1586.112,4409.872,-5730.5599999999995
1700151300.0414643,2673.56,3457.604,-11006.16,4268.684,3295.388,-8547.44,1234.644,-1901.532,23430.44,1405.872,4232.636,-6011.28
1700151300.0526457,2709.608,3487.644,-10957.76,4271.688,3298.392,-8542.6,877.168,-2249.996,22806.079999999998,1408.876,4232.636,-6016.12
1700151300.0637958,2676.564,3454.6,-11006.16,3983.304,3010.008,-8987.88,949.264,-2186.912,22931.92,1408.876,4235.64,-6016.12
1700151300.0754068,2997.992,3785.04,-10512.48,4271.688,3301.396,-8542.6,1129.504,-2009.676,23241.68,1336.78,4157.536,-6112.92
1700151300.086483,2853.8,3634.84,-10739.96,4271.688,3298.392,-8542.6,1129.504,-2015.684,23236.84,1264.684,4085.44,-6233.92
1700151300.0980272,2778.7,3565.748,-10851.279999999999,4235.64,3259.34,-8600.68,1093.456,-2045.724,23183.6,1405.872,4235.64,-6011.28
1700151300.109292,2706.604,3493.652,-10948.08,3980.3,3010.008,-8978.199999999999,949.264,-2192.92,22936.76,1658.208,4487.976,-5619.24
1700151300.1206558,2745.656,3526.696,-10899.68,4130.5,3154.2,-8760.4,1021.36,-2120.824,23057.76,1514.016,4346.788,-5841.88
1700151300.1318562,2889.848,3673.892,-10681.88,4055.4,3079.1,-8866.88,949.264,-2186.912,22931.92,1333.776,4157.536,-6117.76
1700151300.1431828,2778.7,3562.744,-10841.6,4382.836,3403.532,-8382.88,880.172,-2256.004,22810.92,1447.928,4271.688,-5948.36
1700151300.1544013,2961.944,3742.984,-10575.4,4127.496,3154.2,-8755.56,1126.5,-2012.68,23241.68,1405.872,4235.64,-6011.28
1700151300.1656988,2565.416,3349.46,-11170.72,4196.588,3223.292,-8653.92,880.172,-2256.004,22810.92,1441.92,4268.684,-5953.2
1700151300.1849039,2886.844,3670.888,-10686.72,4349.792,3370.488,-8431.28,1093.456,-2045.724,23188.44,1189.584,4013.344,-6340.4
1700151300.1886544,2784.708,3559.74,-10841.6,4052.396,3079.1,-8871.72,1198.596,-1943.588,23367.52,1303.736,4121.488,-6175.84
1700151300.1999984,2637.512,3418.552,-11059.4,4052.396,3082.104,-8871.72,982.308,-2150.864,22999.68,1408.876,4238.644,-6011.28
1700151300.211287,2889.848,3673.892,-10681.88,4346.788,3370.488,-8436.119999999999,1096.46,-2051.732,23188.44,1405.872,4232.636,-6011.28
1700151300.2225287,2601.464,3382.504,-11117.48,4055.4,3079.1,-8871.72,1267.688,-1871.492,23498.2,1441.92,4268.684,-5953.2
1700151300.233728,2853.8,3634.84,-10735.119999999999,4196.588,3226.296,-8653.92,1162.548,-1976.632,23299.76,1514.016,4340.78,-5841.88
1700151300.2452357,2784.708,3562.744,-10851.279999999999,4091.448,3118.152,-8823.32,949.264,-2186.912,22936.76,1514.016,4337.776,-5846.72
1700151300.2563715,2853.8,3634.84,-10735.119999999999,3908.204,2934.908,-9089.52,1018.356,-2117.82,23057.76,1444.924,4268.684,-5958.04
1700151300.2675707,2997.992,3779.032,-10517.32,4055.4,3079.1,-8866.88,880.172,-2253.0,22810.92,1444.924,4268.684,-5953.2
1700151300.2789178,2637.512,3418.552,-11059.4,4019.352,3046.056,-8924.96,1162.548,-1976.632,23309.44,1474.964,4301.728,-5899.96
1700151300.2902017,2709.608,3490.648,-10952.92,4235.64,3262.344,-8595.84,1024.364,-2120.824,23052.92,1411.88,4229.632,-6011.28
1700151300.3015277,2637.512,3418.552,-11064.24,3950.26,2973.96,-9041.119999999999,910.212,-2225.964,22873.84,1444.924,4268.684,-5953.2
1700151300.3127575,2706.604,3490.648,-10952.92,4088.444,3118.152,-8823.32,883.176,-2253.0,22801.239999999998,1411.88,4232.636,-6011.28
1700151300.3239987,2706.604,3493.652,-10952.92,4199.592,3226.296,-8653.92,775.032,-2361.144,22622.16,1336.78,4157.536,-6122.599999999999
1700151300.335125,2634.508,3421.556,-11069.08,4127.496,3154.2,-8760.4,1270.692,-1874.496,23493.36,1336.78,4157.536,-6122.599999999999
1700151300.3463206,2925.896,3703.932,-10628.64,4199.592,3223.292,-8658.76,1093.456,-2048.728,23183.6,1441.92,4271.688,-5958.04
1700151300.357811,2781.704,3562.744,-10841.6,4599.124,3625.828,-8058.599999999999,985.312,-2150.864,22999.68,1408.876,4232.636,-6006.44
1700151300.3690083,2709.608,3490.648,-10952.92,4055.4,3082.104,-8866.88,1021.36,-2114.816,23057.76,1586.112,4412.876,-5725.72
1700151300.3799906,2853.8,3637.844,-10730.279999999999,4307.736,3334.44,-8489.36,1096.46,-2045.724,23188.44,1441.92,4271.688,-5953.2
1700151300.3914452,2709.608,3496.656,-10948.08,3983.304,3010.008,-8983.039999999999,1090.452,-2048.728,23183.6,1622.16,4448.924,-5677.32
1700151300.4028182,2961.944,3742.984,-10570.56,4049.392,3079.1,-8871.72,1021.36,-2114.816,23062.6,1514.016,4337.776,-5841.88
1700151300.4140732,2853.8,3634.84,-10739.96,4310.74,3334.44,-8489.36,1129.504,-2015.684,23246.52,1514.016,4343.784,-5841.88
1700151300.4253201,2709.608,3490.648,-10952.92,4202.5960000000005,3223.292,-8653.92,1021.36,-2117.82,23057.76,1408.876,4235.64,-6016.12
1700151300.4365227,2742.652,3526.696,-10899.68,4127.496,3154.2,-8760.4,1060.412,-2081.772,23125.52,1511.012,4340.78,-5837.04
1700151300.4478893,2706.604,3490.648,-10952.92,4163.544,3187.244,-8712.0,982.308,-2147.86,22990.0,1408.876,4232.636,-6011.28
1700151300.459317,2709.608,3487.644,-10952.92,4016.348,3046.056,-8920.119999999999,1270.692,-1871.492,23493.36,1547.06,4376.828,-5788.639999999999
1700151300.4706516,2709.608,3496.656,-10952.92,4268.684,3298.392,-8542.6,946.26,-2183.908,22931.92,1192.588,4013.344,-6345.24
1700151300.4818082,2781.704,3565.748,-10841.6,4052.396,3079.1,-8876.56,949.264,-2186.912,22941.6,1589.116,4409.872,-5730.5599999999995
1700151300.4929972,2922.892,3706.936,-10628.64,4199.592,3223.292,-8653.92,949.264,-2183.908,22931.92,1372.828,4193.584,-6064.5199999999995
1700151300.5042477,2856.804,3637.844,-10739.96,4196.588,3223.292,-8649.08,949.264,-2186.912,22931.92,1589.116,4412.876,-5730.5599999999995
1700151300.5152464,2775.696,3565.748,-10841.6,4310.74,3334.44,-8489.36,1093.456,-2045.724,23183.6,1369.824,4196.588,-6064.5199999999995
1700151300.5265746,3034.04,3815.08,-10468.92,3908.204,2937.912,-9089.52,1018.356,-2114.816,23052.92,1589.116,4415.88,-5725.72
1700151300.537725,2853.8,3637.844,-10735.119999999999,4052.396,3079.1,-8871.72,1129.504,-2012.68,23246.52,1405.872,4229.632,-6006.44
1700151300.5490422,2781.704,3562.744,-10851.279999999999,4088.444,3118.152,-8818.48,949.264,-2183.908,22927.079999999998,1366.82,4196.588,-6064.5199999999995
1700151300.5602374,2817.752,3598.792,-10793.199999999999,4127.496,3151.196,-8755.56,1063.416,-2078.768,23120.68,1583.108,4412.876,-5730.5599999999995
1700151300.5716517,2994.988,3782.036,-10517.32,4202.5960000000005,3223.292,-8658.76,1057.408,-2078.768,23115.84,1369.824,4190.58,-6069.36
1700151300.5828183,2814.748,3601.796,-10788.36,4163.544,3190.248,-8707.16,952.268,-2183.908,22936.76,1336.78,4157.536,-6122.599999999999
1700151300.5939982,2784.708,3562.744,-10836.76,4160.54,3193.252,-8707.16,741.988,-2397.192,22549.559999999998,1444.924,4271.688,-5953.2
1700151300.6052837,2565.416,3346.456,-11170.72,4088.444,3118.152,-8818.48,1054.404,-2078.768,23130.36,1474.964,4307.736,-5899.96
1700151300.6166956,2775.696,3562.744,-10841.6,4271.688,3295.388,-8542.6,949.264,-2186.912,22931.92,1333.776,4160.54,-6122.599999999999
1700151300.6281796,2814.748,3604.8,-10788.36,4088.444,3115.148,-8818.48,1093.456,-2045.724,23188.44,1658.208,4484.972,-5624.08
1700151300.6395228,2850.796,3634.84,-10739.96,4232.636,3265.348,-8605.52,946.26,-2186.912,22931.92,1405.872,4232.636,-6016.12
1700151300.6508987,2853.8,3637.844,-10739.96,4160.54,3187.244,-8712.0,1018.356,-2114.816,23057.76,1336.78,4154.532,-6132.28
1700151300.6621964,2778.7,3562.744,-10836.76,4058.404,3082.104,-8866.88,1126.5,-2015.684,23246.52,1267.688,4088.444,-6233.92
1700151300.6735785,2640.516,3415.5480000000002,-11059.4,4127.496,3154.2,-8760.4,1021.36,-2120.824,23057.76,1333.776,4160.54,-6127.44
