t_wall [s],X0 [uT],Y0 [uT],Z0 [uT],X1 [uT],Y1 [uT],Z1 [uT],X2 [uT],Y2 [uT],Z2 [uT],X3 [uT],Y3 [uT],Z3 [uT]
1700149636.3409245,3920.22,3145.188,275.88,2712.612,3917.216,12308.119999999999,4367.816,4959.604,-1272.92,4358.804,2295.056,12182.279999999999
1700149636.3638337,3917.216,3145.188,275.88,2709.608,3920.22,12303.279999999999,4442.916,5034.704,-1151.92,4217.616,2156.872,11945.119999999999
1700149636.3650873,3818.084,3040.0480000000002,106.47999999999999,2637.512,3848.124,12182.279999999999,4518.016,5109.804,-1035.76,4073.424,2012.68,11703.119999999999
1700149636.3752165,3884.172,3112.144,222.64,2889.848,4094.452,12603.359999999999,4295.72,4887.508,-1379.3999999999999,4220.62,2153.868,11945.119999999999
1700149636.3867788,3457.604,2679.568,-459.8,2784.708,3986.308,12419.44,4223.624,4815.412,-1485.8799999999999,4001.328,1937.58,11591.8
1700149636.398407,3745.988,2967.952,-4.84,2781.704,3989.312,12424.279999999999,4370.82,4962.608,-1263.24,4181.568,2111.812,11887.039999999999
1700149636.4096572,3815.08,3040.0480000000002,96.8,2889.848,4100.46,12598.52,4442.916,5034.704,-1151.92,4220.62,2150.864,11945.119999999999
1700149636.4213006,3812.076,3043.052,96.8,2748.66,3956.268,12361.359999999999,4367.816,4962.608,-1263.24,4295.72,2225.964,12066.119999999999
1700149636.4327576,3812.076,3034.04,106.47999999999999,2886.844,4094.452,12603.359999999999,4370.82,4962.608,-1272.92,4361.808,2292.052,12182.279999999999
1700149636.444221,3782.036,3004.0,53.239999999999995,2709.608,3917.216,12303.279999999999,4406.868,5001.66,-1214.84,4509.004,2436.244,12424.279999999999
1700149636.4558575,3604.8,2823.76,-237.16,2712.612,3914.212,12312.96,4698.256,5290.044,-759.88,4073.424,2009.676,11707.96
1700149636.4673069,3815.08,3037.044,101.64,2781.704,3989.312,12419.44,4409.872,4995.652,-1214.84,4253.664,2183.908,11998.359999999999
1700149636.4792535,3845.12,3076.096,169.4,2709.608,3920.22,12303.279999999999,4406.868,4998.656,-1210.0,4256.668,2186.912,12003.199999999999
1700149636.4905248,3917.216,3142.184,271.03999999999996,2889.848,4097.456,12603.359999999999,4662.208,5253.996,-813.12,4253.664,2189.916,12008.039999999999
1700149636.5022078,3959.272,3178.232,329.12,2856.804,4064.412,12540.44,4295.72,4884.504,-1379.3999999999999,4433.904,2367.152,12308.119999999999
1700149636.5136538,3881.168,3106.136,227.48,2784.708,3989.312,12424.279999999999,4298.724,4890.512,-1379.3999999999999,4406.868,2331.104,12240.359999999999
1700149636.52518,4031.368,3250.328,440.44,2925.896,4133.504,12661.44,4692.248,5293.048,-755.04,4148.524,2081.772,11824.119999999999
1700149636.5366838,4067.416,3289.38,498.52,2853.8,4061.408,12540.44,4515.012,5112.808,-1045.44,4289.712,2225.964,12061.279999999999
1700149636.5480692,3529.7,2748.66,-338.8,2460.276,3664.88,11882.199999999999,4367.816,4962.608,-1272.92,4433.904,2367.152,12303.279999999999
1700149636.5594578,3821.088,3040.0480000000002,101.64,2745.656,3953.264,12361.359999999999,4373.824,4962.608,-1263.24,4361.808,2289.0480000000002,12182.279999999999
1700149636.5710976,3956.268,3178.232,329.12,2532.372,3739.98,12003.199999999999,4334.772,4923.556,-1321.32,4292.716,2219.956,12061.279999999999
1700149636.5845366,3956.268,3181.236,338.8,2892.852,4100.46,12603.359999999999,4370.82,4962.608,-1263.24,4397.856,2328.1,12245.199999999999
1700149636.594075,3667.884,2892.852,-116.16,2817.752,4025.36,12482.359999999999,4259.672,4854.464,-1447.1599999999999,4439.912,2370.156,12303.279999999999
1700149636.6056004,3815.08,3040.0480000000002,106.47999999999999,2601.464,3806.068,12124.199999999999,4478.964,5070.752,-1093.84,4220.62,2147.86,11945.119999999999
1700149636.6172225,3742.984,2964.948,-9.68,2784.708,3989.312,12419.44,4337.776,4923.556,-1321.32,4220.62,2147.86,11949.96
1700149636.6288571,3779.032,3000.996,53.239999999999995,2781.704,3986.308,12419.44,4439.912,5037.708,-1151.92,4184.572,2114.816,11887.039999999999
1700149636.640484,3739.98,2964.948,0.0,2604.468,3809.072,12129.039999999999,4298.724,4887.508,-1374.56,4292.716,2222.96,12056.44
1700149636.6518242,3884.172,3115.148,222.64,2850.796,4061.408,12540.44,4518.016,5106.8,-1035.76,4217.616,2150.864,11940.279999999999
1700149636.6634166,3815.08,3040.0480000000002,106.47999999999999,2817.752,4028.364,12472.68,4406.868,4998.656,-1210.0,4328.764,2259.008,12129.039999999999
1700149636.6747994,3818.084,3040.0480000000002,101.64,2709.608,3917.216,12308.119999999999,4334.772,4920.552,-1326.1599999999999,4151.528,2075.764,11824.119999999999
1700149636.6861753,3959.272,3178.232,333.96,2532.372,3733.972,12003.199999999999,4331.768,4923.556,-1321.32,4109.472,2045.724,11766.039999999999
1700149636.6976519,3815.08,3040.0480000000002,106.47999999999999,2706.604,3914.212,12303.279999999999,4484.972,5073.756,-1093.84,4181.568,2114.816,11877.359999999999
1700149636.7089748,3926.228,3145.188,271.03999999999996,2712.612,3917.216,12303.279999999999,4478.964,5067.748,-1093.84,4037.376,1973.628,11645.039999999999
1700149636.7206156,4028.364,3253.332,440.44,2670.556,3884.172,12240.359999999999,4406.868,4998.656,-1210.0,4400.86,2334.108,12235.52
1700149636.7321782,3562.744,2784.708,-285.56,2706.604,3917.216,12308.119999999999,4439.912,5034.704,-1151.92,4364.812,2295.056,12187.119999999999
1700149636.7437892,3742.984,2967.952,0.0,2709.608,3917.216,12308.119999999999,4442.916,5037.708,-1151.92,4325.76,2256.004,12124.199999999999
1700149636.7552555,3673.892,2895.856,-121.0,2712.612,3920.22,12308.119999999999,4370.82,4962.608,-1272.92,4361.808,2292.052,12187.119999999999
1700149636.7669215,3709.94,2934.908,-62.92,2784.708,3986.308,12424.279999999999,4298.724,4887.508,-1379.3999999999999,4076.428,2009.676,11707.96
1700149636.778447,4064.412,3289.38,498.52,2673.56,3878.164,12240.359999999999,4518.016,5109.804,-1045.44,4289.712,2225.964,12066.119999999999
