t_wall [s],X0 [uT],Y0 [uT],Z0 [uT],X1 [uT],Y1 [uT],Z1 [uT],X2 [uT],Y2 [uT],Z2 [uT],X3 [uT],Y3 [uT],Z3 [uT]
1700148885.3640924,3019.02,2249.996,-677.6,2051.732,3061.076,10919.039999999999,3625.828,4496.988,-2003.76,3688.912,1640.184,10420.52
1700148885.3994718,3163.212,2391.184,-450.12,2415.216,3430.568,11504.68,3592.784,4460.94,-2057.0,3800.06,1748.328,10599.6
1700148885.4008238,3019.02,2246.992,-682.4399999999999,2192.92,3214.28,11156.199999999999,3739.98,4599.124,-1839.2,3944.252,1892.52,10831.92
1700148885.4019814,2946.924,2177.9,-788.92,2120.824,3139.18,11035.199999999999,3658.872,4530.032,-1950.52,3691.916,1640.184,10420.52
1700148885.4098065,3085.108,2322.092,-566.28,2301.064,3319.42,11330.44,3661.876,4533.036,-1955.36,3872.156,1817.42,10725.44
1700148885.4211333,3052.064,2286.044,-619.52,2301.064,3316.416,11330.44,3625.828,4490.98,-1998.9199999999998,3797.056,1748.328,10604.44
1700148885.432349,3157.204,2388.18,-450.12,2192.92,3211.276,11156.199999999999,3776.028,4641.18,-1781.12,3905.2,1859.476,10773.84
1700148885.446755,3016.016,2249.996,-672.76,2195.924,3211.276,11161.039999999999,3412.544,4277.696,-2347.4,3761.008,1712.28,10536.68
1700148885.4547405,2943.92,2174.896,-784.0799999999999,2120.824,3136.176,11035.199999999999,3628.832,4496.988,-1998.9199999999998,4055.4,2000.664,11020.68
1700148885.466141,3268.352,2496.324,-275.88,2412.212,3427.564,11519.199999999999,3595.788,4460.94,-2061.84,3836.108,1784.376,10657.68
1700148885.4772925,2943.92,2174.896,-793.76,2228.968,3247.324,11219.119999999999,3559.74,4424.892,-2119.92,3941.248,1895.5240000000001,10836.76
1700148885.4884694,3016.016,2246.992,-682.4399999999999,2225.964,3244.32,11219.119999999999,3484.64,4349.792,-2231.24,3869.152,1820.424,10725.44
1700148885.543387,3127.164,2352.132,-503.36,2225.964,3244.32,11214.279999999999,3265.348,4133.504,-2565.2,3691.916,1643.188,10420.52
1700148885.544883,3088.112,2319.088,-561.4399999999999,2228.968,3244.32,11214.279999999999,3484.64,4349.792,-2226.4,3764.012,1712.28,10541.52
1700148885.5460718,2946.924,2177.9,-793.76,2589.448,3607.804,11809.6,3520.688,4382.836,-2173.16,3947.256,1895.5240000000001,10836.76
1700148885.547367,3301.396,2532.372,-222.64,2265.016,3280.368,11272.359999999999,3520.688,4388.844,-2173.16,3761.008,1712.28,10546.36
1700148885.548449,3055.068,2283.04,-624.36,2370.156,3388.512,11456.279999999999,3556.736,4424.892,-2124.7599999999998,3691.916,1640.184,10420.52
1700148885.5567858,3019.02,2246.992,-682.4399999999999,2373.16,3391.516,11456.279999999999,3739.98,4605.132,-1829.52,3803.064,1751.332,10604.44
1700148885.568137,3016.016,2246.992,-677.6,2153.868,3169.22,11093.279999999999,3481.636,4352.796,-2231.24,3727.964,1676.232,10488.279999999999
