t_wall [s],X0 [uT],Y0 [uT],Z0 [uT],X1 [uT],Y1 [uT],Z1 [uT],X2 [uT],Y2 [uT],Z2 [uT],X3 [uT],Y3 [uT],Z3 [uT]
1702396536.5563705,-6416.544,-8245.98,-22699.6,-6981.296,-7942.576,-22612.48,-8585.432,-9465.604,-2918.52,-8816.74,-8303.056,-21417.0
1702396536.5960343,-6374.488,-8206.928,-22641.52,-6695.916,-7657.196,-22176.88,-8768.676,-9648.848,-3213.7599999999998,-8858.796,-8339.104,-21479.92
1702396536.6513088,-6305.396,-8134.832,-22559.239999999998,-6807.064,-7759.332,-22341.44,-8696.58,-9573.748,-3087.92,-8822.748,-8300.052,-21426.68
1702396536.7319741,-6278.36,-8104.792,-22520.52,-7029.36,-7972.616,-22660.88,-8693.576,-9573.748,-3087.92,-8642.508,-8119.812,-21141.12
1702396536.8038116,-6389.508,-8212.936,-22704.44,-6885.168,-7831.428,-22452.76,-8621.48,-9498.648,-2971.7599999999998,-8717.608,-8191.908,-21252.44
1702396536.836791,-6434.568,-8251.988,-22772.2,-6960.268,-7906.528,-22559.239999999998,-8690.572,-9573.748,-3102.44,-8681.56,-8155.86,-21204.04
1702396536.876477,-6443.58,-8261.0,-22815.76,-7035.368,-7978.624,-22670.559999999998,-8654.524,-9534.696,-3034.68,-8723.616,-8191.908,-21247.6
1702396536.9041533,-6347.452,-8167.876,-22689.92,-6789.04,-7726.288,-22273.68,-8621.48,-9498.648,-2971.7599999999998,-8723.616,-8194.912,-21247.6
1702396536.9568806,-6536.704,-8360.132,-23009.36,-6975.288,-7903.524,-22549.559999999998,-8687.568,-9567.74,-3102.44,-8510.332,-7984.632,-20908.8
1702396537.167598,-6512.672,-8327.088,-22965.8,-6879.16,-7792.376,-22385.0,-8792.708,-9672.88,-3286.36,-8795.712,-8270.012,-21344.399999999998
1702396537.2060368,-6476.624,-8294.044,-22931.92,-6951.256,-7867.476,-22486.64,-8720.612,-9600.784,-3170.2,-8585.432,-8056.728,-21020.12
1702396537.2492735,-6476.624,-8288.036,-22917.399999999998,-7017.344,-7939.572,-22602.8,-8687.568,-9570.744,-3102.44,-8864.804,-8339.104,-21465.399999999998
1702396537.3013644,-6647.852,-8450.252,-23173.92,-6936.236,-7861.468,-22506.0,-8657.528,-9534.696,-3034.68,-8858.796,-8336.1,-21470.239999999998
1702396537.3544538,-6386.504,-8185.9,-22762.52,-6780.028,-7723.284,-22293.04,-8588.436,-9462.6,-2908.8399999999997,-8603.456,-8083.764,-21087.88
1702396537.3895555,-6461.604,-8251.988,-22873.84,-6780.028,-7720.28,-22302.72,-8669.544,-9534.696,-3029.8399999999997,-8639.504,-8119.812,-21145.96
