t_wall [s],X0 [uT],Y0 [uT],Z0 [uT],X1 [uT],Y1 [uT],Z1 [uT],X2 [uT],Y2 [uT],Z2 [uT],X3 [uT],Y3 [uT],Z3 [uT]
1700577149.4275143,2018.688,1853.468,10623.8,2391.184,1838.448,-8687.8,672.896,1850.464,-9326.68,943.256,2388.18,-9142.76
1700577149.4502394,2054.736,1886.512,10686.72,2577.432,2024.696,-8407.08,675.9,1853.468,-9321.84,1087.448,2532.372,-8920.119999999999
1700577149.451524,2054.736,1889.516,10686.72,2499.328,1949.596,-8523.24,784.044,1958.608,-9162.119999999999,973.296,2424.228,-9084.68
1700577149.4612188,2021.692,1850.464,10623.8,2580.436,2021.692,-8411.92,784.044,1961.612,-9157.279999999999,940.252,2382.172,-9137.92
1700577149.4724767,2162.88,1997.66,10865.8,2427.232,1880.504,-8634.56,751.0,1922.56,-9210.52,1087.448,2532.372,-8920.119999999999
1700577149.4838324,2385.176,2210.944,11233.64,2430.236,1877.5,-8634.56,603.804,1781.372,-9433.16,937.248,2385.176,-9142.76
1700577149.495114,2237.98,2066.752,10991.64,2469.288,1913.548,-8581.32,784.044,1961.612,-9152.44,1192.588,2640.516,-8745.88
1700577149.5097647,1910.544,1742.32,10444.72,2577.432,2021.692,-8411.92,531.708,1709.276,-9544.48,1159.544,2607.472,-8808.8
1700577149.517787,1982.64,1811.412,10565.72,2433.24,1877.5,-8634.56,678.904,1853.468,-9321.84,1087.448,2532.372,-8915.279999999999
1700577149.5291913,2274.028,2099.796,11044.88,2436.244,1877.5,-8634.56,636.848,1820.424,-9384.76,907.208,2352.132,-9196.0
1700577149.5404534,2018.688,1850.464,10623.8,2246.992,1694.256,-8915.279999999999,708.944,1889.516,-9263.76,1123.496,2568.42,-8866.88
1700577149.5518103,1949.596,1778.368,10502.8,2544.388,1985.644,-8470.0,570.76,1748.328,-9481.56,1084.444,2535.376,-8920.119999999999
1700577149.5820122,2126.832,1964.616,10802.88,2466.284,1913.548,-8581.32,675.9,1853.468,-9326.68,979.304,2424.228,-9084.68
1700577149.5928657,2201.932,2030.704,10923.88,2469.288,1916.552,-8586.16,675.9,1856.472,-9321.84,1051.4,2493.32,-8978.199999999999
1700577149.5941145,2129.836,1958.608,10807.72,2691.584,2135.844,-8242.52,787.048,1961.612,-9157.279999999999,976.3,2421.224,-9089.52
1700577149.5967402,2054.736,1883.508,10686.72,2430.236,1877.5,-8629.72,741.988,1925.564,-9215.36,1051.4,2496.324,-8963.68
1700577149.6078985,2165.884,1994.656,10865.8,2505.336,1949.596,-8518.4,823.096,1997.66,-9099.199999999999,1084.444,2532.372,-8920.119999999999
