t_wall [s],X0 [uT],Y0 [uT],Z0 [uT],X1 [uT],Y1 [uT],Z1 [uT],X2 [uT],Y2 [uT],Z2 [uT],X3 [uT],Y3 [uT],Z3 [uT]
1700580892.063622,4337.776,4172.556,12090.32,5142.848,4725.292,-2991.12,3469.62,4403.864,-4970.68,3788.044,4614.144,-2521.64
1700580892.087948,4124.492,3962.276,11737.0,4956.6,4545.052,-3271.8399999999997,3505.668,4439.912,-4917.44,3824.092,4647.188,-2453.88
1700580892.0893095,3983.304,3815.08,11490.16,4884.504,4466.948,-3383.16,3469.62,4403.864,-4975.5199999999995,3935.24,4758.336,-2289.3199999999997
1700580892.0974805,3977.296,3812.076,11490.16,4884.504,4463.944,-3388.0,3358.472,4298.724,-5140.08,3788.044,4611.14,-2511.96
1700580892.108708,4340.78,4175.56,12090.32,4812.408,4394.852,-3504.16,3469.62,4406.868,-4975.5199999999995,3863.144,4680.232,-2410.3199999999997
1700580892.1199844,4193.584,4031.368,11848.32,4848.456,4424.892,-3441.24,3613.812,4554.064,-4748.04,3896.188,4719.284,-2347.4
1700580892.1312742,4226.628,4067.416,11911.24,4815.412,4394.852,-3504.16,3247.324,4184.572,-5314.32,3968.284,4794.384,-2240.92
1700580892.1428823,3833.104,3664.88,11257.84,4851.46,4427.896,-3446.08,3430.568,4373.824,-5033.599999999999,4046.388,4863.476,-2110.24
1700580892.154092,4124.492,3962.276,11732.16,4959.604,4539.044,-3276.68,3541.716,4478.964,-4859.36,3712.944,4536.04,-2628.12
1700580892.1656208,4196.588,4031.368,11848.32,4812.408,4391.848,-3494.48,3466.616,4406.868,-4970.68,4115.48,4938.576,-2008.6
1700580892.1770356,4229.632,4067.416,11911.24,4887.508,4469.952,-3383.16,3688.912,4623.156,-4631.88,3971.288,4791.38,-2231.24
1700580893.23657,4193.584,4031.368,11853.16,5103.796,4686.24,-3054.04,3469.62,4406.868,-4965.84,4256.668,5082.768,-1776.28
1700580893.2505295,4049.392,3890.18,11616.0,4812.408,4394.852,-3494.48,3610.808,4554.064,-4752.88,3968.284,4791.38,-2231.24
1700580893.2521026,4160.54,3998.324,11790.24,4962.608,4539.044,-3271.8399999999997,3758.004,4695.252,-4525.4,3935.24,4755.332,-2289.3199999999997
1700580893.2535148,4049.392,3887.176,11616.0,4773.356,4352.796,-3557.4,3613.812,4551.06,-4752.88,4115.48,4935.572,-2003.76
1700580893.2893906,4487.976,4322.756,12332.32,5067.748,4647.188,-3102.44,3544.72,4478.964,-4859.36,4040.38,4869.484,-2119.92
1700580893.3221054,4271.688,4106.468,11979.0,4956.6,4539.044,-3276.68,3502.664,4439.912,-4922.28,3643.852,4460.94,-2739.44
1700580893.3235352,4127.496,3959.272,11727.32,5067.748,4647.188,-3102.44,3394.52,4334.772,-5077.16,4115.48,4935.572,-2008.6
1700580893.324926,4160.54,3998.324,11799.92,4959.604,4542.048,-3271.8399999999997,3610.808,4554.064,-4748.04,4226.628,5046.72,-1839.2
1700580893.3263557,4085.44,3926.228,11669.24,5031.7,4611.14,-3165.36,3688.912,4623.156,-4636.72,3971.288,4794.384,-2231.24
1700580893.3276346,4199.592,4034.372,11853.16,5028.696,4611.14,-3165.36,3685.908,4623.156,-4636.72,3971.288,4794.384,-2236.08
1700580893.3289275,4085.44,3923.224,11678.92,4809.404,4391.848,-3504.16,3577.764,4515.012,-4806.12,3896.188,4719.284,-2347.4
1700580893.330342,4232.636,4070.42,11906.4,5028.696,4608.136,-3160.52,3580.768,4518.016,-4806.12,3899.192,4722.288,-2337.72
1700580893.3316333,4202.5960000000005,4031.368,11858.0,5067.748,4647.188,-3107.2799999999997,3469.62,4406.868,-4975.5199999999995,4043.384,4860.472,-2115.08
1700580893.3330214,4193.584,4028.364,11848.32,5217.948,4794.384,-2884.64,3397.524,4331.768,-5082.0,3896.188,4719.284,-2342.56
1700580893.3348403,4196.588,4031.368,11853.16,4809.404,4391.848,-3494.48,3535.708,4475.96,-4859.36,3607.804,4427.896,-2792.68
1700580893.3364549,4271.688,4103.464,11974.16,5031.7,4611.14,-3155.68,3541.716,4475.96,-4859.36,4040.38,4863.476,-2110.24
1700580893.337819,4268.684,4106.468,11974.16,4959.604,4539.044,-3271.8399999999997,3541.716,4475.96,-4859.36,3971.288,4791.38,-2236.08
