t_wall [s],X0 [uT],Y0 [uT],Z0 [uT],X1 [uT],Y1 [uT],Z1 [uT],X2 [uT],Y2 [uT],Z2 [uT],X3 [uT],Y3 [uT],Z3 [uT]
1700150579.912663,4770.352,4112.476,13963.4,5004.664,4827.428,-2594.24,3721.956,5058.736,-5367.5599999999995,3947.256,5995.984,-5183.639999999999
1700150579.9351187,4590.112,3932.236,13663.32,5187.908,5001.66,-2313.52,3794.052,5127.828,-5261.08,3800.06,5851.792,-5415.96
1700150579.9364252,4512.008,3854.132,13547.16,5040.712,4857.468,-2536.16,3866.148,5196.92,-5149.76,4022.356,6071.084,-5072.32
1700150579.9464993,4806.4,4142.516,14026.32,5037.708,4857.468,-2536.16,3980.3,5311.072,-4975.5199999999995,3911.208,5959.936,-5246.5599999999995
1700150579.9576569,4770.352,4106.468,13968.24,5151.86,4971.62,-2371.6,3755.0,5088.776,-5324.0,4058.404,6107.132,-5023.92
1700150579.9688609,4806.4,4145.52,14026.32,5040.712,4860.472,-2536.16,3902.196,5235.972,-5086.84,4058.404,6107.132,-5023.92
1700150579.980073,4662.208,4004.332,13779.48,4935.572,4752.328,-2700.72,3751.996,5094.784,-5319.16,3950.26,5998.988,-5188.48
1700150579.9913788,4914.544,4253.664,14210.24,5040.712,4860.472,-2536.16,3866.148,5199.924,-5140.08,3875.16,5926.892,-5309.48
1700150580.002775,4626.16,3962.276,13726.24,5154.864,4968.616,-2371.6,3830.1,5163.876,-5198.16,3878.164,5926.892,-5304.639999999999
1700150580.0141842,4806.4,4145.52,14021.48,5004.664,4824.424,-2589.4,3607.804,4950.592,-5541.8,3914.212,5956.932,-5241.72
1700150580.0256345,4701.26,4037.376,13847.24,5073.756,4899.524,-2487.7599999999998,3791.0480000000002,5127.828,-5256.24,3839.112,5887.84,-5357.88
1700150580.0406256,4806.4,4148.524,14026.32,5260.004,5082.768,-2197.36,3538.712,4872.488,-5653.12,3878.164,5920.884,-5304.639999999999
1700150580.0484273,4812.408,4148.524,14026.32,5260.004,5079.764,-2192.52,3682.904,5016.68,-5425.639999999999,3836.108,5887.84,-5357.88
1700150580.0597777,4809.404,4145.52,14026.32,4968.616,4788.376,-2657.16,3646.856,4983.636,-5478.88,3836.108,5887.84,-5357.88
1700150580.0709312,4665.212,3998.324,13784.32,5112.808,4929.564,-2424.84,3830.1,5163.876,-5203.0,3764.012,5815.744,-5464.36
1700150580.0822957,4809.404,4148.524,14021.48,5115.812,4929.564,-2420.0,3902.196,5235.972,-5091.68,3767.016,5812.74,-5464.36
1700150580.1000009,4878.496,4217.616,14152.16,5115.812,4932.568,-2420.0,3682.904,5019.684,-5425.639999999999,3839.112,5887.84,-5357.88
1700150580.1049824,4734.304,4070.42,13905.32,5260.004,5082.768,-2197.36,3721.956,5058.736,-5377.24,3658.872,5704.5960000000005,-5633.76
1700150580.1164463,4662.208,4004.332,13784.32,5040.712,4863.476,-2541.0,3905.2,5238.976,-5091.68,3911.208,5956.932,-5246.5599999999995
1700150580.1278512,4806.4,4145.52,14021.48,5260.004,5079.764,-2202.2,3791.0480000000002,5127.828,-5261.08,3764.012,5815.744,-5469.2
1700150580.1389997,4665.212,4001.328,13779.48,4932.568,4755.332,-2700.72,3646.856,4983.636,-5478.88,3800.06,5848.788,-5415.96
1700150580.150217,4587.108,3926.228,13668.16,5040.712,4857.468,-2541.0,3574.76,4911.54,-5595.04,3839.112,5887.84,-5357.88
1700150580.1616235,4734.304,4076.428,13905.32,5040.712,4866.48,-2541.0,3797.056,5130.832,-5256.24,4130.5,6182.232,-4912.599999999999
1700150580.1729465,4695.252,4034.372,13852.08,5037.708,4857.468,-2541.0,3718.952,5055.732,-5372.4,3875.16,5926.892,-5299.8
1700150580.1841748,4773.356,4112.476,13968.24,4968.616,4788.376,-2647.48,3718.952,5055.732,-5372.4,3803.064,5848.788,-5411.12
1700150580.195567,4701.26,4040.38,13842.4,5043.716,4863.476,-2541.0,3866.148,5202.928,-5144.92,3875.16,5920.884,-5299.8
1700150580.2068954,4587.108,3926.228,13663.32,5076.76,4893.516,-2478.08,3646.856,4983.636,-5483.72,3983.304,6038.04,-5130.4
1700150580.2181463,4770.352,4109.472,13968.24,5043.716,4857.468,-2531.3199999999997,3830.1,5166.88,-5203.0,3983.304,6038.04,-5130.4
1700150580.229531,4698.256,4040.38,13847.24,5184.904,5004.664,-2313.52,3721.956,5058.736,-5372.4,3803.064,5848.788,-5406.28
1700150580.2407374,4950.592,4286.708,14268.32,5115.812,4932.568,-2424.84,3721.956,5058.736,-5367.5599999999995,3947.256,5998.988,-5188.48
1700150580.2520123,4584.104,3929.232,13668.16,4932.568,4749.324,-2705.56,3794.052,5127.828,-5256.24,3730.968,5773.688,-5527.28
1700150580.2633636,4812.408,4142.516,14026.32,4860.472,4677.228,-2821.72,3721.956,5061.74,-5367.5599999999995,3800.06,5851.792,-5406.28
1700150580.2746458,4698.256,4034.372,13847.24,5187.908,5004.664,-2313.52,3574.76,4911.54,-5595.04,3878.164,5923.888,-5294.96
1700150580.2859836,4806.4,4148.524,14026.32,5190.912,5004.664,-2308.68,3643.852,4980.632,-5483.72,3655.868,5701.592,-5628.92
1700150580.2973719,4629.164,3965.28,13726.24,5004.664,4827.428,-2599.08,3755.0,5091.78,-5309.48,3658.872,5704.5960000000005,-5633.76
1700150580.3087447,4803.396,4145.52,14021.48,5260.004,5076.76,-2192.52,3610.808,4941.58,-5541.8,3980.3,6032.032,-5130.4
1700150580.32003,4809.404,4145.52,14026.32,5040.712,4863.476,-2536.16,3718.952,5058.736,-5367.5599999999995,3878.164,5923.888,-5299.8
1700150580.3312993,4773.356,4106.468,13973.08,5257.0,5079.764,-2202.2,3866.148,5199.924,-5149.76,3583.772,5632.5,-5735.4
1700150580.3425481,4806.4,4148.524,14026.32,5184.904,5001.66,-2308.68,3577.764,4911.54,-5595.04,3914.212,5959.936,-5246.5599999999995
1700150580.353815,4803.396,4145.52,14026.32,5076.76,4896.52,-2482.92,3646.856,4983.636,-5483.72,3983.304,6032.032,-5130.4
1700150580.365056,4698.256,4037.376,13842.4,5118.816,4932.568,-2420.0,3577.764,4905.532,-5590.2,3724.96,5776.692,-5522.44
1700150580.376323,4845.452,4181.568,14079.56,5112.808,4932.568,-2424.84,3866.148,5202.928,-5144.92,3767.016,5812.74,-5469.2
1700150580.3875718,4734.304,4070.42,13905.32,5263.008,5079.764,-2197.36,3863.144,5202.928,-5149.76,3878.164,5920.884,-5304.639999999999
1700150580.3988144,4770.352,4109.472,13968.24,5115.812,4929.564,-2420.0,3685.908,5016.68,-5430.48,3911.208,5959.936,-5246.5599999999995
1700150580.410232,4737.308,4076.428,13900.48,5260.004,5082.768,-2197.36,3718.952,5058.736,-5372.4,3803.064,5848.788,-5406.28
1700150580.4216516,4803.396,4145.52,14021.48,4968.616,4788.376,-2647.48,3758.004,5091.78,-5319.16,3875.16,5923.888,-5294.96
1700150580.433021,4662.208,3995.32,13789.16,5040.712,4857.468,-2536.16,3646.856,4980.632,-5478.88,3803.064,5848.788,-5411.12
1700150580.4444735,4842.448,4181.568,14084.4,4968.616,4788.376,-2652.3199999999997,3574.76,4911.54,-5595.04,3727.964,5779.696,-5522.44
1700150580.4558141,4701.26,4040.38,13847.24,4971.62,4785.372,-2652.3199999999997,3755.0,5094.784,-5324.0,3989.312,6032.032,-5130.4
1700150580.4672782,4698.256,4037.376,13842.4,4857.468,4680.232,-2816.88,3538.712,4872.488,-5653.12,3947.256,5995.984,-5188.48
1700150580.4785264,4698.256,4034.372,13842.4,5001.66,4824.424,-2589.4,3941.248,5278.028,-5043.28,3833.104,5884.836,-5353.04
1700150580.4897857,4662.208,4001.328,13779.48,4863.476,4677.228,-2826.56,3866.148,5202.928,-5144.92,3914.212,5959.936,-5241.72
1700150580.5011487,4731.3,4070.42,13905.32,5004.664,4830.432,-2589.4,3682.904,5019.684,-5435.32,3800.06,5851.792,-5406.28
1700150580.512373,4737.308,4070.42,13910.16,4860.472,4674.224,-2816.88,3718.952,5058.736,-5367.5599999999995,3875.16,5926.892,-5299.8
1700150580.5236948,4842.448,4184.572,14084.4,4971.62,4782.368,-2642.64,3794.052,5124.824,-5265.92,3803.064,5848.788,-5415.96
