t_wall [s],t_robot [s]F_x [N],F_y [N],F_z [N],T_x [Nm],T_y [Nm],T_z [Nm]
1700151195.6838443,8774.984,0.019917411444051823,-0.0005722041126882046,0.03731246119981166,0.00011999125721766677,-0.0010055479136744415,-0.0007566266213742129
1700151195.7083614,8775.008,-0.04621850130426362,0.1313582898829091,-0.4396020129796107,0.00010609886914603516,-0.005968870495915632,0.002707144079268281
1700151195.7115738,8775.011999999999,-0.08240396129720004,0.06785427698017034,-0.4010484604624751,-0.001760790571646954,-0.0066248635406076116,0.0016958731021420824
1700151195.7148602,8775.014,-0.14703304911843587,0.14763050033879743,-0.40552664083559875,0.0004145388955005179,-0.004274086860713942,0.002769149435076314
1700151195.7182102,8775.018,-0.09237897136595583,0.12339885223373434,-0.4364933875747515,7.934818317560229e-05,-0.006794469809152511,0.0026730933205306776
1700151195.7214482,8775.021999999999,-0.06438414930918379,0.12461752026093366,-0.5725062845025033,-0.0007008069760926128,-0.008425808702208817,0.0004968041643125533
1700151195.7260792,8775.026,-0.15148461064919574,0.137991969586383,-0.49459868732467854,0.0002122621459446835,-0.011636324671497857,0.0020118528508576688
1700151195.7294157,8775.029999999999,-0.0832205817234096,0.16406222962410916,-0.4133199075623965,-0.00212465036464313,-0.00903714009934114,0.0024746214352449314
1700151195.741581,8775.042,-0.12218073397737468,0.14718430144698752,-0.5331561359927808,-0.00254522591152144,-0.010169458214153593,0.0015617977469389417
1700151195.744908,8775.044,-0.23223171590550964,0.15795921563536364,-0.5825450236929565,-0.0019080057285062258,-0.007869687799416268,0.0027408181849457305
1700151195.7482104,8775.047999999999,-0.081705278865673,0.10817842278142942,-0.47665119976642095,-0.004446978879116286,-0.01485121324674914,0.001011045625818423
1700151195.751417,8775.052,-0.0720980676108318,0.18962358449847289,-0.4758401053408035,-0.0016598640153416258,-0.011094021101158494,0.0016832821730530943
1700151195.7546582,8775.054,-0.01991368805867776,0.11894562147970877,-0.5920041579764009,-0.004013465765612821,-0.014051021357650555,0.0009952498032821215
1700151195.7580755,8775.057999999999,-0.10940615785723416,0.13797068322399667,-0.6293490008916689,-0.004560324047362399,-0.013943849546573645,0.001133690512733333
1700151195.761722,8775.062,-0.08735500553353456,0.26209483070523093,-0.6248369597111822,-0.0024697477301213887,-0.01130335534980657,0.001194543358165244
1700151195.7649007,8775.064,-0.15014621148013574,0.23331055126325545,-0.6804601671345828,-0.0021217243197964937,-0.010903285916599925,-0.0008737449654336858
1700151195.768012,8775.068,-0.13418181853458283,0.1819755527488486,-0.6374485773646396,-0.0038328419019829666,-0.011753674819160105,0.0006758247413343256
1700151195.7711704,8775.07,-0.1404965663805754,0.15923745323242794,-0.7023528173940913,-0.004281051364450903,-0.009362280178803514,-0.0006357553939453839
1700151195.7742944,8775.073999999999,-0.03463367486526188,0.21041155078374407,-0.6001806038659194,-0.0022263670165889194,-0.014765391488271735,-0.0010340765643723367
1700151195.7775812,8775.078,-0.07052216591224339,0.19195085846903104,-0.715243951164093,-0.005249100743003338,-0.011359150724818967,0.0009830680756043543
1700151195.7896755,8775.09,0.0107783924358342,0.1152664183851276,-0.6211145506288488,-0.007960068475406529,-0.010820319320083071,-9.924990503780918e-05
1700151195.7930827,8775.091999999999,0.029650356537878283,0.2111226118872716,-0.6697645607528047,-0.005713470929591671,-0.010103321414664714,0.001774379150809267
1700151195.7978468,8775.098,-0.029947455297600352,0.22079005158427392,-0.6530556689404022,-0.0036961860844759295,-0.010931051636362203,-0.000948789764840307
1700151195.801016,8775.1,0.061000505315099714,0.11699802224122455,-0.7517015401960101,-0.006290282587199423,-0.011229583523748391,0.0002485792662082243
1700151195.8041813,8775.104,0.065078994311448,0.21551179727231096,-0.5733568482612201,-0.004451915743746268,-0.01266737825273372,0.0002584400909704885
1700151195.8074646,8775.108,0.06039235046449641,0.2725112944144524,-0.702871118216599,-0.004016817092987924,-0.011031426481420284,-0.0008386573887926922
1700151195.8106196,8775.109999999999,0.11207328077267552,0.22915495532241775,-0.6861236556683692,-0.0050907818035165805,-0.011227013611101703,-0.0017730587765566908
1700151195.8137653,8775.114,0.13728085611539184,0.24801530428098695,-0.7550176490673893,-0.002607384053759851,-0.012795193052835031,0.00025818558309559586
1700151195.816934,8775.116,0.08128770971130314,0.1650770266860599,-0.753793145073893,-0.0041858346390990665,-0.010139860867068185,-0.0006389597642049483
1700151195.819987,8775.119999999999,0.08837296107743316,0.23040236225105987,-0.6852011442264265,-0.0036633898231805237,-0.010506648114628429,-0.0012613375133096857
1700151195.823105,8775.122,0.18998981263012232,0.1657157851114969,-0.8316544202601848,-0.006475466374451382,-0.010005724286441633,-0.0012746112396482163
