t,X0,Y0,Z0,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3
1697402585.1820672,-4001.328,-7744.312,-32892.64,-14413.192000000001,-11385.16,135.51999999999998,-6638.84,-9180.224,-34514.04,-11310.06,-4415.88,-8644.24
1697402585.188663,-4001.328,-7744.312,-32887.799999999996,-14199.908,-11171.876,508.2,-6563.74,-9108.128,-34402.72,-11277.016,-4376.828,-8581.32
1697402585.19523,-4040.38,-7780.36,-32941.04,-14205.916,-11171.876,513.04,-6749.988,-9288.368,-34678.6,-11090.768,-4187.576,-8276.4
1697402585.2018297,-4037.376,-7780.36,-32945.88,-14235.956,-11207.924,450.12,-6674.888,-9216.272,-34562.44,-11237.964,-4343.784,-8528.08
1697402585.208391,-3959.272,-7708.264,-32839.4,-14241.964,-11207.924,454.96,-6674.888,-9216.272,-34572.12,-11096.776,-4190.58,-8281.24
1697402585.2149498,-4004.332,-7741.308,-32892.64,-14413.192000000001,-11385.16,135.51999999999998,-6602.792,-9144.176,-34460.799999999996,-11274.012,-4379.832,-8576.48
1697402585.2215497,-4037.376,-7777.356,-32945.88,-14208.92,-11177.884,508.2,-6569.748,-9108.128,-34407.56,-11132.824,-4232.636,-8339.32
1697402585.2281172,-3926.228,-7669.212,-32781.32,-14308.052,-11280.02,324.28,-6828.092,-9360.464,-34785.08,-11060.728,-4154.532,-8218.32
1697402585.2346857,-3959.272,-7705.26,-32829.72,-14311.056,-11280.02,319.44,-6674.888,-9216.272,-34562.44,-11126.816,-4232.636,-8339.32
1697402585.241257,-3887.176,-7630.16,-32732.92,-14269.0,-11243.972,387.2,-6749.988,-9288.368,-34678.6,-11129.82,-4229.632,-8344.16
1697402585.2478793,-3926.228,-7666.208,-32781.32,-14308.052,-11286.028,314.59999999999997,-6599.788,-9144.176,-34465.64,-11096.776,-4190.58,-8281.24
1697402585.2544549,-4040.38,-7774.352,-32941.04,-14410.188,-11388.164,125.84,-6671.884,-9219.276,-34567.28,-11129.82,-4229.632,-8334.48
1697402585.261034,-4001.328,-7744.312,-32892.64,-14202.912,-11168.872,508.2,-6713.94,-9252.32,-34620.52,-11165.868,-4265.68,-8407.08
1697402585.2677014,-3956.268,-7705.26,-32844.24,-14127.812,-11102.784,634.04,-6755.996,-9291.372,-34678.6,-11165.868,-4265.68,-8402.24
1697402585.274185,-4112.476,-7849.452,-33047.52,-14308.052,-11280.02,319.44,-6644.848,-9180.224,-34514.04,-11093.772,-4190.58,-8281.24
1697402585.2808404,-4004.332,-7744.312,-32882.96,-14308.052,-11277.016,319.44,-6602.792,-9147.18,-34455.96,-11201.916,-4304.732,-8460.32
1697402585.2873337,-4109.472,-7852.456,-33047.52,-14446.236,-11424.212,77.44,-6752.992,-9288.368,-34673.76,-11201.916,-4301.728,-8455.48
1697402585.293941,-3848.124,-7591.108,-32670.0,-14166.864,-11135.828,575.96,-6719.948,-9252.32,-34615.68,-11168.872,-4265.68,-8407.08
1697402585.3005087,-4073.424,-7819.412,-32999.12,-14410.188,-11385.16,130.68,-6749.988,-9288.368,-34668.92,-11207.924,-4301.728,-8460.32
1697402585.3070595,-3923.224,-7663.204,-32781.32,-14413.192000000001,-11391.168,125.84,-6864.14,-9396.512,-34833.479999999996,-10955.588,-4043.384,-8034.4
1697402585.3136415,-4004.332,-7744.312,-32882.96,-14202.912,-11174.88,508.2,-6710.936,-9252.32,-34620.52,-11201.916,-4298.724,-8465.16
1697402585.3203008,-3815.08,-7555.06,-32616.76,-14446.236,-11421.208,67.75999999999999,-6605.796,-9141.172,-34460.799999999996,-11237.964,-4340.78,-8528.08
1697402585.326869,-4115.48,-7849.452,-33052.36,-14133.82,-11102.784,629.1999999999999,-6710.936,-9252.32,-34615.68,-11063.732,-4154.532,-8218.32
1697402585.3333886,-4076.428,-7819.412,-33003.96,-14446.236,-11421.208,67.75999999999999,-6710.936,-9246.312,-34625.36,-11165.868,-4268.684,-8402.24
1697402585.3399613,-3998.324,-7741.308,-32892.64,-14377.144,-11349.112,193.6,-6755.996,-9291.372,-34678.6,-11207.924,-4304.732,-8465.16
1697402585.3465319,-4040.38,-7777.356,-32941.04,-14377.144,-11352.116,193.6,-6680.896,-9213.268,-34567.28,-11027.684,-4112.476,-8155.4
1697402585.3530893,-3926.228,-7666.208,-32781.32,-14235.956,-11207.924,454.96,-6677.892,-9213.268,-34557.6,-11201.916,-4304.732,-8460.32
1697402585.3597083,-4034.372,-7780.36,-32941.04,-14413.192000000001,-11385.16,130.68,-6638.84,-9183.228,-34514.04,-11096.776,-4187.576,-8281.24
1697402585.3662827,-3887.176,-7633.164,-32732.92,-14344.1,-11319.072,251.68,-6864.14,-9396.512,-34838.32,-11240.968,-4343.784,-8528.08
1697402585.3729014,-4151.528,-7891.508,-33100.76,-14311.056,-11280.02,324.28,-6828.092,-9360.464,-34780.24,-11204.92,-4307.736,-8465.16
1697402585.3794081,-3962.276,-7708.264,-32829.72,-14169.868,-11135.828,575.96,-6933.232,-9471.612,-34935.119999999995,-11132.824,-4229.632,-8349.0
1697402585.385998,-4076.428,-7813.404,-32999.12,-14169.868,-11132.824,571.12,-6792.044,-9327.42,-34722.159999999996,-11237.964,-4346.788,-8523.24
1697402585.3926473,-4004.332,-7747.316,-32892.64,-14130.816,-11102.784,634.04,-6713.94,-9255.324,-34620.52,-11063.732,-4148.524,-8218.32
1697402585.3991306,-4109.472,-7852.456,-33052.36,-14311.056,-11280.02,329.12,-6861.136,-9396.512,-34833.479999999996,-11168.872,-4265.68,-8407.08
1697402585.40573,-3962.276,-7708.264,-32834.56,-14305.048,-11280.02,319.44,-6674.888,-9216.272,-34557.6,-11277.016,-4379.832,-8581.32
1697402585.4122841,-3887.176,-7633.164,-32728.079999999998,-14380.148,-11349.112,193.6,-6864.14,-9399.516,-34833.479999999996,-11234.96,-4343.784,-8528.08
1697402585.4188337,-4145.52,-7885.5,-33105.6,-14235.956,-11210.928,445.28,-6719.948,-9255.324,-34620.52,-11171.876,-4265.68,-8407.08
1697402585.425433,-3962.276,-7708.264,-32839.4,-14241.964,-11210.928,450.12,-6864.14,-9399.516,-34843.159999999996,-11093.772,-4193.584,-8281.24
1697402585.431988,-3962.276,-7705.26,-32839.4,-14172.872,-11135.828,571.12,-6749.988,-9288.368,-34673.76,-11135.828,-4226.628,-8339.32
1697402585.4385822,-3887.176,-7630.16,-32732.92,-14235.956,-11204.92,440.44,-6716.944,-9249.316,-34615.68,-11240.968,-4343.784,-8528.08
1697402585.4451473,-4001.328,-7744.312,-32887.799999999996,-14341.096,-11316.068,266.2,-6752.992,-9288.368,-34664.08,-11093.772,-4190.58,-8281.24
1697402585.4517083,-4001.328,-7741.308,-32892.64,-14416.196,-11388.164,135.51999999999998,-6752.992,-9291.372,-34673.76,-11129.82,-4232.636,-8344.16
1697402585.4582696,-4001.328,-7741.308,-32887.799999999996,-14202.912,-11171.876,513.04,-6677.892,-9216.272,-34567.28,-11240.968,-4340.78,-8523.24
1697402585.4648397,-4001.328,-7744.312,-32887.799999999996,-14449.24,-11418.204,72.6,-6828.092,-9360.464,-34775.4,-11310.06,-4415.88,-8644.24
1697402585.47144,-3965.28,-7708.264,-32834.56,-14208.92,-11174.88,513.04,-6864.14,-9396.512,-34823.799999999996,-11168.872,-4268.684,-8397.4
1697402585.4780052,-3962.276,-7708.264,-32839.4,-14311.056,-11280.02,319.44,-6789.04,-9324.416,-34722.159999999996,-11129.82,-4229.632,-8344.16
1697402585.484586,-4073.424,-7813.404,-32994.28,-14374.14,-11349.112,193.6,-6825.088,-9363.468,-34780.24,-11168.872,-4265.68,-8407.08
1697402585.4911196,-4001.328,-7738.304,-32882.96,-14278.012,-11243.972,382.36,-6825.088,-9351.452,-34780.24,-11352.116,-4457.936,-8702.32
1697402585.4977136,-4109.472,-7849.452,-33052.36,-14130.816,-11102.784,634.04,-6713.94,-9252.32,-34625.36,-11168.872,-4265.68,-8407.08
1697402585.5042653,-3812.076,-7564.072,-32621.6,-14172.872,-11135.828,575.96,-6713.94,-9258.328,-34620.52,-11454.252,-4563.076,-8881.4
1697402585.5108354,-4151.528,-7891.508,-33100.76,-14275.008,-11246.976,387.2,-6641.844,-9180.224,-34518.88,-11237.964,-4343.784,-8528.08
1697402585.5174203,-4076.428,-7813.404,-32999.12,-14341.096,-11316.068,256.52,-6710.936,-9255.324,-34620.52,-11240.968,-4343.784,-8528.08
1697402585.5239987,-3773.024,-7519.012,-32568.36,-14413.192000000001,-11385.16,135.51999999999998,-6563.74,-9105.124,-34412.4,-11093.772,-4190.58,-8281.24
1697402585.5305865,-3959.272,-7705.26,-32839.4,-14166.864,-11138.832,575.96,-6752.992,-9285.364,-34678.6,-11316.068,-4418.884,-8644.24
1697402585.5371318,-3965.28,-7705.26,-32844.24,-14311.056,-11277.016,324.28,-6749.988,-9288.368,-34678.6,-11204.92,-4304.732,-8460.32
1697402585.5436876,-3926.228,-7672.216,-32781.32,-14205.916,-11171.876,513.04,-6749.988,-9288.368,-34683.44,-11132.824,-4226.628,-8349.0
1697402585.5502918,-3881.168,-7627.156,-32732.92,-14413.192000000001,-11385.16,135.51999999999998,-6716.944,-9249.316,-34620.52,-11204.92,-4304.732,-8460.32
1697402585.5568354,-3926.228,-7666.208,-32781.32,-14166.864,-11132.824,575.96,-6819.08,-9360.464,-34780.24,-11168.872,-4265.68,-8402.24
1697402585.5634174,-4037.376,-7780.36,-32941.04,-14235.956,-11207.924,454.96,-6677.892,-9216.272,-34572.12,-11024.68,-4118.484,-8155.4
1697402585.569989,-3884.172,-7633.164,-32728.079999999998,-14416.196,-11388.164,130.68,-6752.992,-9291.372,-34673.76,-11057.724,-4148.524,-8223.16
1697402585.5765555,-4004.332,-7747.316,-32887.799999999996,-14341.096,-11316.068,266.2,-6710.936,-9252.32,-34620.52,-11204.92,-4301.728,-8455.48
1697402585.5831404,-3959.272,-7708.264,-32834.56,-14374.14,-11355.12,198.44,-6786.036,-9324.416,-34727.0,-11204.92,-4301.728,-8460.32
1697402585.5896857,-4040.38,-7777.356,-32945.88,-14235.956,-11201.916,450.12,-6683.9,-9213.268,-34572.12,-11204.92,-4304.732,-8460.32
1697402585.596273,-3962.276,-7705.26,-32824.88,-14208.92,-11171.876,508.2,-6792.044,-9324.416,-34731.84,-11099.78,-4190.58,-8281.24
1697402585.6028423,-3965.28,-7705.26,-32849.08,-14380.148,-11352.116,188.76,-6825.088,-9363.468,-34780.24,-11168.872,-4265.68,-8397.4
